date,venue,prefix,till,dept,product_name,qty,rev_ex_gst,rev_inc_gst,cost,cost_source,reconciled
2024-10-23,mari,mari,mari,f,Regular Uber Margherita [Dine-in],3.0,37.0455,40.75,8.136,recipe,true
2024-10-23,mari,mari,mari,f,Regular New Yorker [Dine-in],3.0,36.9818,40.68,7.9197,recipe,true
2024-10-23,mari,mari,mari,f,Family  House Special,2.0,36.3636,40.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Family  Super Veg,2.0,36.3636,40.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Large Hawaiian,2.0,34.5455,38.0,6.6314,recipe,true
2024-10-23,mari,mari,mari,f,Garlic Bread,8.0,32.3273,35.56,11.9016,recipe,true
2024-10-23,mari,mari,mari,f,Family  No Chorizo No Cry,1.0,25.7545,28.33,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Family House Special,1.0,24.0364,26.44,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Regular Hail Africa [Dine-in],2.0,21.2636,23.39,5.645,recipe,true
2024-10-23,mari,mari,mari,f,Family Margherita,1.0,20.9091,23.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Large Little Italy,1.0,20.9091,23.0,7.3904,recipe,true
2024-10-23,mari,mari,mari,f,Regular Truffalo Soldier [Dine-in],2.0,20.3455,22.38,6.136,recipe,true
2024-10-23,mari,mari,mari,f,Large Super House Special,1.0,20.0,22.0,7.6177,recipe,true
2024-10-23,mari,mari,mari,f,Large The Deli Pizza,1.0,20.0,22.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Large House Special,1.0,19.0909,21.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Family  Cosmopolitan,1.0,18.1818,20.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Family  Little Italy,1.0,18.1818,20.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Family  Margherita,1.0,18.1818,20.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Family  Meatlovers,1.0,18.1818,20.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Family  Super House,1.0,18.1818,20.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Family  The Deli,1.0,18.1818,20.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Delivery Fee - Freshwater / Queenscliff,4.0,16.0636,17.67,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Regular Hawaiian,1.0,12.7273,14.0,3.272,recipe,true
2024-10-23,mari,mari,mari,f,Spaghetti Bolognese,1.0,10.9091,12.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Fettuccine Boscaiola,2.0,10.0,11.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Delivery Fee [Me&U],2.0,7.4,8.14,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Anchovies,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Artichoke Heart,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add BBQ Sauce,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Bacon,12.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Basil,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Bocconcini,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Cabanossi,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Calabrese,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Capsicum,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Cherry Tomatoes,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Chicken,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Chilli,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Coriander,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Corn,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Egg,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Eggplant,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Fetta,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Garlic,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Garlic Base,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Ham,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Lamb,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Minted Yoghurt,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Mushrooms,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Olives,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Onion,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Oregano,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Pepperoni,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Pesto,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Pesto Base,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Pineapple,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Prawns,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Prosciutto,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Pumpkin,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Rocket,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Shallots,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Sliced Tomatoes,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Sour Cream,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Spanish Onion,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Sun-dried Tomatoes,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Add Tandoori Chicken,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Deal - BBQ Wings,1.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Deal - Garlic Bread,6.0,0.0,0.0,8.9712,recipe,true
2024-10-23,mari,mari,mari,f,Extra Mozzarella,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Large New Yorker,1.0,0.0,0.0,4.9731,recipe,true
2024-10-23,mari,mari,mari,f,Large Sanchez VEGAN,1.0,0.0,0.0,4.0494,recipe,true
2024-10-23,mari,mari,mari,f,Less Cheese,8.0,0.0,0.0,0.0,lightspeed,true
2024-10-23,mari,mari,mari,f,Regular Little Italy [Dine-in],1.0,0.0,0.0,4.1655,recipe,true
2024-10-23,mari,mari,mari,f,"Regular No Chorizo, No Cry [Dine-in]",1.0,0.0,0.0,2.6415,recipe,true
2024-10-23,mari,mari,mari,f,Regular Sanchez VEGAN [Dine-in],1.0,0.0,0.0,2.0465,recipe,true
2024-10-23,mari,mari,mari,f,Regular Sanchez [Dine-in],1.0,0.0,0.0,3.9452,recipe,true
