ProductID,ProductNo,ProductName,DocketName,Barcode,SKU,Unit,DefaultSize,SellPriceIncTax,SellTaxCode,CostPriceIncTax,CostTaxCode,IsModifier,PrintDocket,Tags,CategoryNames,SellAccount,BuyAccount,InventoryAccount,ImageUrl,ReportingGroup,FriendlyName,ShowOnline,OnlineDescription,InventoryType,PurchaseFormat,PurchaseQty,Container,VariableQtyPrompt
22285340,,"Two Tonne Riesling - Glass [HG]",,,,unit,1,18,GST,0.0000,GST,0,1,,WINE,,,,,"White Wine [Harrys]",,1,,,,,UNIT,
20750149,,"Fortaleza Añejo [Bottle]",,,,ml,700,0,GST,0.0000,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
22645524,,"No Basil",,,,unit,1,0,GST,0.0000,GST,1,1,,,,,,,,,1,,1,Individual,1,UNIT,
22645200,,"No Buffalo Aioli",,,,unit,1,0,GST,0.0000,GST,1,1,,,,,,,,,1,,1,Individual,1,UNIT,
22645219,,"Remove Prosciutto",,,,unit,1,0,GST,0.0000,GST,1,1,,,,,,,,,1,,1,Individual,1,UNIT,
22893565,,"Shallot [bunch]",,,,g,1000,0,FRE,6.6000,FRE,0,1,,,0,1,1,,,,1,,1,Individual,1,UNIT,
22918967,,"Sweet Chilli Jam Knorr [920g]",,,,g,920,0,FRE,53.0000,FRE,0,1,,,0,1,1,,,,1,,1,Individual,1,UNIT,
20841253,,"Yuzushu Spritz",,,,unit,1,19,GST,0.0000,GST,0,1,,COCKTAILS,,,,,"Cocktails - Signature [Harrys]",,1,,,,,UNIT,
22645415,,"Jimmy Jury Pizza [HG]",,,,unit,1,25,GST,0.0000,GST,0,1,,PIZZA,,,,,"Stow Food [Harrys]",,1,,,Individual,1,UNIT,
21750310,,"Jinro Chamisul - 60ml",,,,unit,1,9,GST,0.0000,GST,0,1,,"SAKE / SOJU",,,,,"Sake & Soju [Harrys]",,1,,,Individual,1,UNIT,
22645017,,"Chicken Burrito [HG]",,,,unit,1,28,GST,0.0000,GST,0,1,,"STOW FOOD",,,,,"Stow Food [Harrys]",,1,,1,Individual,1,UNIT,
20750127,,"Chartreuse Yellow [Bottle]",,,,ml,700,0,GST,0.0000,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
20768492,,"Handago Junmai Ginjo [1.8L]",,,,ml,1800,0,GST,63.3800,GST,0,1,,,,,,,,,1,,1,Individual,1,UNIT,
20700679,,Lime,,,,g,1,0,GST,0.0000,GST,1,1,,,,,,,,,1,,,Individual,1,UNIT,
20750184,,"Redbreast 12yr [Bottle]",,,,ml,700,0,GST,0.0000,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
22893567,,"Rice Vinegar Uchibori [20L]",,,,l,20000,0,FRE,37.7500,FRE,0,1,,,0,1,1,,,,1,,1,Individual,1,UNIT,
20750196,,"Velho Berreiro Cachaça [Bottle]",,,,ml,700,0,GST,0.0000,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
20944741,,"Sapporo - Schooner",,,,unit,1,13,GST,3.4800,GST,0,1,,BEERS,,,,,"Tap Beer [Harrys]",,1,,,,1,UNIT,
21050703,,"Sprite Can",,,,unit,1,4,GST,0.0000,GST,0,1,,NON-ALC,,,,,"Non-Alcoholic [Harrys]",,1,,1,Crates,24,UNIT,
20700648,,"River Retreat Pinot Grigio - Regular",,,,unit,1,12,GST,0.0000,GST,0,1,ALCOHOL,WINE,1,0,0,,"White Wine [Harrys]",,1,,,,,UNIT,
22285382,,"Whispering Angel - Large [HG]",,,,unit,1,40,GST,0.0000,GST,0,1,,WINE,,,,,"Rose Wine [Harrys]",,1,,,Individual,1,UNIT,
20750112,,"Angel's Envy Bourbon [Bottle]",,,,ml,700,0,GST,0.0000,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
20691718,,"Brookie's Byron Dry Gin Tonica",,,,unit,1,20,GST,0.0000,GST,0,1,"ALCOHOL,stock,stock-spirit",,1,0,0,,"Gins [Harrys]",,1,,,,,BOTTLE,
22996448,,"Chilli Bean Sauce Toban 368gm LKK",,,,unit,1,0,FRE,8.0000,FRE,0,1,,,1,0,0,,,,1,,,Individual,1,UNIT,
20750140,,"Dom Benedictine [Bottle]",,,,ml,700,0,GST,0.0000,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
22680374,,"Lychee Raspberry Ice Cream",,,,unit,1,10,GST,0.0000,GST,0,1,,,,,,,"Desserts [Harrys]",,1,,,Individual,1,UNIT,
20700723,,"Pepsi Max",,,,unit,1,0,GST,0.8032,GST,1,1,,,,,,,,,1,,,Individual,1,UNIT,
23201838,,"Remove Nori",,,,unit,1,0,GST,0.0000,GST,1,1,,,,,,,,,1,,1,Individual,1,UNIT,
22995430,,"Tomato Sauce Fountain [4L]",,,13998,unit,1,0,FRE,10.7000,FRE,0,0,,,0,1,1,,,,,,1,Individual,1,UNIT,
22082878,,"BBQ Tofu",,,,unit,1,11,GST,0.0000,GST,0,1,,FOOD,,,,,"Big Plates [Harrys]",,1,,,Individual,1,UNIT,
21364079,,"Fuji Blended Whisky",,,,unit,1,18,GST,0.0000,GST,0,1,,SPIRITS,,,,,"Whiskies [Harrys]",,1,,,,,UNIT,
22645496,,"Add Shallots",,,,unit,1,0.5,GST,0.0000,GST,1,1,,,,,,,"Stow Food [Harrys]",,1,,1,Individual,1,UNIT,
20750136,,"Cynar [Bottle]",,,,ml,700,0,GST,0.0000,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
22893548,,"Flour Tapioca Erawan [500g]",,,,g,500,0,FRE,2.2000,FRE,0,1,,,0.0,1.0,1.0,,,,1,,1,Individual,1,UNIT,
22995404,,"Flour Tortillas 6"" Plain Mission [24x12]",,,30741,unit,1,0,FRE,65.0000,FRE,0,0,,,0,1,1,,,,,,1,Individual,1,UNIT,
22645249,,"Lettuce Cup [Gluten-free alt.]",,,,unit,1,0,GST,0.0000,GST,1,1,,,,,,,,,1,,1,Individual,1,UNIT,
20768400,,"Milagro Reposado Tequila [Bottle]",,,,ml,700,0,GST,0.0000,GST,0,1,,,,,,,,,1,,1,Individual,,UNIT,
22645516,,"No Chilli",,,,unit,1,0,GST,0.0000,GST,1,1,,,,,,,,,1,,1,Individual,1,UNIT,
22947368,,"Quandong Sambal","Quandong Sambal",,,ml,1,0,FRE,0.0000,FRE,0,0,,,,,,,,,,,,,,UNIT,
22645065,,"Chicken Parmi [HG]",,,,unit,1,29,GST,0.0000,GST,0,1,,"STOW FOOD",,,,,"Stow Food [Harrys]",,1,,,Individual,1,UNIT,
20700627,,"Geppetto Chardonnay - Regular",,,,unit,1,15,GST,0.0000,GST,0,1,ALCOHOL,WINE,1,0,0,,"White Wine [Harrys]",,1,,,,,UNIT,
22645498,,"Add Sour Cream",,,,unit,1,1,GST,0.0000,GST,1,1,,,,,,,"Stow Food [Harrys]",,1,,1,Individual,1,UNIT,
20691742,,"Four Pillars Rare Dry Gin Tonica",,,,unit,1,21,GST,0.0000,GST,0,1,"ALCOHOL,stock,stock-spirit",,1,0,0,,"Gins [Harrys]",,1,,,,,BOTTLE,
21218779,,"Grifter Extra Pale - Jug",,,,unit,1,21,GST,2.2200,GST,0,1,ALCOHOL,,1,,,,"Tap Beer [Harrys]",,1,,,,1,UNIT,
20750178,,"Oscar.697 Bianco Vermouth [Bottle]",,,,ml,750,0,GST,0.0000,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
22973738,,"Pickled Ginger",,,,g,1,0,FRE,0.0000,FRE,0,1,,,,,,,,,1,,1,Individual,,UNIT,
22995423,,"Potato Desiree [10kg]",,,PDES10BG,unit,1,0,FRE,28.8000,FRE,0,0,,,0,1,1,,,,,,1,Individual,1,UNIT,
23201830,,"Remove Shallot",,,,unit,1,0,GST,0.0000,GST,1,1,,,,,,,,,1,,1,Individual,1,UNIT,
20750186,,"Seedlip Citrus Grove 42 [Bottle]",,,,ml,700,0,GST,0.0000,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
20768485,,"Handago Junmai Ginjo - 180ml",,,,unit,1,22,GST,0.0000,GST,0,1,,"SAKE / SOJU",,,,,"Sake & Soju [Harrys]",,1,,,,,UNIT,
20691739,,"Four Pillars Olive Leaf Gin",,,,unit,1,14.5,GST,0.0000,GST,0,1,ALCOHOL,SPIRITS,1,0,0,,"Gins [Harrys]",,1,,,,,UNIT,
22995389,,"Cabbage Red Shredded [kg]",,,KITCRSKG,unit,1,0,FRE,7.9000,FRE,0,0,,,0,1,1,,,,,,1,Individual,1,UNIT,
22645513,,"No Prawns",,,,unit,1,0,GST,0.0000,GST,1,1,,,,,,,,,1,,1,Individual,1,UNIT,
22996462,,"Squid Whole Cleaned Loligo [kg]",,,,unit,1,0,FRE,33.6000,FRE,0,1,,,1,0,0,,,,1,,,Individual,1,UNIT,
22996445,,"Stock Liquid Beef 1LT Campbells",,,,unit,1,0,FRE,15.6000,FRE,0,1,,,1,0,0,,,,1,,,Individual,1,UNIT,
20744476,,"Tanqueray 10 Gin [Bottle]",,,,ml,700,0,GST,71.9000,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
20750195,,"Tito's Vodka [Bottle]",,,,ml,700,0,GST,0.0000,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
22645163,,"Vegan Cheese [make it dairy-free]",,,,unit,1,0,GST,0.0000,GST,1,1,,,,,,,,,1,,1,Individual,1,UNIT,
20700591,,"Tommy's Margarita",,,,unit,1,20,GST,0.0000,GST,0,1,,COCKTAILS,1,0,0,,"Cocktails - Classic [Harrys]",,1,,,,,UNIT,
20691994,,"Tengumai Junmai - 60ml [SERVE WARM]",,,,unit,1,12,GST,0.0000,GST,0,1,ALCOHOL,"SAKE / SOJU",1,0,0,,"Sake & Soju [Harrys]",,1,,,,,UNIT,
21004391,,"Kunizakari Umeshu [60ml]",,,,unit,1,12,GST,0.0000,GST,0,1,,SPIRITS,,,,,"Liqueurs [Harrys]",,1,,,,,UNIT,
20744445,,"Buffalo Trace Bourbon [Bottle]",,,,ml,700,0,GST,48.6500,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
22157260,,"Crispy pork belly w honey soy",,,,unit,1,26,GST,0.0000,GST,0,1,,,,,,,"Big Plates [Harrys]",,1,,,,,UNIT,
22645451,,"Extra Mozzarella",,,,unit,1,2,GST,0.0000,GST,1,1,,,,,,,"Stow Food [Harrys]",,1,,1,Individual,1,UNIT,
20744658,,"Haku Vodka [Bottle]",,,,ml,700,0,GST,46.1800,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
22918983,,"Lotus Leaf Bao Charcoal Bun Hakka [120pc]",,,,unit,1,0,FRE,70.0000,FRE,0,1,,,0,1,1,,,,,,1,Individual,1,UNIT,
22900613,,"Nori [125g]",,,,g,125,0,FRE,16.0000,FRE,0,1,,,0,1,1,,,,,,1,Individual,,UNIT,
22992383,,"Pork Neck Slice [5KG]",,,,unit,1,0,FRE,77.5000,FRE,0,1,,,,1,1,,,,1,,1,Individual,1,UNIT,
22903010,,"Potato Brushed Sebago [kg]",,,,g,1000,0,FRE,2.7000,FRE,0,1,,,0,1,1,,,,,,1,Individual,,UNIT,
23202436,,"S&W Pacific Ale - Schooner [HG]",,,,unit,1,13,GST,0.0000,GST,0,1,,BEERS,,,,,"Tap Beer [Harrys]",,1,,,,1,UNIT,
21004237,,"Wolf Lane Navy Gin",,,,unit,1,16,GST,0.0000,GST,0,1,,SPIRITS,,,,,"Gins [Harrys]",,1,,,,,UNIT,
22972848,,"Bundaberg White Sugar [25kg]",,,,g,25000,0,FRE,63.8000,FRE,0,1,,,,,,,,,1,,1,Individual,1,UNIT,
20750151,,"Glendronach 12yr [Bottle]",,,,ml,700,0,GST,0.0000,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
20750170,,"Macallan Sherry Oak 12yr [Bottle]",,,,ml,700,0,GST,0.0000,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
20702579,,"No Sugar",,,,unit,1,0,GST,0.0000,GST,1,1,,,0,0,0,,,,1,,,Individual,1,UNIT,
22893549,,"Oil Cottonseed [20L]",,,,l,20,0,FRE,69.0000,FRE,0,1,,,0,1,1,,,,1,,1,Individual,1,UNIT,
20768495,,"Tengumai Umajan Junmai [1.8L]",,,,ml,1800,0,GST,70.9500,GST,0,1,,,,,,,,,1,,1,Individual,1,UNIT,
20904019,,"Wa no Kokoro Yuzushu [Bottle]",,,,ml,500,0,GST,33.9200,GST,0,1,,,,,,,"Sake & Soju [Harrys]",,1,,1,Individual,1,BOTTLE,
20700543,,"Bloody Mary [HG]",,,,unit,1,22,GST,0.0000,GST,0,1,,COCKTAILS,1,0,0,,"Cocktails - Classic [Harrys]",,1,,,,,UNIT,
20702601,,"Lemonade Glass",,,,unit,1,4.5,GST,0.0000,GST,0,1,,NON-ALC,1,0,0,,"Non-Alcoholic [Harrys]",,1,,,,,UNIT,
