"ID","ProductName","Cost","Qty","Counted","Variance","CostVariance","CostCounted"
20484243,"1800 Coconut [Bottle]",62.96,0.5,0.55,0.05,3.15,34.63
23244215,"400 Conejos Mezcal [Bottle]",78.03,1.95,1.9,-0.05,-3.89,148.26
22575956,"818 Tequila Blanco [700ml]",78.33,0.9,0.9,0,0,70.5
20467569,"A. Rodda Chardonnay - Bottle",37.7,2.17,2,-0.17,-6.28,75.4
20464467,"A. Rodda Tempranillo - Bottle",27.85,6.47,6.55,0.08,2.32,182.42
23114865,"Aether Vodka [Bottle]",58.79,0.75,0.8,0.05,2.94,47.03
20487298,"Alehouse Draught Lager [Keg]",212.86,2.12,1.82,-0.3,-63.3,388.04
20487313,"Alehouse Summer Mid [Keg]",184.94,0.48,0.58,0.1,19.25,107.82
20484279,"Amaro Montenegro [Bottle]",49.76,1.36,1.33,-0.03,-1.49,66.18
22865362,"Ancho Reyes Chilli Liqueur [Bottle]",68.67,0.08,0.18,0.09,6.43,12.15
22082019,"Ancho Reyes Verde [700ml]",71.76,0.95,0.9,-0.05,-3.59,64.58
20484282,"Angel's Envy Bourbon [Bottle]",83.85,0.56,0.7,0.14,11.98,58.7
20487270,"Angostura Bitters [200ml]",20.34,2.31,2.1,-0.21,-4.29,42.71
20484285,"Antica Formula Rosso Vermouth [Bottle]",64.27,1.96,1.74,-0.22,-14.19,112.02
20484286,"Aperol [Bottle]",29.08,9.38,7.85,-1.53,-44.63,228.28
20487949,"Appleton Rum [Bottle]",56.69,0,0.54,0.54,30.5,30.5
20484292,"Archie Rose Signature Gin [Bottle]",61.54,0.46,0.65,0.19,11.89,40
20445705,"Asahi 3.5%",2.54,29,28,-1,-2.54,71.12
20484304,"Bacardi Blanca [700ml]",50.19,1.94,1.9,-0.04,-1.91,95.26
20484685,"Bailey's Irish Cream 1L [Bottle]",54.96,0.63,0.6,-0.03,-1.65,32.98
20484688,"Balvenie 14yr Caribbean Cask [Bottle]",138.26,1.34,1.35,0.01,1.98,186.65
20484935,"Barrel One Coffee Concentrate [Bottle]",15.26,8.03,6.52,-1.51,-23.02,99.5
20512731,"Barsol Pisco [Bottle]",78.85,2.05,2.1,0.05,3.94,165.59
20484721,"Belvedere Vodka [Bottle]",61.81,1.14,1,-0.14,-8.38,61.81
20445702,"Better Beer Tin",2.5,23,23,0,0,57.5
20727770,"Bickfords Raspberry Cordial [Bottle]",5.13,0.47,0.9,0.43,2.21,4.62
20727774,"Bittermen's Burlesque Bitters",29.21,-0.12,0.04,0.15,4.49,1.08
20727779,"Bittermen's Tiki Bitters [Bottle]",29.44,-0.02,0.03,0.05,1.54,0.82
20512452,"Bols Genever [Bottle]",45.31,0.5,0.5,0,0,22.66
20483544,"Bombay Dry [Bottle]",49.43,8.72,7.37,-1.35,-66.76,364.2
20484744,"Bombay Sapphire [Bottle]",54.19,0.93,0.85,-0.08,-4.34,46.06
20484772,"Braulio [Bottle]",39.94,1.01,1,-0.01,-0.4,39.94
20484781,"Brookie's Byron Dry [Bottle]",64.05,0.64,0.7,0.06,4.12,44.84
20487456,"Brookie's Mac. Liqueur [Bottle]",54.79,1,1,0,0,54.79
20512419,"Brookie's Slow Gin [Bottle]",57.94,0.7,0.65,-0.05,-2.9,37.66
