"ID","ProductName","Cost","Qty","Counted","Variance","CostVariance","CostCounted"
20484243,"1800 Coconut [Bottle]",69.62,1.91,1.6,-0.31,-21.85,111.39
20459447,"4 Pines Kolsch Bottle D",2.65,49,42,-7,-18.55,111.3
22575956,"818 Tequila Blanco [700ml]",78.33,1,0.9,-0.1,-7.83,70.5
20467569,"A. Rodda Chardonnay - Bottle",30.83,9.88,12,2.12,65.25,369.96
20464467,"A. Rodda Tempranillo - Bottle",28.31,15.25,15.95,0.7,19.82,451.54
20487298,"Alehouse Draught Lager [Keg]",203.5,3.13,4.7,1.57,320.09,956.45
20487313,"Alehouse Summer Mid [Keg]",176,2.85,2.9,0.05,9.05,510.4
20484279,"Amaro Montenegro [Bottle]",49.76,1.24,1.7,0.46,22.89,84.59
20484282,"Angel's Envy Bourbon [Bottle]",89.14,0.36,0.45,0.09,7.64,40.11
20487270,"Angostura Bitters [200ml]",20.89,4.52,2.5,-2.02,-42.2,52.23
20484285,"Antica Formula Rosso Vermouth [Bottle]",63.36,2.29,2.9,0.61,38.57,183.74
20484286,"Aperol [Bottle]",29.62,29.69,19.7,-9.99,-295.87,583.51
20487949,"Appleton Rum [Bottle]",52.61,2.24,2,-0.24,-12.4,105.22
20484292,"Archie Rose Signature Gin [Bottle]",63.72,1.28,1.35,0.07,4.58,86.02
20445705,"Asahi 3.5%",2.18,30,19,-11,-23.98,41.42
20484304,"Bacardi Blanca [700ml]",48.81,5.76,2.7,-3.06,-149.15,131.79
20484685,"Bailey's Irish Cream 1L [Bottle]",54.64,2.51,1.9,-0.61,-33.33,103.82
20484688,"Balvenie 14yr Caribbean Cask [Bottle]",128.45,1.09,1,-0.09,-11.46,128.45
20484935,"Barrel One Coffee Concentrate [Bottle]",13.88,25.32,9.4,-15.92,-221.03,130.47
20512731,"Barsol Pisco [Bottle]",77.32,2.23,1.25,-0.98,-75.66,96.65
20484721,"Belvedere Vodka [Bottle]",59.85,1.01,0.95,-0.06,-3.8,56.86
20445702,"Better Beer Tin",2.39,27,17,-10,-23.9,40.63
20727770,"Bickfords Raspberry Cordial [Bottle]",4.68,1.06,1,-0.06,-0.27,4.68
20512452,"Bols Genever [Bottle]",45.31,0.7,0.5,-0.2,-9.06,22.66
20483544,"Bombay Dry [Bottle]",48.66,18.49,23.1,4.61,224.44,1124.05
20484744,"Bombay Sapphire [Bottle]",48.19,1.41,1.35,-0.06,-2.75,65.06
20484772,"Braulio [Bottle]",39.94,1,1,0,0,39.94
20484779,"Brix White Rum [Bottle]",58.02,0.3,0.25,-0.05,-2.9,14.51
20484781,"Brookie's Byron Dry [Bottle]",64.05,2.53,1.25,-1.28,-81.71,80.06
20487456,"Brookie's Mac. Liqueur [Bottle]",54.79,1.16,1.1,-0.06,-3.52,60.27
