"ID","ProductName","Cost","Qty","Counted","Variance","CostVariance","CostCounted"
20484243,"1800 Coconut [Bottle]",62.96,1.56,1.6,0.04,2.25,100.74
20459447,"4 Pines Kolsch Bottle D",2.65,45,55,10,26.5,145.75
20467569,"A. Rodda Chardonnay - Bottle",30.98,8.5,8.6,0.1,3.1,266.43
20464467,"A. Rodda Tempranillo - Bottle",30.11,6.17,6,-0.17,-5.02,180.66
20487313,"Alehouse Summer Mid [Keg]",176,1.52,1.7,0.18,31.61,299.2
20487298,"Alehouse Draught Lager [Keg]",203.5,1.74,1.05,-0.69,-140.88,213.68
20484279,"Amaro Montenegro [Bottle]",49.76,0.77,0.2,-0.57,-28.36,9.95
20484282,"Angel's Envy Bourbon [Bottle]",89.14,0.55,0.45,-0.1,-8.91,40.11
20484285,"Antica Formula Rosso Vermouth [Bottle]",60.16,2.43,2.2,-0.23,-13.68,132.35
20484286,"Aperol [Bottle]",28.26,13.37,13.19,-0.18,-4.95,372.75
20487949,"Appleton Rum [Bottle]",52.61,1.7,2,0.3,15.78,105.22
20484292,"Archie Rose Signature Gin [Bottle]",63.72,0.7,1.65,0.95,60.55,105.14
20445705,"Asahi 3.5%",2.36,50,28,-22,-51.92,66.08
20484304,"Bacardi Blanca [700ml]",48.38,4.4,2.5,-1.9,-91.83,120.95
20484685,"Bailey's Irish Cream 1L [Bottle]",52.87,1.69,1.7,0.01,0.53,89.88
20484688,"Balvenie 14yr Caribbean Cask [Bottle]",128.45,1.2,1.25,0.05,6.42,160.56
20484935,"Barrel One Coffee Concentrate [Bottle]",13.88,15.04,8,-7.04,-97.72,111.04
20512731,"Barsol Pisco [Bottle]",77.32,2.06,1.25,-0.81,-62.95,96.65
20484721,"Belvedere Vodka [Bottle]",57.5,1.05,0.9,-0.15,-8.61,51.75
20445702,"Better Beer Tin",2.39,27,27,0,0,64.53
20727770,"Bickfords Raspberry Cordial [Bottle]",5.14,1.28,2,0.72,3.7,10.28
20483544,"Bombay Dry [Bottle]",46.6,6.96,5.3,-1.66,-77.15,246.98
20484744,"Bombay Sapphire [Bottle]",54.75,0.95,0.9,-0.05,-2.73,49.28
20484772,"Braulio [Bottle]",39.94,1.06,1,-0.06,-2.4,39.94
20484779,"Brix White Rum [Bottle]",58.02,0.61,0.3,-0.31,-17.82,17.41
20484781,"Brookie's Byron Dry [Bottle]",64.98,1.51,1.5,-0.01,-0.8,97.47
20487456,"Brookie's Mac. Liqueur [Bottle]",54.79,1.21,1.2,-0.01,-0.39,65.75
20470926,"Brooky Ginger Beer Bottle",3.38,13,14,1,3.38,47.32
20484751,"Buffalo Trace Bourbon [Bottle]",53.01,3.2,2.4,-0.8,-42.42,127.22
20485266,"Bundaberg Ginger Beer [750ml]",3.23,11.67,25.7,14.03,45.33,83.01
20485273,"Bunnahabhain 12yr [Bottle]",124.72,1.09,1,-0.09,-10.69,124.72
20484753,"Campari [Bottle]",40.51,4.96,3.5,-1.46,-59.33,141.79
20710102,"Canadian Club [Bottle]",43.35,1.86,1.85,-0.01,-0.62,80.2
20483609,"Carpano Classico [750ml]",25.74,2.11,1.31,-0.8,-20.53,33.72
20728902,"Casa Gheller Prosecco - Bottle",16.72,6.4,8,1.6,26.75,133.76
20485738,"Casamigos Reposado Tequila [Bottle]",108.3,0.6,1.15,0.55,59.57,124.55
20487243,"Cazcabel Reposado Tequila [Bottle]",64.44,0.77,0.75,-0.02,-1.37,48.33
20492707,"Chambord [Bottle]",56.3,1.11,0.8,-0.31,-17.35,45.04
20492640,"Chartreuse Yellow [Bottle]",106.85,0.75,0.75,0,0,80.14
20710041,"Cherry Heering [Bottle]",43.71,0.55,0.8,0.25,10.93,34.97
20487234,"Cocchi Americano [Bottle]",57.55,0.29,0.25,-0.04,-2.53,14.39
20492757,"Cointreau [Bottle]",58.1,0.6,0.3,-0.3,-17.43,17.43
20459552,"Coke 1.25L",2.88,25,17,-8,-23.04,48.96
20459560,"Coke Can",1.63,51,24,-27,-44.01,39.12
20459553,"Coke Zero 1.25L",2.89,27,16,-11,-31.79,46.24
20459561,"Coke Zero Can",1.47,12,11,-1,-1.47,16.17
20445701,"Corona",2.42,46,47,1,2.42,113.74
20645869,"Crankshaft IPA [Keg]",309,0.18,0.5,0.32,99.41,154.5
20485056,"Cri De Couer Pinot Noir - Bottle",62.15,5,4.85,-0.15,-9.32,301.43
20485015,"Cynar [Bottle]",38.78,0.95,0.9,-0.05,-1.81,34.9
