"ID","ProductName","Cost","Qty","Counted","Variance","CostVariance","CostCounted"
20487286,"Four Pillars Bloody Shiraz [Bottle]",66.22,1.5,1.5,0,0,99.33
20487289,"Four Pillars Olive Leaf [Bottle]",80.5,1.8,1.8,0,0,144.9
20487294,"Four Pillars Rare Dry [Bottle]",57.27,1.15,1.15,0,0,65.86
20710023,"Frangelico [Bottle]",42.69,0.55,0.55,0,0,23.61
20655236,"Geppetto Pinot Noir - Bottle",17.67,10.6,10.6,0,0,187.3
20512408,"Germano Caetano Cachaça [Bottle]",74.18,2.23,2.23,0,0,165.05
20464656,"Glaetzer Anaperenna Shiraz Cab - Bottle",37.5,4.25,4.25,0,0,159.38
20487322,"Glendronach 12yr [Bottle]",103.47,1,1.61,0.61,63.55,167.02
20645919,"Gosling's Black Rum [700ml]",63.48,0.55,0.55,0,0,34.91
20487225,"Grand Marnier [Bottle]",48.86,2.12,2.12,0,0,103.44
20709997,"Grey Goose [Bottle]",62.51,1.85,1.85,0,0,115.64
20445709,"Grifter Big Sur IPA Tin",3.65,6,6,0,0,21.9
20445710,"Grifter Omen Stout Tin",3.5,23,23,0,0,80.5
20487426,"Grifter Pale [Keg]",292.05,1.7,1.7,0,0,496.19
20445708,"Grifter Pink Galah Tin",3.5,7,7,0,0,24.5
20488066,"Grifter Serpents Kiss Can",3.18,3,3,0,0,9.54
23216243,"Guinness [Keg]",413.33,0.94,0.94,0,0,390.18
22931792,"Hahn Super Dry GF",2.68,3,3,0,0,8.04
20487447,"Hartshorn Sheep Whey Vodka [Bottle]",72.01,0.5,0.5,0,0,36.01
20487459,"Harveys Bristol Cream Sherry [Bottle]",14.59,0.05,0.05,0,0,0.79
21999746,"Havana 3yr [700ml]",29.09,1.7,1.7,0,0,49.45
20445707,"Heaps Normal Tin",2.66,3,3,0,0,7.98
20487472,"Hendrick's Gin [Bottle]",62.64,0.6,0.6,0,0,37.58
20487484,"Herradura Plata [Bottle]",79.21,2.1,2.1,0,0,166.34
22169779,"Hine Rare VSOP Cognac [700ml]",118.94,0.8,0.8,0,0,95.15
22604996,"Hyoketsu Lemon Can",0,2,2,0,0,0
20487488,"Illegal Reposado Mezcal [Bottle]",127.44,0.7,0.7,0,0,89.21
20492690,"Italicus Bergamot Liqueur [Bottle]",64.76,0.8,0.8,0,0,51.81
