"ID","ProductName","Cost","Qty","Counted","Variance","CostVariance","CostCounted"
20459447,"4 Pines Kolsch Bottle D",2.65,65,65,0,0,172.25
20467569,"A. Rodda Chardonnay - Bottle",30.72,8.97,5.3,-3.67,-112.64,162.82
20464467,"A. Rodda Tempranillo - Bottle",27.85,13.33,9.9,-3.43,-95.62,275.72
20487298,"Alehouse Draught Lager [Keg]",203.5,1.51,1.5,-0,-1.02,305.25
20487313,"Alehouse Summer Mid [Keg]",176,2,2.25,0.25,44.23,396
20487270,"Angostura Bitters [200ml]",20.39,3.69,3,-0.69,-13.97,61.17
20484285,"Antica Formula Rosso Vermouth [Bottle]",60.44,2.26,1.88,-0.38,-23.18,113.63
20484286,"Aperol [Bottle]",28.74,13.01,13.3,0.29,8.36,382.24
20487949,"Appleton Rum [Bottle]",354.05,0.77,1.1,0.33,116.27,389.46
20484292,"Archie Rose Signature Gin [Bottle]",62.29,1.09,1,-0.09,-5.77,62.29
20445705,"Asahi 3.5%",2.33,39,58,19,44.27,135.14
20484304,"Bacardi Blanca [700ml]",47.36,2.05,2.8,0.75,35.58,132.61
20484685,"Bailey's Irish Cream 1L [Bottle]",47.54,1.84,0.9,-0.94,-44.69,42.79
20484935,"Barrel One Coffee Concentrate [Bottle]",13.88,18.71,13.5,-5.21,-72.31,187.38
20484721,"Belvedere Vodka [Bottle]",60.26,1.02,0.9,-0.12,-7.3,54.23
20445702,"Better Beer Tin",2.09,7,7,0,0,14.63
20727770,"Bickfords Raspberry Cordial [Bottle]",5.13,0.88,1.7,0.82,4.21,8.72
20484732,"Big Sur IPA [Keg]",351,0.82,0.8,-0.02,-8.6,280.8
20483544,"Bombay Dry [Bottle]",43.86,8.51,5.63,-2.88,-126.39,246.93
20484744,"Bombay Sapphire [Bottle]",48.19,0.76,0.85,0.09,4.49,40.96
20484781,"Brookie's Byron Dry [Bottle]",65.89,1.61,1.6,-0.01,-0.94,105.42
20470926,"Brooky Ginger Beer Bottle",3.09,10,13,3,9.27,40.17
20484751,"Buffalo Trace Bourbon [Bottle]",52.14,1.93,2.2,0.27,14.15,114.71
