"ID","ProductName","Cost","Qty","Counted","Variance","CostVariance","CostCounted"
20484784,"Fever-Tree Naturally Light Tonic [Bottle]",4.11,8.17,8.9,0.73,3,36.58
20710120,"Fireball [Bottle]",39.4,1.3,1.15,-0.15,-5.91,45.31
20487276,"Flor De Caña 12yr [Bottle]",71.59,0.1,0.1,0,0,7.16
20487280,"Flor De Caña 4 Extra Seco [Bottle]",57.77,0.91,0.4,-0.51,-29.71,23.11
22614115,"Fortaleza Añejo [Bottle]",182.67,0.5,0.35,-0.15,-27.4,63.93
20487283,"Fortaleza Reposado [Bottle]",170,1.27,1.23,-0.03,-5.78,209.61
20487286,"Four Pillars Bloody Shiraz [Bottle]",66.22,1.5,1.5,0,0,99.33
20487289,"Four Pillars Olive Leaf [Bottle]",80.5,1.8,1.8,0,0,144.9
20487294,"Four Pillars Rare Dry [Bottle]",57.27,1.16,1.15,-0.01,-0.41,65.86
20710023,"Frangelico [Bottle]",42.69,0.52,0.55,0.04,1.53,23.61
20655236,"Geppetto Pinot Noir - Bottle",17.67,10.73,10.6,-0.13,-2.36,187.3
20512408,"Germano Caetano Cachaça [Bottle]",74.18,2.18,2.23,0.05,3.71,165.05
20464656,"Glaetzer Anaperenna Shiraz Cab - Bottle",37.5,4.3,4.25,-0.05,-1.87,159.38
20487322,"Glendronach 12yr [Bottle]",103.47,1.61,1,-0.61,-63.55,103.47
20645919,"Gosling's Black Rum [700ml]",63.48,0.6,0.55,-0.05,-3.17,34.91
20487225,"Grand Marnier [Bottle]",48.86,2.16,2.12,-0.05,-2.25,103.44
20709997,"Grey Goose [Bottle]",62.51,1.8,1.85,0.05,3.13,115.64
20445709,"Grifter Big Sur IPA Tin",3.65,10,6,-4,-14.6,21.9
20445710,"Grifter Omen Stout Tin",3.5,23,23,0,0,80.5
20487426,"Grifter Pale [Keg]",292.05,1.58,1.7,0.11,33.41,496.19
20445708,"Grifter Pink Galah Tin",3.5,7,7,0,0,24.5
20488066,"Grifter Serpents Kiss Can",3.18,3,3,0,0,9.54
23216243,"Guinness [Keg]",413.33,0.96,0.94,-0.02,-6.61,390.18
22931792,"Hahn Super Dry GF",2.68,3,3,0,0,8.04
20487447,"Hartshorn Sheep Whey Vodka [Bottle]",72.01,0.5,0.5,0,0,36.01
20487459,"Harveys Bristol Cream Sherry [Bottle]",14.59,0.42,0.05,-0.36,-5.27,0.79
21999746,"Havana 3yr [700ml]",29.09,1.74,1.7,-0.04,-1.04,49.45
20445707,"Heaps Normal Tin",2.66,6,3,-3,-7.98,7.98
20487472,"Hendrick's Gin [Bottle]",62.64,0.8,0.6,-0.2,-12.52,37.58
20487484,"Herradura Plata [Bottle]",79.21,2.15,2.1,-0.05,-3.96,166.34
22169779,"Hine Rare VSOP Cognac [700ml]",118.94,0.76,0.8,0.04,5.1,95.15
22604996,"Hyoketsu Lemon Can",0,2,2,0,0,0
20487488,"Illegal Reposado Mezcal [Bottle]",127.44,0.75,0.7,-0.05,-6.37,89.21
20492690,"Italicus Bergamot Liqueur [Bottle]",64.76,0.8,0.8,0,0,51.81
20487490,"Jack Daniels [Bottle]",52.72,1,1,0,0,52.72
20445706,"James Boags Light",2.24,14,16,2,4.48,35.84
20487512,"Jameson Irish Whiskey [Bottle]",52.8,0.7,0.55,-0.15,-7.92,29.04
20492716,"John D. Taylor's Velvet Falernum [Bottle]",36.74,0.4,0.45,0.05,1.84,16.53
20512418,"Joseph Cartron Apricot Brandy [Bottle]",49.96,1.5,1.5,0,0,74.94
20484934,"Kahlua [1L]",47.99,4.8,5.66,0.87,41.54,271.77
20786711,"Kirin [Keg]",444.8,0.85,0.78,-0.07,-31.76,345.16
20487531,"Kraken Rum [Bottle]",49.43,0.59,0.5,-0.09,-4.24,24.72
20464670,"Kuku Sauvignon Blanc - Bottle",14.57,16.5,16.15,-0.35,-5.1,235.31
23120129,"La Petite Mort Albarino 2025 - Bottle",22.89,3.5,3.8,0.3,6.87,86.98
23120216,"La Petite Mort Rosso 2025 - Bottle",22.89,1.6,1.2,-0.4,-9.16,27.47
21939293,"Little Dragon Can",3.53,25,25,0,0,88.25
20487546,"Lost Explorer Espadín Mezcal [Bottle]",69.98,0.3,0.08,-0.23,-15.75,5.25
20512320,"Luxardo Maraschino [Bottle]",51.42,0.7,0.75,0.05,2.57,38.57
20492685,"Lyre's Italian Spritz [Bottle]",36.77,0.55,0.5,-0.05,-1.84,18.39
20487793,"Massenez Black Cacao [5L]",318,0.18,0.25,0.07,21.78,79.5
20492692,"Massenez Cacao Blanc [750ml]",47.27,0.06,0.05,-0.01,-0.26,2.41
21150705,"Massenez Creme de Cassis [750ml]",0,0.05,0.1,0.05,0,0
21150706,"Massenez Creme de Mure [750ml]",41.82,0.3,0.35,0.05,2.09,14.64
22684315,"Massenez Elderflower [5L]",237.95,0.6,0.54,-0.07,-16.25,127.3
20729559,"Massenez Framboise Raspberry [750ml]",41.82,0.95,0.9,-0.05,-2.09,37.64
20487547,"Massenez Lychee [5L]",290.62,2.49,2.57,0.08,22.09,746.31
22873696,"Massenez Mango Liqueur [5L Cask]",320.99,0.79,0.93,0.14,45.58,298.52
20483413,"Massenez Triple Sec [5L]",312.98,2.59,2.58,-0.01,-4.6,806.55
20492642,"Massenez Wild Strawberry [750ml]",43.91,0.55,0.55,0,0,24.15
20487836,"Monkey Shoulder Scotch [Bottle]",55.75,0.4,0.33,-0.07,-3.9,18.4
20445714,"Monteith's Apple Cider Bottle",3.11,24,23,-1,-3.11,71.53
20464685,"Mother's Milk Shiraz - Bottle",16.08,7.32,7.4,0.08,1.34,118.99
20487788,"Mr Black Coffee Liqueur [Bottle]",38.29,0.75,0.8,0.05,1.91,30.63
20487812,"Myer's Jamaican Rum [Bottle]",74.04,0.21,0.18,-0.03,-2.07,13.4
20487829,"Never Never Oyster Shell Gin [Bottle]",69.5,0.5,0.5,0,0,34.75
20487319,"Noilly Prat Dry Vermouth [Bottle]",35.69,1.28,1,-0.28,-9.88,35.69
20464651,"Ottelia Cab Sav - Bottle",23.03,13.22,12.5,-0.72,-16.51,287.88
20464694,"Ottelia Chardonnay - Bottle",17.29,15.82,15,-0.82,-14.12,259.35
20464662,"Padrillos Malbec - Bottle",22.39,3.7,0.55,-3.15,-70.53,12.31
20487923,"Patron Reposado [Bottle]",88.23,1.3,1.35,0.05,4.41,119.11
20487926,"Patron Silver [Bottle]",76.52,1.16,1.35,0.19,14.22,103.3
20512432,"Pernod Absinthe [Bottle]",0,0.33,0.35,0.02,0,0
20445700,"Peroni",2.55,38,38,0,0,96.9
21999769,"Peroni 0%",1.85,31,31,0,0,57.35
20466106,"Petits Detours Rosé Mediterranee - Bottle",16.49,9.16,9.4,0.24,4.01,155.01
20487875,"Philter Red [Keg]",298.2,0.28,0.27,-0.01,-3.73,80.51
20487938,"Philter XPA [Keg]",263.12,0.94,1.08,0.15,38.21,284.96
20727759,"Pierre Ferrand Dry Curacao [Bottle]",71.39,1,0.95,-0.05,-3.57,67.82
20512724,"Pimm's Aperitif [Bottle]",44.92,1,1,0,0,44.92
20487946,"Plantation 3 Stars White Rum [Bottle]",60.83,0.58,0.38,-0.2,-12.35,22.93
22442475,"Plantation Original Dark",2.53,0,0.25,0.25,0.63,0.63
20487958,"Poor Tom's Strawberry Gin [Bottle]",69.16,1.42,1.45,0.03,1.98,100.28
22169473,"R de Ruinart Brut Champagne",0,2,2,0,0,0
20466083,"Ravensworth Skins Gris - Bottle",20.19,2.6,2.4,-0.2,-4.04,48.46
20484763,"Regal Rogue Bold Red Vermouth [5L]",157.75,0.73,0.72,-0.01,-0.9,113.74
20483410,"Rooster Rojo Blanco Tequila [Bottle]",56.8,24.14,31.16,7.02,398.7,1770.12
20484932,"Sailor Jerry [700ml]",44.61,1.96,3.08,1.12,49.75,137.18
20445897,"San Pellegrino 500ml",2.31,12,8,-4,-9.24,18.48
20488033,"Seadrift Coast [Bottle]",37.5,0.42,0.45,0.03,1.07,16.88
20487241,"Select Aperitivo [Bottle]",29.01,1.75,1.7,-0.05,-1.45,49.32
23217497,"Seppeltsfield Para Grand 10yo Tawny [Bottle]",31.37,2.8,1.85,-0.95,-29.8,58.03
20728346,"Sibiliana Nero D'Avola - Bottle",16.34,9.05,8.9,-0.15,-2.45,145.43
20466100,"Sigurd GSM Red Blend - Bottle",23.1,8.2,8,-0.2,-4.62,184.8
20466095,"Sigurd White Blend - Bottle",23.1,11.45,11.6,0.15,3.47,267.96
20459554,"Solo 1.25L",3.58,10,9,-1,-3.58,32.22
20459555,"Sprite 1.25L",3.66,2,1,-1,-3.66,3.66
20459564,"Sprite Can",1.9,27,2,-25,-47.5,3.8
20727873,"St. Felix Bitter Aperitivo [Bottle]",37.28,0.75,0.7,-0.05,-1.86,26.1
20459532,"Status Quo Can D",3.69,16,17,1,3.69,62.73
20492634,"Status Quo [Keg]",360.91,0.4,0.4,0.01,3.18,145.81
20492637,"Stone & Wood [Keg]",381.12,0.63,0.71,0.08,31.52,271.74
20459557,"Sunkist 1.25L",2.04,14,14,0,0,28.56
20492694,"Tanqueray 10 [Bottle]",81.83,0.7,0.8,0.1,8.18,65.46
20710158,"Tempus Fugit Creme de Banane [Bottle]",59.34,1.61,1.55,-0.06,-3.35,92.21
20512316,"Tempus Fugit Violette [Bottle]",71.03,0.5,0.55,0.05,3.55,39.07
20492697,"Tequila Ocho Anejo [Bottle]",99,0.2,0.15,-0.05,-4.95,14.85
20492699,"Tilde Raw Vodka [Bottle]",59,0.35,0.33,-0.02,-1.18,19.47
20492701,"Tito's Vodka [Bottle]",68.62,0.45,0.45,0,0,30.88
20645912,"Travelling While Standing Still Gin [700ml]",90,0.45,0.5,0.05,4.5,45
20466112,"Trentham Estate Rosé - Bottle",10.55,19.75,20,0.25,2.64,211
20464635,"Trutta Streamside Shiraz [Chilled] - Bottle",18.7,8.1,7,-1.1,-20.57,130.9
20445703,"Two Bays Pale Ale Can",5.41,9,9,0,0,48.69
20464707,"Two Tonne Riesling - Bottle",21.36,1.6,1.4,-0.2,-4.27,29.9
20645902,"Unico Zelo Terra Cotta - Bottle",21.89,14.6,14.3,-0.3,-6.57,313.03
