"ID","ProductName","Cost","Qty","Counted","Variance","CostVariance","CostCounted"
20484243,"1800 Coconut [Bottle]",66.22,1.66,1.65,-0.01,-0.93,109.26
20459447,"4 Pines Kolsch Bottle D",2.65,64,59,-5,-13.25,156.35
20467569,"A. Rodda Chardonnay - Bottle",30.83,9.77,8.7,-1.07,-32.89,268.22
20464467,"A. Rodda Tempranillo - Bottle",27.85,3.97,3.75,-0.22,-6.04,104.44
20487298,"Alehouse Draught Lager [Keg]",203.5,4.23,4.2,-0.03,-5.66,854.7
20487313,"Alehouse Summer Mid [Keg]",176,2.54,2.75,0.21,36.34,484
20484279,"Amaro Montenegro [Bottle]",49.76,1.28,1.05,-0.23,-11.44,52.25
20487270,"Angostura Bitters [200ml]",20.89,4.8,1.5,-3.3,-68.94,31.34
20484285,"Antica Formula Rosso Vermouth [Bottle]",63.34,2.23,1.85,-0.38,-23.84,117.18
20484286,"Aperol [Bottle]",28.85,20.71,21.05,0.34,9.87,607.29
20487949,"Appleton Rum [Bottle]",52.61,2.63,2.7,0.07,3.75,142.05
20484292,"Archie Rose Signature Gin [Bottle]",62.29,0.57,0.6,0.03,1.79,37.37
20445705,"Asahi 3.5%",2.33,46,37,-9,-20.97,86.21
20484304,"Bacardi Blanca [700ml]",48.93,3.75,2.9,-0.85,-41.36,141.9
20484685,"Bailey's Irish Cream 1L [Bottle]",44.94,1.51,1.2,-0.31,-13.93,53.93
20484688,"Balvenie 14yr Caribbean Cask [Bottle]",128.45,1.2,1.2,0,0,154.14
20484935,"Barrel One Coffee Concentrate [Bottle]",13.88,9.14,5.45,-3.69,-51.22,75.65
20512731,"Barsol Pisco [Bottle]",76.53,1.58,1.55,-0.03,-2.19,118.62
20484721,"Belvedere Vodka [Bottle]",59.83,1.49,1.55,0.06,3.86,92.74
20445702,"Better Beer Tin",2.76,30,29,-1,-2.76,80.04
20727770,"Bickfords Raspberry Cordial [Bottle]",5.14,2.03,1,-1.03,-5.31,5.14
20484732,"Big Sur IPA [Keg]",351,0.31,0.45,0.15,50.9,157.95
20483544,"Bombay Dry [Bottle]",46.92,12.62,13.42,0.8,37.32,629.67
20484744,"Bombay Sapphire [Bottle]",54.75,1.55,2.55,1,54.76,139.61
20484772,"Braulio [Bottle]",40.42,0.77,0.4,-0.37,-14.96,16.17
20484781,"Brookie's Byron Dry [Bottle]",65.89,1.28,1.3,0.02,1.42,85.66
20487456,"Brookie's Mac. Liqueur [Bottle]",54.79,1.36,1.35,-0.01,-0.39,73.97
20470926,"Brooky Ginger Beer Bottle",3.67,45,16,-29,-106.43,58.72
20484751,"Buffalo Trace Bourbon [Bottle]",53.65,2.91,1.4,-1.51,-81.24,75.11
20485266,"Bundaberg Ginger Beer [750ml]",3.43,22.67,20.95,-1.72,-5.89,71.86
20484753,"Campari [Bottle]",40.61,6.05,5.32,-0.73,-29.71,216.05
20710102,"Canadian Club [Bottle]",43.35,2.06,2.05,-0.01,-0.31,88.87
20483609,"Carpano Classico [750ml]",25.74,2.41,1.9,-0.51,-13.1,48.91
20728902,"Casa Gheller Prosecco - Bottle",17.39,35.3,37.3,2,34.78,648.65
20492707,"Chambord [Bottle]",56.3,1.69,1,-0.69,-38.67,56.3
20492757,"Cointreau [Bottle]",58.1,1.01,0.95,-0.06,-3.32,55.2
20459552,"Coke 1.25L",3.14,37,36,-1,-3.14,113.04
20459560,"Coke Can",1.57,36,23,-13,-20.41,36.11
20459561,"Coke Zero Can",1.57,59,52,-7,-10.99,81.64
20445701,"Corona",2.48,63,57,-6,-14.88,141.36
20645869,"Crankshaft IPA [Keg]",309,1.11,1,-0.11,-34.98,309
20485056,"Cri De Couer Pinot Noir - Bottle",59.56,9.37,8.3,-1.07,-63.53,494.35
20464486,"Das Juice Pink Pet Nat - Bottle",14.64,12,12.8,0.8,11.71,187.39
20487328,"De Bortoli Gold Seal Dry Red [15L]",53.95,1.81,2.1,0.29,15.68,113.3
20655376,"De La Grosse Beaujolais - Bottle",34.58,2.87,2.5,-0.37,-12.68,86.45
20459553,"Coke Zero 1.25L",3.09,27,26,-1,-3.09,80.34
21150832,"Diplomatico Mantuano [Bottle]",70.04,1.63,0.4,-1.23,-86.05,28.02
20492688,"Disaronno [Bottle]",48.83,2.98,2.95,-0.03,-1.46,144.05
20464635,"Disco Volante Pinot Noir [Chilled] - Bottle",18.7,11.23,10.8,-0.43,-8.1,201.96
20484692,"Dolin Blanc Vermouth [Bottle]",17.62,3.06,1.9,-1.16,-20.51,33.48
20445737,"Dom Pérignon Champagne - Bottle",398.59,1,1,0,0,398.59
20492689,"Domaine de Canton Ginger Liqueur [Bottle]",72.5,0.55,0.55,0,0.24,39.88
20464639,"Domaine Gueguen Chablis - Bottle",41.01,7.7,9.3,1.6,65.62,381.39
20484905,"Don Julio 1942 Añejo [Bottle]",0,1.1,1.1,0,0,0
20464644,"Dormilona Chenin Blanc - Bottle",22.38,5.1,4.9,-0.2,-4.48,109.66
20645909,"Dragonfly Grenache - Bottle",17.3,9.55,9.3,-0.25,-4.33,160.89
20464651,"Ottelia Cab Sav - Bottle",20.64,12.12,11,-1.12,-23.05,227.04
20445711,"Fellr Watermelon Seltzer Tin",3.16,12,9,-3,-9.48,28.44
20487274,"Fernet Branca [Bottle]",72.41,1.74,1.75,0.01,0.78,126.72
20484956,"Fever-Tree Mediterannean Tonic [Bottle]",3.74,15.34,16,0.66,2.47,59.84
20484784,"Fever-Tree Naturally Light Tonic [Bottle]",3.74,15.87,12,-3.87,-14.47,44.88
20710120,"Fireball [Bottle]",44.3,2.41,1.2,-1.21,-53.47,53.16
20487283,"Fortaleza Reposado [Bottle]",132.13,1.51,0.05,-1.46,-193.46,6.61
20487286,"Four Pillars Bloody Shiraz [Bottle]",66.1,2.41,2.35,-0.06,-4.27,155.34
20487289,"Four Pillars Olive Leaf [Bottle]",83.15,1.25,0.8,-0.45,-37.42,66.52
20487294,"Four Pillars Rare Dry [Bottle]",61.48,2.29,2.35,0.06,3.96,144.48
20710023,"Frangelico [Bottle]",42.59,1.05,0.85,-0.2,-8.69,36.2
20655236,"Geppetto Pinot Noir - Bottle",16.59,31.38,26.55,-4.83,-80.19,440.46
20512408,"Germano Caetano Cachaça [Bottle]",69,1.35,0.9,-0.45,-31.05,62.1
20464656,"Glaetzer Anaperenna Shiraz Cab - Bottle",37.5,10.15,9.25,-0.9,-33.75,346.88
20487322,"Glendronach 12yr [Bottle]",94.51,1.1,1.1,0,0,103.96
20487225,"Grand Marnier [Bottle]",61.5,0.71,0.7,-0.01,-0.85,43.05
20709997,"Grey Goose [Bottle]",67.34,2.49,2.3,-0.19,-12.99,154.88
20445709,"Grifter Big Sur IPA Tin",3.63,15,7,-8,-29.04,25.41
20445710,"Grifter Omen Stout Tin",3.19,18,17,-1,-3.19,54.23
20459505,"Grifter Pale Ale Cans D",2.74,31,27,-4,-10.96,73.98
20487426,"Grifter Pale [Keg]",292.05,2.71,2.9,0.19,55.17,846.95
20445708,"Grifter Pink Galah Tin",3.49,21,25,4,13.96,87.25
21999746,"Havana 3yr [700ml]",56.04,2,1.45,-0.55,-30.82,81.26
20445707,"Heaps Normal Tin",2.59,50,27,-23,-59.57,69.93
20487472,"Hendrick's Gin [Bottle]",64.7,2.91,2.5,-0.41,-26.29,161.75
20487484,"Herradura Plata [Bottle]",79.21,1.78,1.85,0.07,5.66,146.54
20487488,"Illegal Reposado Mezcal [Bottle]",102.05,2.28,2,-0.28,-28.43,204.1
20492690,"Italicus Bergamot Liqueur [Bottle]",64.71,1.9,1.9,0,0,122.95
20487490,"Jack Daniels [Bottle]",49.41,1.54,1.5,-0.04,-1.76,74.12
20445706,"James Boags Light",2.24,27,27,0,0,60.48
20487512,"Jameson Irish Whiskey [Bottle]",50.71,2.33,2.35,0.02,1.09,119.17
20487523,"Johnnie Walker Black [Bottle]",53.94,0.88,0.9,0.02,1.16,48.55
20484689,"Joseph Cartron Mango [Bottle]",45.2,2.4,2,-0.4,-18.09,90.4
20484934,"Kahlua [1L]",46.05,4.42,4.35,-0.07,-3.15,200.32
20786711,"Kirin [Keg]",287.1,1.92,1.95,0.03,9.04,559.85
20487531,"Kraken Rum [Bottle]",55.83,1.73,1.65,-0.08,-4.38,92.12
20464670,"Kuku Sauvignon Blanc - Bottle",14.57,36.2,34.55,-1.65,-24.04,503.39
20487534,"Lagavulin 16yr [Bottle]",146.86,0.4,0.45,0.05,7.34,66.09
20487538,"Laphroaig 10yr [Bottle]",100.46,1.34,1.1,-0.24,-23.73,110.51
20487546,"Lost Explorer Espadín Mezcal [Bottle]",62.58,1.97,2,0.03,1.8,125.16
20492685,"Lyre's Italian Spritz [Bottle]",37.41,2.14,2.35,0.21,7.74,87.91
20487567,"Macallan Sherry Oak 12yr [Bottle]",137.9,0.65,0.7,0.05,6.89,96.53
20487793,"Massenez Black Cacao [5L]",299.26,0.29,0.34,0.05,13.62,101.75
20487547,"Massenez Lychee [5L]",266.86,1.5,1.8,0.3,78.99,480.35
20483413,"Massenez Triple Sec [5L]",310.04,1.89,2.1,0.21,65.73,651.08
20729545,"Michter's Bourbon [Bottle]",105.09,0.6,0.5,-0.1,-10.51,52.55
20487836,"Monkey Shoulder Scotch [Bottle]",56.18,1.55,1.1,-0.45,-25.28,61.8
20445714,"Monteith's Apple Cider Bottle",3,34,23,-11,-33,69
20464685,"Mother's Milk Shiraz - Bottle",16.08,31,30,-1,-16.08,482.4
20487812,"Myer's Jamaican Rum [Bottle]",61.06,1.44,0.95,-0.49,-29.92,58.01
20487829,"Never Never Oyster Shell Gin [Bottle]",69.49,1.3,1.3,0,0,90.34
20487319,"Noilly Prat Dry Vermouth [Bottle]",27.65,1.77,1.9,0.13,3.67,52.54
20464694,"Ottelia Chardonnay - Bottle",17.03,11.67,9.65,-2.02,-34.35,164.34
20464662,"Padrillos Malbec - Bottle",22.04,6.92,17.5,10.58,233.26,385.7
20487923,"Patron Reposado [Bottle]",80.25,1.63,1.55,-0.08,-6.3,124.39
20487926,"Patron Silver [Bottle]",81.08,1.09,1,-0.09,-7.51,81.08
20445700,"Peroni",2.26,40,41,1,2.26,92.66
21999769,"Peroni 0%",1.79,34,32,-2,-3.58,57.28
20487875,"Philter Red [Keg]",325.42,1.03,0.6,-0.43,-141.49,195.25
20487938,"Philter XPA [Keg]",279.57,2.39,2.4,0.01,2.07,670.97
20464707,"Poacher's Riesling - Bottle",19.84,9.07,8.3,-0.77,-15.21,164.67
20487958,"Poor Tom's Strawberry Gin [Bottle]",71.61,2.1,1.8,-0.3,-21.48,128.9
20645884,"R de Ruinart Champagne - Bottle",253.19,2,2,0,0,506.38
20466083,"Ravensworth Skins Gris - Bottle",20.19,4.55,4.55,0,0,91.86
20484763,"Regal Rogue Bold Red Vermouth [5L]",157.75,1,1,0,0.03,157.75
20483410,"Rooster Rojo Blanco Tequila [Bottle]",50.59,69.43,65.75,-3.68,-186.21,3326.29
20484932,"Sailor Jerry [700ml]",43.83,4.78,6.14,1.36,59.51,269.12
20445897,"San Pellegrino 500ml",2.17,46,41,-5,-10.85,88.97
20466090,"Scout Pinot Gris - Bottle",20.35,8.32,8.15,-0.17,-3.39,165.85
20488033,"Seadrift Coast [Bottle]",37.5,1.84,1.75,-0.09,-3.48,65.63
20487241,"Select Aperitivo [Bottle]",27.74,1,1,0,0,27.74
20488066,"Grifter Serpents Kiss Can",3.18,37,24,-13,-41.34,76.32
20728346,"Sibiliana Nero D'Avola - Bottle",11.51,11.17,9.8,-1.37,-15.73,112.8
20466100,"Sigurd GSM Red Blend - Bottle",23.1,11.33,10,-1.33,-30.8,231
20466095,"Sigurd White Blend - Bottle",23.1,6.6,6.65,0.05,1.16,153.62
20459554,"Solo 1.25L",3.45,8,8,0,0,27.6
