purchasable_id,ingredient_id,confirmed_by,note
lightspeed:20744464,lightspeed:20487788,zak (batched identity review 2026-08-16),Mr Black Coffee Liqueur [Bottle] -> Mr Black Coffee Liqueur [Bottle]
lightspeed:20744466,lightspeed:20487923,zak (batched identity review 2026-08-16),Patron Reposado [Bottle] -> Patron Reposado [Bottle]
lightspeed:20747514,lightspeed:20487270,zak (batched identity review 2026-08-16),Angostura Bitters - Bottle 200ml -> Angostura Bitters [200ml]
lightspeed:20750141,lightspeed:20492689,zak (batched identity review 2026-08-16),Domaine de Canton Ginger Liqueur [Bottle] -> Domaine de Canton Ginger Liqueur [Bottle]
lightspeed:20750175,lightspeed:20487829,zak (batched identity review 2026-08-16),Never Never Oyster Shell Gin [Bottle] -> Never Never Oyster Shell Gin [Bottle]
lightspeed:20750267,lightspeed:20485266,zak (batched identity review 2026-08-16),Bundaberg Ginger beer [750ml] -> Bundaberg Ginger Beer [750ml]
paramount:10018402,lightspeed:20487829,zak (batched identity review 2026-08-16),paramount:10018402 -> Never Never Oyster Shell Gin [Bottle]
paramount:66366,lightspeed:20487270,zak (batched identity review 2026-08-16),paramount:66366 -> Angostura Bitters [200ml]
paramount:68140,lightspeed:20487949,zak (batched identity review 2026-08-16),paramount:68140 -> Appleton Rum [Bottle]
paramount:78607,lightspeed:20492747,zak (batched identity review 2026-08-16),paramount:78607 -> Wolf Lane Navy Gin [Bottle]
