Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Fresh is Best Lager - Pint,30,4,341.45,3,73.54,78
2,,Pork Roast,26,4,806.08,7,128.1,84
3,,Roast Turkey,21,3,703.87,6,0,100
4,,Stone & Wood - Schooner,20,3,264.53,2,64.95,75
5,,Fresh is Best Lager - Schooner,18.7,3,172.03,2,34.18,80
6,,Cauliflower Cheese,17,2,119.85,1,1.15,99
7,,Guinness Draught - Pint,16,2,300.93,3,75.33,75
8,,Mulled Wine,15,2,250.74,2,30.57,88
9,,Grifter Pale - Pint,13,2,216.12,2,43.28,80
10,,Extra Gravy,13,2,29.16,0,4.38,85
11,,"Lemon, Lime & Bitters",12,2,67.29,1,0,100
12,,Kirin - Schooner,10.7,1,165.28,1,40.16,76
13,,Pepsi Max Glass,10,1,50.31,0,0,100
14,,Beef Burger D,10,1,198,2,0,100
15,,On The Rocks,9,1,0,0,0,0
16,,Fish Tacos,9,1,192.79,2,19.66,90
17,,Nut Roast,9,1,298.01,3,48.03,84
18,,Casa Gheller Prosecco - Glass,9,1,158.4,1,30.11,81
19,,Classic Margarita,9,1,202.32,2,36.67,82
20,,Buffalo Wings,9,1,157.17,1,35.12,78
21,,Lemonade Glass,8,1,39.92,0,0,100
22,,Online Surcharge,8,1,11.54,0,0,100
23,,Sensei Calamari,7,1,154.39,1,16.14,90
24,,Villa Fresco Sangiovese - Regular,7,1,87.98,1,16.88,81
25,,Negroni,7,1,145.2,1,27.09,81
26,,Grifter Pale - Schooner,7,1,76.31,1,17.38,77
27,,Philter XPA - Schooner,6,1,25.3,0,13.42,47
28,,Stow Schnitty,6,1,182.39,2,31.96,82
29,,Large Margherita,6,1,135,1,13.78,90
30,,Mother's Milk Shiraz - Regular,6,1,100.62,1,19.3,81
31,,Ottelia Chardonnay - Regular,6,1,106.17,1,20.75,80
32,,Little Dragon Can,6,1,83.85,1,21.21,75
33,,Aperol Spritz,6,1,129.04,1,21.32,83
34,,Brownie D,6,1,26,0,11.68,55
35,,Beef Cheek,6,1,251.53,2,0,100
36,,Petits Detours Rosé - Regular,6,1,106.75,1,20.94,80
37,,Grifter Omen Stout Tin,5,1,71.97,1,17.53,76
38,,Delivery Fee - Freshwater / Queenscliff,5,1,27.5,0,0,100
39,,Kuku Sauvignon Blanc - Regular,5,1,77.51,1,14.57,81
40,,Veuve Clicquot Yellow Label - Glass,5,1,201.87,2,80.76,60
41,,Regular Meatlovers,5,1,121.45,1,24.9,79
42,,Stone & Wood - Pint,5,1,94.73,1,21.78,77
43,,Fancy Pants Parmy - Classic,5,1,83.98,1,40.53,52
44,,Version Two Pinot Grigio - Regular,5,1,66,1,8.83,87
45,,Garlic Bread,5,1,23,0,7.1,69
46,,Large Pepperoni,5,1,128,1,22.82,82
47,,Pepsi Glass,4,1,17.82,0,0,100
48,,Extra Yorkshire Pudding,4,1,8.87,0,0,100
49,,Extra Veg,4,1,12.98,0,0,100
50,,Crankshaft IPA - Schooner,4,1,59.4,1,12.83,78
51,,Side Gravy,4,1,6.76,0,1.35,80
52,,Baked Camembert,4,1,111.36,1,0,100
53,,Apple Crumble,4,1,54.52,0,0,100
54,,Amalfi Olives,4,1,52.26,0,0,100
55,,Coconut Margarita,4,1,102.86,1,16.59,84
56,,Version Two Sparkling - Regular,4,1,53.23,0,7.07,87
57,,Regular Super House Special,3,0,64.95,1,16.58,74
58,,Bang Bang Cauli,3,0,57.95,1,8.28,86
59,,Add Mushrooms,3,0,4.95,0,0,100
60,,Chicken Shindig Burger,3,0,71.99,1,14.3,80
61,,San Pellegrino 500ml,3,0,20.12,0,7.03,65
62,,Stow Soda - Grapefruit,3,0,30.34,0,0.25,99
63,,Large Cosmopolitan,3,0,55,0,19.83,64
64,,White Light Pure Vodka [House],3,0,35.09,0,4.56,87
65,,Kids Nuggets & Chips,3,0,43.84,0,6.74,85
66,,Flower Child,3,0,73.39,1,8.59,88
67,,Large Sanchez,3,0,89.1,1,16.47,82
68,,Large Super House Special,3,0,63.8,1,23.16,64
69,,Add Pepperoni,3,0,9.9,0,0,100
70,,Pie,3,0,88.04,1,0,100
71,,Rosemary Salted Fries,3,0,43.03,0,5.57,87
72,,Beetle Juice,3,0,75,1,11.01,85
73,,Fresh is Best Summer Lager - Schooner,3,0,28.35,0,4.76,83
74,,Large Tandoori Chicken,3,0,82.5,1,9.64,88
75,,BBQ Wings D,3,0,52.8,0,9.42,82
76,,American Standard Burger,3,0,91.67,1,17.53,81
77,,Ottelia Chardonnay - Large,3,0,27.5,0,17.3,37
78,,Scorched As,3,0,74.99,1,12.93,83
79,,Status Quo - Pint,3,0,58.38,1,12.49,79
80,,Regular Little Italy [Dine-in],3,0,88.59,1,14.41,84
81,,Monteith's Apple Cider Bottle,3,0,34.65,0,9.33,73
82,,"Large No Chorizo, No Cry",3,0,59.4,1,16.79,72
83,,Regular BBQ Chicken Pizza,3,0,70.45,1,8.96,87
84,,Trutta Streamside Shiraz [Chilled] - Regular,2,0,39.6,0,7.94,80
85,,Jug of Water,2,0,0,0,0,0
86,,Status Quo - Schooner,2,0,15.34,0,6.21,60
87,,Buffalo Wings D,2,0,36.3,0,7.8,79
88,,Send Kids Food With Mains,2,0,0,0,0,0
89,,Side Blue Cheese Dip,2,0,2.24,0,0,100
90,,$45 FEAST,2,0,99,1,0,100
91,,Cranberry Juice Glass,2,0,11.18,0,1.38,88
92,,Bombay Dry [House],2,0,24.2,0,4.24,82
93,,Jalapeño Marg,2,0,48.9,0,1.62,97
94,,Vegan Cheese [Pizza],2,0,6.6,0,0,100
95,,Online Discount,2,0,-21.46,-0,0,-100
96,,Villa Fresco Sangiovese - Large,2,0,43.17,0,8.04,81
97,,Arancini Balls [5pc],2,0,49.76,0,0,100
98,,Add Garlic,2,0,3.3,0,0,100
99,,Padrillos Malbec - Regular,2,0,40.9,0,7.73,81
100,,Kirin - Pint,2,0,40.7,0,10.07,75
101,,Online Rounding,2,0,0.02,0,0,100
102,,Side Tomato Sauce,2,0,0,0,0,0
103,,Add Bacon,2,0,6.16,0,0,100
104,,No Salt,2,0,0,0,0,0
105,,BBQ Ribs,2,0,79.03,1,0,100
106,,Side Aioli,2,0,1.12,0,0,100
107,,Fresh Lime Soda,2,0,7.7,0,0,100
108,,Regular Hail Africa,2,0,44,0,5.82,87
109,,Kuku Sauvignon Blanc - Large,2,0,52.26,0,9.72,81
110,,Regular Truffalo Soldier,2,0,40.7,0,6.54,84
111,,Heaps Normal Tin,2,0,22.99,0,5.34,77
112,,Guinness Draught - Schooner,2,0,23.76,0,7.02,70
113,,Brownie,2,0,27.28,0,5.65,79
114,,Philter Pale - Schooner,2,0,23.1,0,0,100
115,,Sweet Potato Fries,2,0,29.07,0,5.06,83
116,,Regular Cosmopolitan,2,0,42.9,0,9.47,78
117,,Large Bubba Gump,2,0,27.5,0,11.07,60
118,,Sprite 1.25L,2,0,13.6,0,8.53,37
119,,Cheesy Garlic Bread,2,0,13.2,0,3.55,73
120,,BBQ Wings,2,0,38.4,0,6.28,84
121,,Side BBQ Sauce,2,0,0,0,0,0
122,,Biscoff Espresso,2,0,26.13,0,6.49,75
123,,Creme Brulee,2,0,40.91,0,0,100
124,,Lime Wedge,2,0,0,0,0,0
125,,Send Kids Food ASAP,2,0,0,0,0,0
126,,Ice,2,0,0,0,0,0
127,,Belvedere Vodka,1,0,15.4,0,2.65,83
128,,Regular Little Italy,1,0,21.45,0,4.8,78
129,,Add Cheese,1,0,0.88,0,0,100
130,,Large El Patron,1,0,31,0,5.85,81
131,,Add Onion Rings,1,0,4.54,0,0,100
132,,Large Meatlovers,1,0,30.8,0,6.96,77
133,,Jameson Irish Whiskey,1,0,13.2,0,2.26,83
134,,Kids Margherita Pizza,1,0,14.3,0,0,100
135,,Cauliflower Tacos,1,0,22.72,0,0,100
136,,Regular Paddock,1,0,21.45,0,3.1,86
137,,Regular El Patron,1,0,21.45,0,3.64,83
138,,Corona,1,0,11.55,0,2.58,78
139,,Remove Onion,1,0,0,0,0,0
140,,Lime,1,0,0,0,0,0
141,,Large Uber Margherita,1,0,0,0,4.46,0
142,,Tonic [mixer],1,0,0,0,0.8,0
143,,Coke 1.25L,1,0,7,0,3.69,47
144,,Bombay Sapphire,1,0,15.91,0,2.32,85
145,,Add Ham,1,0,3.3,0,0,100
146,,Cosmo,1,0,22,0,3.29,85
147,,Onion Rings D,1,0,11,0,0,100
