Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Classic Margarita,56,4,954.25,5,210.29,78
2,,Fresh is Best Lager - Schooner,41,3,330.82,2,71.64,78
3,,Grifter Pale - Schooner,41,3,364.44,2,101.78,72
4,,Fresh is Best Summer Lager - Schooner,37,3,285.77,2,55.91,80
5,,Jalapeño Marg,35,3,656.71,4,131.69,80
6,,Kirin - Schooner,30,2,344.04,2,73.21,79
7,,Stone & Wood - Schooner,27.7,2,318.6,2,80.61,75
8,,Fresh is Best Lager - Pint,23,2,249.59,1,53.9,78
9,,Version Two Pinot Grigio - Regular,23,2,207.33,1,39.4,81
10,,Aioli Dipping Sauce,21,2,1.5,0,0,100
11,,Grifter Pale - Pint,19,1,225.49,1,63.26,72
12,,Version Two Sparkling - Regular,19,1,173.9,1,32.73,81
13,,Status Quo - Pint,18,1,288.81,2,72.3,75
14,,Aperol Spritz,18,1,321.01,2,64.09,80
15,,Corona,17,1,172.91,1,43.11,75
16,,Hendrick's Gin,16,1,185.01,1,44.76,76
17,,Coconut Margarita,15,1,310.92,2,61.33,80
18,,Tommy's Margarita,14,1,282.76,2,63.16,78
19,,Cheesy Garlic Bread,14,1,89.6,0,4.62,95
20,,Villa Fresco Sangiovese - Regular,14,1,148.41,1,33.77,77
21,,White Light Pure Vodka [House],13,1,127.17,1,19.55,85
22,,Casa Gheller Prosecco - Glass,13,1,207.75,1,45.02,78
23,,Sensei Calamari,12,1,218.22,1,0,100
24,,Lychee Martini,12,1,186.45,1,43.9,76
25,,On The Rocks,11,1,0,0,0,0
26,,Rosemary Salted Fries,11,1,133.42,1,0,100
27,,Espresso Martini,10,1,141.61,1,31.83,78
28,,Heaps Normal Tin,10,1,105.35,1,25.72,76
29,,Large Hawaiian,10,1,226.38,1,36.8,84
30,,Garlic Bread,10,1,52.68,0,14.2,73
31,,Add Mushrooms,9,1,8.02,0,0,100
32,,Regular Margherita,9,1,146.27,1,0,100
33,,Sweet Potato Fries,9,1,99.92,1,0,100
34,,Holy Guacamole,9,1,145.11,1,0,100
35,,Fish Tacos,9,1,181.75,1,0,100
36,,Petits Detours Rosé - Regular,9,1,144.81,1,31.81,78
37,,Large Pepperoni,8,1,184.34,1,0,100
38,,Large Super House Special,8,1,212.43,1,61.55,71
39,,Belvedere Vodka,8,1,96,1,20.52,79
40,,Truffle Fries,8,1,119.82,1,0,100
41,,Buffalo Wings,8,1,129.35,1,0,100
42,,Sailor Jerry [House],8,1,80,0,16.1,80
43,,BBQ Dipping Sauce,8,1,1.51,0,0,100
44,,Bombay Dry [House],8,1,71,0,16.77,76
45,,Trentham Estate Rosé - Regular,7,1,74,0,14.77,80
46,,Stone & Wood - Pint,7,1,106.27,1,27.32,74
47,,Soda [mixer],7,1,0,0,0,0
48,,Mother's Milk Shiraz - Regular,7,1,105,1,22.51,79
49,,Kuku Sauvignon Blanc - Regular,7,1,91.44,0,20.4,78
50,,Regular Pepperoni,7,1,124,1,0,100
51,,Scorched As,7,1,138.87,1,23.18,83
52,,Lagerita,7,1,156.4,1,29.16,81
53,,❄️Frozen❄️,6,0,0,0,0,0
54,,Buffalo Wings D,6,0,96.29,1,0,100
55,,Large Little Italy,6,0,166.46,1,46.5,72
56,,Hugo Spritz,6,0,128.19,1,8.02,94
57,,Cauliflower Tacos,6,0,121.7,1,0,100
58,,Negroni,6,0,120.68,1,23.06,81
