Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,$2 BBQ Wing,70,5,70.19,0,0,100
2,,Aioli Dipping Sauce,42,3,1.52,0,0,100
3,,Classic Margarita,40,3,758.56,4,145.63,81
4,,Kirin - Schooner,32,2,314.28,2,80.17,74
5,,Garlic Bread,26,2,128.55,1,0,100
6,,Aperol Spritz,25,2,399.49,2,87.86,78
7,,Fresh is Best Lager - Pint,23,2,259.37,1,56.03,78
8,,Fresh is Best Summer Lager - Schooner,21,1,146.45,1,33.2,77
9,,American Standard Burger,21,1,337.94,2,0,100
10,,Jalapeño Marg,21,1,439.62,2,76.61,83
11,,Grifter Pale - Schooner,20,1,192.11,1,49.05,74
12,,White Light Pure Vodka [House],19,1,129,1,28.58,78
13,,Version Two Pinot Grigio - Regular,19,1,138.2,1,33.57,76
14,,Grifter Pale - Pint,18,1,214.06,1,59.21,72
15,,Philter XPA - Schooner,17,1,165.3,1,37.54,77
16,,Fresh is Best Lager - Schooner,16,1,120.15,1,29.06,76
17,,Kirin - Pint,15,1,204.54,1,50.4,75
18,,Version Two Sparkling - Regular,14,1,48.83,0,24.73,49
19,,Sweet Potato Fries,14,1,183.76,1,0,100
20,,Hendrick's Gin,14,1,168.6,1,39.03,77
21,,$60 Soiree,14,1,840,5,0,100
22,,Monkey Shoulder Scotch [House],13,1,20,0,0,100
23,,We No Speak Americano,13,1,273,2,51.48,81
24,,Stone & Wood - Pint,12,1,180,1,47.12,74
25,,Tomato Dipping Sauce,12,1,0.87,0,0,100
26,,Bombay Dry [House],12,1,120.17,1,24.41,80
27,,Petits Detours Rosé - Regular,11,1,144.81,1,55.83,61
28,,Espresso Martini,11,1,209.32,1,34.75,83
29,,Stone & Wood - Schooner,11,1,125.75,1,32.2,74
30,,Status Quo - Schooner,10,1,125.63,1,27.23,78
31,,Rosemary Salted Fries,10,1,120.41,1,0,100
32,,Little Dragon - Schooner,10,1,125,1,0,100
33,,Negroni,10,1,184.23,1,38.98,79
34,,Rooster Rojo Blanco Tequila [House],9,1,30,0,19.65,34
35,,Regular Meatlovers,9,1,153.88,1,0,100
36,,Ice,9,1,0,0,0,0
37,,Delivery Fee [Me&U],9,1,36.59,0,0,100
38,,Jack Daniels,9,1,99,1,19.1,81
39,,Cheesy Garlic Bread,9,1,54.2,0,0,100
40,,Large Margherita,9,1,182.31,1,0,100
41,,Lime Wedge,9,1,0,0,0,0
42,,Buffalo Wings D,8,1,112,1,0,100
43,,Holy Guacamole,8,1,129.38,1,0,100
44,,Buffalo Trace Bourbon [House],8,1,30,0,17.19,43
45,,Veuve Clicquot Yellow Label - Glass,8,1,210.64,1,131.11,38
46,,Regular New Yorker [Dine-in],8,1,161.72,1,0,100
47,,Tofu San Dumplings,8,1,129.7,1,0,100
48,,Old Fashioned,8,1,160,1,36.12,77
49,,Staff Pizza $5,7,0,35,0,0,100
50,,Regular Uber Margherita [Dine-in],7,0,141.03,1,0,100
51,,Little Dragon - Pint,7,0,112,1,0,100
52,,Sensei Calamari,7,0,127.59,1,0,100
53,,Villa Fresco Sangiovese - Regular,7,0,85.23,0,16.89,80
54,,Fish Tacos,7,0,137.73,1,0,100
55,,Fireball,7,0,77,0,14.83,81
56,,Large Meatlovers,7,0,159.18,1,0,100
57,,BBQ Wings,7,0,106.79,1,0,100
58,,Tommy's Margarita,7,0,140,1,31.57,77
59,,Large Super House Special,7,0,160.58,1,0,100
60,,Crankshaft IPA - Pint,6,0,85,0,21.14,75
61,,Hakushu 12yr,6,0,228,1,75.8,67
62,,Dragonfly Grenache - Regular,6,0,96.87,1,20.76,79
63,,Lychee Martini,6,0,100.18,1,20.77,79
64,,Family Meatlovers,6,0,168.48,1,0,100
65,,Bang Bang Cauli,6,0,97.13,1,0,100
66,,Large Paddock,6,0,133.74,1,0,100
67,,Fresh Lime Soda,6,0,18.1,0,0,100
68,,Large Hawaiian,6,0,139.53,1,0,100
69,,United States of Dumplings,6,0,97.11,1,0,100
70,,No Dipping Sauce,6,0,0,0,0,0
71,,BBQ Wings D,6,0,74.35,0,0,100
72,,Philter XPA - Pint,6,0,84,0,17.77,79
73,,Family Margherita,5,0,117.76,1,0,100
74,,Staff Dinner $5,5,0,25,0,0,100
75,,Add Parmesan,5,0,0,0,0,0
76,,Large Pepperoni,5,0,120,1,0,100
77,,Regular Margherita,5,0,74.45,0,0,100
78,,Trentham Estate Rosé - Regular,5,0,60.4,0,10.25,83
79,,Ottelia Chardonnay - Regular,5,0,75,0,16.78,78
80,,On The Rocks,5,0,0,0,0,0
81,,Casa Gheller Prosecco - Glass,5,0,80.57,0,19.69,76
82,,Coconut Margarita,5,0,105.36,1,18.87,82
83,,Large Mexicana,5,0,111.89,1,0,100
84,,Trutta Streamside Shiraz [Chilled] - Regular,5,0,76.28,0,21.11,72
85,,Truffle Fries,5,0,76.29,0,0,100
86,,Regular Super House Special,5,0,90,1,0,100
87,,Regular Truffalo Soldier [Dine-in],5,0,110.74,1,0,100
88,,Americano,5,0,85,0,21.87,74
89,,Side Gravy,5,0,5.1,0,0,100
90,,A. Rodda Tempranillo - Regular,5,0,86.16,0,27.18,68
91,,Das Juice Pink Pet Nat - Regular,4,0,64,0,10.23,84
92,,Dirty,4,0,0,0,0,0
93,,2 Glasses,4,0,0,0,0,0
94,,Add Pineapple,4,0,4.09,0,0,100
95,,Status Quo - Pint,4,0,64,0,14.61,77
96,,Kuku Sauvignon Blanc - Regular,4,0,26,0,11.42,56
97,,Fettuccine Boscaiola,4,0,45.38,0,0,100
98,,Regular Hail Africa [Dine-in],4,0,93.59,1,0,100
99,,Crankshaft IPA - Schooner,4,0,39,0,10.51,73
100,,Buffalo Wings,4,0,64.84,0,0,100
101,,Regular Pepperoni,4,0,72,0,0,100
102,,Regular Little Italy [Dine-in],4,0,88.39,1,0,100
103,,Large Cosmopolitan,4,0,95.66,1,0,100
104,,Bacardi Blanca [House],4,0,0,0,13.42,0
105,,Regular The Deli,4,0,72,0,0,100
106,,"Lemon, Lime & Bitters",4,0,18.08,0,0,100
107,,Regular Hawaiian,4,0,59.23,0,0,100
108,,Open Price,4,0,176,1,0,100
109,,Add Mushrooms,4,0,0,0,0,0
110,,No Olives,4,0,0,0,0,0
111,,Soda [mixer],4,0,0,0,0,0
112,,Grey Goose,4,0,46.01,0,11.48,75
113,,Olive,4,0,0,0,0,0
114,,Vodka Martini,4,0,76.64,0,11.93,84
115,,Large Tandoori Chicken,4,0,100.98,1,0,100
116,,Chicken Shindig Burger,4,0,60.52,0,0,100
117,,No Cheese [dairy-free],3,0,0,0,0,0
118,,Jalapeño Edamame,3,0,36.4,0,0,100
119,,Fresh is Best Summer Lager - Pint,3,0,36.21,0,6.36,82
120,,Fizz 'N' Chips,3,0,85,0,0,100
121,,Add Anchovies,3,0,3.02,0,0,100
122,,Cucumber,3,0,0,0,0,0
123,,Never Never Oyster Shell Gin,3,0,40.5,0,10.3,75
124,,Chipotle Mayo Dipping Sauce,3,0,2.59,0,0,100
125,,Brownie D,3,0,24.28,0,0,100
126,,Beef Burrito,3,0,79.36,0,0,100
127,,Archie Rose Signature Gin,3,0,36.2,0,8.35,77
128,,Extra Mozzarella,3,0,6,0,0,100
129,,Regular House Special,3,0,48.81,0,0,100
130,,Coke 1.25L,3,0,16.59,0,9.24,44
131,,Family Tandoori Chicken,3,0,86,0,0,100
132,,Year Wines 'Zagara' Orange - Regular,3,0,45.52,0,11.29,75
133,,Tuckerbush Margie,3,0,63.36,0,11.77,81
134,,Large House Special,3,0,69.36,0,0,100
135,,Trade Winds,3,0,36,0,0,100
136,,Cauliflower Tacos,3,0,61.05,0,0,100
137,,Family Pepperoni,3,0,72,0,0,100
138,,Stow Soda - Passionfruit,3,0,24.42,0,0,100
139,,Padrillos Malbec - Regular,2,0,36,0,8.96,75
140,,Add Ham,2,0,2.04,0,0,100
141,,Geppetto Pinot Noir - Regular,2,0,30,0,6.41,79
142,,Add Olives,2,0,2,0,0,100
143,,Family  Pepperoni,2,0,58,0,0,100
144,,Gluten-free Super Veg,2,0,42,0,0,100
145,,Sunkist 1.25L,2,0,11,0,7.5,32
146,,Add Bacon,2,0,3.72,0,0,100
147,,Rocket Man,2,0,36.31,0,0,100
148,,Apple Juice Glass,2,0,8.07,0,0,100
149,,Sweet Potato Fries D,2,0,26.2,0,0,100
150,,Fries D,2,0,22.38,0,0,100
151,,Coke Zero 1.25L,2,0,11,0,6.07,45
152,,Large Sorrento,2,0,47.39,0,0,100
153,,No Guac,2,0,0,0,0,0
154,,Fever-Tree Light Tonic [mixer],2,0,2.04,0,0,100
155,,No Pineapple,2,0,0,0,0,0
156,,Fish Burrito,2,0,52.44,0,0,100
157,,Version Two Pinot Grigio - Large,2,0,38.64,0,5.89,85
158,,Tuk Tuk Salad,2,0,44.37,0,0,100
159,,Fresh Salad D,2,0,23.18,0,0,100
160,,Large Vegetarian,2,0,44,0,0,100
161,,Fever-Tree Mediterannean  [mixer],2,0,2.04,0,0,100
162,,Regular Paddock,2,0,34,0,0,100
163,,No Slaw,2,0,0,0,0,0
164,,Regular Cosmopolitan,2,0,38,0,0,100
165,,Truffle Fries D,2,0,29.25,0,0,100
166,,Lime,2,0,0,0,0,0
167,,Chicken Burrito,2,0,52.88,0,0,100
168,,Scout Pinot Gris - Regular,2,0,36.62,0,7.92,78
169,,Add Pepperoni,2,0,4.13,0,0,100
170,,Puerto Sunset,2,0,42.72,0,7.58,82
171,,Son of a Nun,2,0,20,0,0,100
172,,Send Kids Food ASAP,2,0,0,0,0,0
173,,Family Southern Lamb,2,0,58.48,0,0,100
174,,Family BBQ Chicken Pizza,2,0,56.48,0,0,100
175,,No Onion,2,0,0,0,0,0
176,,Delivery Fee - Freshwater / Queenscliff,2,0,8,0,0,100
177,,Spaghetti Bolognese D,2,0,23.2,0,0,100
178,,Coke Can,2,0,8,0,3.48,57
179,,Sigurd GSM Red Blend - Regular,2,0,36.34,0,9.24,75
180,,Totem Totin',2,0,44.78,0,7.17,84
181,,Patron Silver,2,0,13,0,6.8,48
182,,Regular Pepperoni [Dine-in],2,0,38,0,0,100
183,,Bundaberg Ginger Beer,2,0,9.15,0,1.79,80
184,,Lemonade Glass,2,0,8.07,0,0,100
185,,Lemon,2,0,0,0,0,0
186,,Beetle Juice,2,0,42.75,0,9.99,77
187,,Add Chilli,2,0,1,0,0,100
188,,Regular Little Italy,2,0,38.32,0,0,100
189,,Family Super House Special,2,0,57,0,0,100
190,,Trentham Estate Rosé - Large,2,0,38.64,0,6.83,82
191,,Large Garlic Cheese Pizza,2,0,26,0,0,100
192,,Pepsi Max Glass,2,0,4,0,0,100
193,,Higher Than Highball,1,0,20,0,3.98,80
194,,Dark & Stormy,1,0,19.32,0,3.77,81
195,,Large Hail Africa,1,0,23,0,0,100
196,,Add Grilled Chicken,1,0,5.08,0,0,100
197,,No Lime,1,0,0,0,0,0
198,,Regular Truffalo Soldier,1,0,18,0,0,100
199,,Brownie,1,0,12.2,0,0,100
200,,Petits Detours Rosé Mediterranee - Bottle,1,0,64,0,23.68,63
201,,Eggplant Schnitty,1,0,25.43,0,0,100
202,,Gluten-free Bubba Gump,1,0,20.34,0,0,100
203,,Gluten-free The Deli,1,0,20,0,0,100
204,,Family Bubba Gump,1,0,28.47,0,0,100
205,,Coke Zero Can,1,0,4,0,1.71,57
206,,Family Paddock,1,0,28,0,0,100
207,,Stow Schnitty,1,0,26.44,0,0,100
208,,Add Chicken,1,0,2,0,0,100
209,,Year Wines 'Zagara' Orange - Bottle,1,0,48.8,0,18.82,61
210,,Dormilona Chenin Blanc - Regular,1,0,14.4,0,4.48,69
211,,Extra Taco,1,0,7.12,0,0,100
212,,No Garlic,1,0,0,0,0,0
213,,No Vegan Cheese,1,0,0,0,0,0
214,,Less Cheese,1,0,0,0,0,0
215,,No Shallots,1,0,0,0,0,0
216,,Poor Tom's Strawberry Gin Tonica,1,0,20,0,4.69,77
