Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Fresh is Best Summer Lager - Schooner,14,4,107.79,3,21.96,80
2,,Version Two Pinot Grigio - Regular,14,4,126.4,3,23.77,81
3,,Villa Fresco Sangiovese - Regular,11,3,88.15,2,23.72,73
4,,Fresh is Best Summer Lager - Pint,9,3,87.64,2,18.94,78
5,,Stone & Wood - Schooner,8,2,105.69,3,26.21,75
6,,Garlic Bread,8,2,46,1,11.36,75
7,,Fresh is Best Lager - Pint,8,2,84.5,2,19.57,77
8,,BBQ Wings,8,2,107.48,3,25.13,77
9,,Regular Little Italy [Dine-in],7,2,127.78,3,33.63,74
10,,Fresh is Best Lager - Schooner,6,2,50.07,1,10.94,78
11,,Brownie D,6,2,26,1,11.68,55
12,,Kirin - Schooner,5,1,70,2,18.77,73
13,,Stone & Wood - Pint,5,1,79.22,2,21.97,72
14,,Olive,5,1,0,0,0,0
15,,"Regular No Chorizo, No Cry [Dine-in]",5,1,89.97,2,14.56,84
16,,Mulled Wine,5,1,76.48,2,10.07,87
17,,Dirty,5,1,0,0,0,0
18,,Grifter Pale - Schooner,5,1,49.26,1,12.48,75
19,,Version Two Sparkling - Regular,4,1,33,1,6.81,79
20,,Kuku Sauvignon Blanc - Regular,4,1,56.46,1,11.02,80
21,,Philter XPA - Schooner,4,1,34.5,1,9.13,74
22,,Ottelia Chardonnay - Regular,4,1,64,2,14.04,78
23,,Grifter Pale - Pint,4,1,60,1,13.39,78
24,,Pepsi Max Glass,3.5,1,15.9,0,0,100
25,,Scout Pinot Gris - Regular,3,1,57,1,11.88,79
26,,Regular Super House Special,3,1,73,2,15.85,78
27,,Vodka Martini,3,1,37.8,1,8.7,77
28,,Bombay Dry [House],3,1,33,1,6.13,81
29,,Regular Tandoori Chicken [Dine-in],3,1,63,2,7.09,89
30,,Apple Juice Glass,3,1,15.16,0,1.98,87
31,,Regular BBQ Chicken Pizza [Dine-in],3,1,54,1,10.02,81
32,,Add Prawns,3,1,8.26,0,0,100
33,,Large Margherita,3,1,66,2,6.89,90
34,,Sweet Potato Fries,3,1,39.42,1,7.58,81
35,,Regular Jimmy Jury [Dine-in],3,1,55.19,1,10.01,82
36,,Philter XPA - Pint,3,1,33,1,9.19,72
37,,Regular Hail Africa [Dine-in],3,1,55.18,1,8.74,84
38,,Regular Bubba Gump [Dine-in],3,1,55.18,1,12.46,77
39,,Geppetto Pinot Noir - Regular,3,1,45.49,1,9.57,79
40,,No Cherry Tomatoes,3,1,0,0,0,0
41,,Regular El Patron [Dine-in],3,1,55.77,1,10.92,80
42,,Regular The Paddock [Dine-in],2,1,37.18,1,6.56,82
43,,Side Blue Cheese Dip,2,1,2.03,0,0,100
44,,Under the Bridge Pizza,2,1,40.9,1,8.51,79
45,,Feast Deal Pizzas,2,1,91.52,2,0,100
46,,Large Pepperoni,2,1,48,1,9.13,81
47,,Peroni,2,1,21.69,1,4.77,78
48,,Regular Jimmy Jury,2,1,47,1,6.67,86
49,,Regular BBQ Chicken Pizza,2,1,49,1,6.68,86
50,,Hawaiian.,2,1,0,0,0,0
51,,Mother's Milk Shiraz - Regular,2,1,30,1,6.43,79
52,,Fresh Lime Soda,2,1,7,0,0,100
53,,Regular Sanchez [Dine-in],2,1,34.81,1,6.79,81
54,,Rocket Man D,2,1,30,1,0,100
55,,Add Grilled Chicken,2,1,10.17,0,0,100
56,,Bang Bang Cauli,2,1,33.06,1,5.52,83
57,,Large Cosmopolitan,2,1,64,2,13.52,79
58,,Regular Margherita,2,1,33,1,2.46,93
59,,Side Aioli,2,1,1,0,0,100
60,,No Pepperoni,2,1,0,0,0,0
61,,Regular Uber Margherita [Dine-in],2,1,37.2,1,6.39,83
62,,Lime Wedge,2,1,0,0,0,0
63,,Little Dragon Can,2,1,25.82,1,4.65,82
64,,Large Meatlovers,2,1,62,1,14.5,77
65,,Regular Super House Special [Dine-in],2,1,36,1,10.57,71
66,,Ice,2,1,0,0,0,0
67,,Ginger Ale,2,1,8.26,0,0,100
68,,Regular Truffalo Soldier [Dine-in],2,1,37.19,1,6.54,82
69,,Regular Pepperoni [Dine-in],2,1,34.79,1,0,100
70,,Regular Cosmopolitan [Dine-in],2,1,25.2,1,9.68,62
71,,Garlic Bread [Deal],1,0,0,0,1.32,0
72,,Large Tandoori Chicken,1,0,25,1,3.3,87
73,,4 Pines Kolsch Bottle D,1,0,6,0,2.65,56
74,,Holy Guacamole,1,0,16,0,3.67,77
75,,Ottelia Cab Sav - Large,1,0,27,1,5.55,79
76,,Regular Little Italy,1,0,23,1,4.8,79
77,,Gluten-free Margherita [Dine-in],1,0,25,1,6.17,75
78,,No Olives,1,0,0,0,0,0
79,,Regular Pepperoni,1,0,22,1,2.13,90
80,,Large Sanchez Wings Deal,1,0,30,1,5.49,82
81,,Regular Hawaiian,1,0,22,1,1.25,94
82,,Garlic  Bread.,1,0,0,0,0,0
83,,Regular Meatlovers [Dine-in],1,0,18.59,0,5.19,72
84,,Cosmopolitan.,1,0,0,0,0,0
85,,Veuve Clicquot Yellow Label - Glass,1,0,36,1,16.09,55
86,,Garlic  Bread,1,0,0,0,1.42,0
87,,Kirin - Pint,1,0,19.62,0,5.03,74
88,,Delivery Fee - Freshwater / Queenscliff,1,0,5,0,0,100
89,,Regular Sanchez VEGAN,1,0,25,1,3.02,88
90,,Lemonade Glass,1,0,4.5,0,0,100
91,,Side Tomato Sauce,1,0,0,0,0,0
92,,Bad Bitch Martini,1,0,21,1,4.2,80
93,,Large Hawaiian,1,0,20,0,3.26,84
94,,Casa Gheller Prosecco - Glass,1,0,16.52,0,3.58,78
95,,Regular Bubba Gump,1,0,21,1,4.15,80
96,,Corona,1,0,10.84,0,2.59,76
97,,Add Anchovies,1,0,2,0,0,100
98,,BBQ Corn Nuts [Bar},1,0,4.5,0,0,100
99,,Trutta Streamside Shiraz [Chilled] - Regular,1,0,11.88,0,4.11,65
100,,Regular Roma Special [Dine-in],1,0,0,0,4.45,0
101,,Add Mushrooms,1,0,0,0,0,0
102,,Coke Can,1,0,4,0,1.68,58
103,,Omen Stout 4-pack,1,0,25,1,14.04,44
104,,Rosemary Salted Fries,1,0,12.39,0,1.86,85
105,,Gluten-free Uber Margherita [Dine-in],1,0,0,0,7.29,0
106,,Status Quo - Pint,1,0,17.5,0,4.16,76
107,,Regular Hawaiian [Dine-in],1,0,18.59,0,1.25,93
108,,Large Truffalo Soldier,1,0,25,1,4.56,82
109,,Padrillos Malbec - Regular,1,0,18,0,4.48,75
110,,Side BBQ Sauce,1,0,0,0,0,0
111,,Regular Meatlovers,1,0,25,1,5.19,79
112,,Campari,1,0,10,0,1.66,83
113,,Glass of Ice on the Side,1,0,0,0,0,0
114,,Large Uber Margherita,1,0,25,1,4.46,82
115,,Buffalo Wings,1,0,16,0,3.9,76
116,,Trentham Estate Rosé - Regular,1,0,7,0,1.86,73
117,,Side Guacamole,1,0,1.55,0,0,100
118,,Crankshaft IPA - Schooner,1,0,13.5,0,3.21,76
119,,Add Fried Cauliflower,1,0,4,0,0,100
120,,Large Bubba Gump,1,0,25,1,5.8,77
121,,Amarretto Sour,1,0,21,1,3.97,81
122,,Solo 1.25L,1,0,7,0,3.55,49
123,,"Gluten-free No Chorizo, No Cry [Dine-in]",1,0,21,1,8.62,59
124,,BBQ Wings D,1,0,16,0,3.14,80
125,,Young Henrys Cloudy Cider Can,1,0,12.39,0,2.77,78
126,,Asahi 3.5%,1,0,10.85,0,2.39,78
127,,Classic Margarita,1,0,20,0,3.66,82
128,,Cheesy Garlic Bread,1,0,8,0,1.77,78
129,,Coke Zero 1.25L,1,0,7,0,3.67,48
130,,BBQ  Wings [Deal],1,0,0,0,2.04,0
131,,Gin Martini,1,0,18.9,0,3.78,80
132,,Ottelia Cab Sav - Regular,1,0,17.57,0,3.33,81
133,,Four Pillars Olive Leaf Martini,1,0,15,0,4.71,69
