Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Lamb Roast,46,5,1205.41,9,0,100
2,,Stone & Wood - Schooner,26,3,328.9,3,75.67,77
3,,Fresh is Best Summer Lager - Schooner,26,3,214.13,2,39.29,82
4,,Philter XPA - Schooner,23,2,196.35,2,54.65,72
5,,Fresh is Best Lager - Schooner,20,2,198.36,2,34.94,82
6,,Aioli Dipping Sauce,18,2,1.61,0,0,100
7,,Garlic Bread,17,2,90.38,1,24.14,73
8,,Grifter Pale - Schooner,16,2,172.88,1,32.5,81
9,,Version Two Pinot Grigio - Regular,15,2,158.62,1,26.5,83
10,,Grifter Pale - Pint,14,1,107.8,1,38.14,65
11,,Pepsi Glass,13,1,57.36,0,0,100
12,,Large Pepperoni,13,1,302.78,2,0,100
13,,Frozen Marg,12,1,251.16,2,39.14,84
14,,Nut Roast,11,1,300.17,2,0,100
15,,Fresh is Best Lager - Pint,11,1,133.35,1,25.78,81
16,,Cauliflower Cheese,10,1,49.67,0,0,100
17,,Large Margherita,10,1,220.37,2,17.97,92
18,,Classic Margarita,9,1,147.26,1,33.3,77
19,,Chrissy Pud,9,1,55,0,0,100
20,,Stow Schnitty,8,1,226.49,2,0,100
21,,Fancy Pants Parmy,8,1,259.53,2,4.4,98
22,,Philter XPA - Pint,8,1,120.64,1,25.5,79
23,,Tomato Dipping Sauce,8,1,0,0,0,0
24,,Pepsi Max Glass,8,1,35.43,0,0,100
25,,Espresso Martini,8,1,168.26,1,25.42,85
26,,Kuku Sauvignon Blanc - Regular,7,1,71.43,1,20.4,71
27,,Little Dragon Can,7,1,46.75,0,24.65,47
28,,American Standard Burger,7,1,203.14,2,0.47,100
29,,Stone & Wood - Pint,7,1,99.87,1,27.32,73
30,,Fish Tacos,7,1,155.86,1,0,100
31,,Add Mushrooms,7,1,0,0,0,0
32,,Large Super House Special,7,1,190.5,1,52.2,73
33,,Fresh is Best Summer Lager - Pint,7,1,13.2,0,14.19,-7
34,,Aperol Spritz,7,1,146.66,1,24.71,83
35,,Delivery Fee [Me&U],7,1,28.51,0,0,100
36,,Villa Fresco Sangiovese - Regular,7,1,87.34,1,16.89,81
37,,Status Quo - Pint,7,1,125.03,1,28.12,78
38,,Scorched As,6,1,138.99,1,0,100
39,,Pink Lemonade Glass,6,1,30.1,0,0.82,97
40,,Regular Little Italy [Dine-in],6,1,130.66,1,0,100
41,,Chrissy Spritz,6,1,126.11,1,0,100
42,,"Lemon, Lime & Bitters",6,1,30.03,0,0,100
43,,Add Pepperoni,6,1,13.04,0,0,100
44,,Sprite Can,6,1,0,0,8.82,0
45,,Sensei Calamari,6,1,106.58,1,0,100
46,,Holy Guacamole,6,1,107.11,1,0,100
47,,Large Hawaiian,6,1,133.41,1,20.66,85
48,,Tommy's Margarita,6,1,132,1,26.88,80
49,,White Light Pure Vodka [House],6,1,63.8,0,9.02,86
