Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Dark & Stormy,59,6,1088.62,8,217.53,80
2,,$2 BBQ Wing,57,6,62.1,0,0,100
3,,Stone & Wood - Schooner,32.7,3,407.93,3,95.33,77
4,,Grifter Pale - Schooner,29,3,288.34,2,70.77,75
5,,Fresh is Best Lager - Schooner,26,3,212.94,2,46.32,78
6,,Fresh is Best Lager - Pint,22,2,259.85,2,52.57,80
7,,American Standard Burger,20,2,359.86,3,0,100
8,,Holy Guacamole,17,2,272.98,2,0,100
9,,BBQ Wings,16,2,252.87,2,0,100
10,,Classic Margarita,15,2,204.2,2,54.68,73
11,,Stone & Wood - Pint,15,2,247.5,2,58.65,76
12,,Aioli Dipping Sauce,14,1,0.55,0,0,100
13,,Version Two Pinot Grigio - Regular,13,1,165.22,1,21.23,87
14,,Peroni,13,1,126.83,1,31.73,75
15,,No Dipping Sauce,13,1,0,0,0,0
16,,Fish Tacos,13,1,287.51,2,0,100
17,,Philter XPA - Schooner,13,1,117.8,1,28.89,75
18,,Corona,13,1,137.1,1,35.22,74
19,,1 Glass,11,1,0,0,0,0
20,,Grifter Pale - Pint,11,1,127.85,1,36,72
21,,Fresh Lime Soda,11,1,34.37,0,0,100
22,,Aperol Spritz,11,1,180.91,1,36.16,80
23,,United States of Dumplings,11,1,180.97,1,0,100
24,,White Light Pure Vodka [House],10,1,100.78,1,14.6,86
25,,Hill People Oat Cream - Schooner,10,1,152.26,1,33.31,78
26,,Lemonade Glass,10,1,42.76,0,0,100
27,,Fresh is Best Summer Lager - Schooner,9,1,77.59,1,13.92,82
28,,Buffalo Wings,9,1,144.86,1,0,100
29,,Tomato Dipping Sauce,8,1,0.5,0,0,100
30,,Corn Star,8,1,133.14,1,0,100
31,,Sensei Calamari,8,1,150.14,1,0,100
32,,Jalapeño Marg,8,1,186.36,1,29.22,84
33,,Garlic Bread,8,1,41.88,0,0,100
34,,Regular New Yorker [Dine-in],7,1,150.52,1,0,100
35,,Fancy Pants Parmy,7,1,224.92,2,0,100
36,,Extra Taco,7,1,53.9,0,0,100
37,,Casa Gheller Prosecco - Bottle,7,1,437.06,3,128.43,71
38,,Staff Dinner $5,7,1,37.5,0,0,100
39,,Pepsi Glass,7,1,29.43,0,0,100
40,,Heaps Normal Tin,7,1,77.12,1,18.32,76
41,,Regular Uber Margherita [Dine-in],7,1,149.78,1,0,100
42,,Stow Schnitty,7,1,189.74,1,0,100
43,,"Lemon, Lime & Bitters",6,1,28.35,0,0,100
44,,Trentham Estate Rosé - Regular,6,1,59.51,0,12.71,79
45,,Regular Little Italy [Dine-in],6,1,140.98,1,0,100
46,,Rosemary Salted Fries,6,1,78.79,1,0,100
47,,Casa Gheller Prosecco - Glass,6,1,95.95,1,22.02,77
48,,Chicken Burrito,5,1,143,1,0,100
49,,Version Two Sparkling - Regular,5,1,43.22,0,8.23,81
50,,Negroni,5,1,64.8,1,18.07,72
51,,Ginger Ale,5,1,22.4,0,0,100
52,,Status Quo - Schooner,4.7,0,61.52,0,12.8,79
53,,Bang Bang Cauli,4,0,64.73,0,0,100
54,,Spaghetti Bolognese D,4,0,48,0,0,100
55,,Truffle Fries,4,0,62.54,0,0,100
56,,Petits Detours Rosé Mediterranee - Bottle,4,0,249.76,2,96.49,61
57,,Young Henrys Cloudy Cider Can,4,0,51.82,0,11.9,77
58,,Regular Hail Africa [Dine-in],4,0,95.91,1,0,100
59,,Beetle Juice,3,0,69.69,1,14.95,79
60,,Family  Pepperoni,3,0,88.71,1,0,100
61,,Regular Margherita,3,0,46.3,0,0,100
62,,No Glasses Needed,3,0,0,0,0,0
63,,Large Super House Special,3,0,72,1,0,100
64,,Stow Spritz,3,0,53.4,0,7.31,86
65,,Chicken Shindig Burger,3,0,49.78,0,0,100
66,,"Regular No Chorizo, No Cry [Dine-in]",3,0,71.72,1,0,100
67,,Large Meatlovers,3,0,71.4,1,0,100
68,,Make It A Burrito Bowl [gluten-free],3,0,0,0,0,0
69,,Ottelia Chardonnay - Regular,3,0,49.5,0,10.38,79
70,,Swap for Sweet Potato Fries,3,0,6.44,0,0,100
71,,Send Kids Food ASAP,3,0,0,0,0,0
72,,Regular Sanchez [Dine-in],3,0,67.88,1,0,100
73,,Kirin - Schooner,3,0,28.6,0,7.32,74
74,,Bundaberg Ginger Beer,3,0,14.45,0,2.59,82
75,,Beef Burrito,3,0,87.28,1,0,100
76,,Regular Pepperoni,3,0,54,0,0,100
77,,Sweet Potato Fries,3,0,39.67,0,0,100
78,,Villa Fresco Sangiovese - Regular,3,0,32.85,0,7.24,78
79,,Virgin Margy,3,0,40.04,0,0,100
80,,Year Wines 'Zagara' Orange - Bottle,3,0,178.53,1,56.47,68
81,,Dirty,2,0,0,0,0,0
82,,Mother's Milk Shiraz - Bottle,2,0,129.8,1,34.09,74
83,,Rocket Man,2,0,40.28,0,0,100
84,,Status Quo - Pint,2,0,35.2,0,7.3,79
85,,Orange,2,0,0,0,0,0
86,,Ottelia Chardonnay - Bottle,2,0,115.12,1,34.6,70
87,,12x Oysters,2,0,94.05,1,0,100
88,,BBQ Wings D,2,0,27.3,0,0,100
89,,No Chilli,2,0,0,0,0,0
90,,Coke 1.25L,2,0,11,0,6.72,39
91,,Villa Fresco Sangiovese - Bottle,2,0,101.7,1,24.12,76
92,,Chipotle Mayo Dipping Sauce,2,0,2.24,0,0,100
93,,Family Sanchez,2,0,61.8,0,0,100
94,,Brownie,2,0,21.34,0,0,100
