Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,White Light Pure Vodka [House],124,18,63.8,2,188.38,-195
2,,Bacardi Blanca [House],49,7,0,0,104.68,0
3,,Beetle Juice,48,7,60,2,175.54,-193
4,,Aperol Spritz,35,5,69.32,2,124.34,-79
5,,Fresh is Best Lager - Pint,33,5,161.75,4,80.73,50
6,,Version Two Sparkling - Regular,27,4,24,1,47.7,-99
7,,Sailor Jerry [House],24,3,0,0,45.8,0
8,,Guinness Draught - Pint,19,3,115.5,3,90.23,22
9,,Fresh is Best Lager - Schooner,14,2,77.03,2,25.54,67
10,,Kirin - Pint,13,2,18.5,0,65.59,-255
11,,Grifter Pale - Pint,13,2,150.95,4,43.28,71
12,,Stone & Wood - Pint,8,1,35.12,1,34.98,0
13,,Philter XPA - Schooner,8,1,71.27,2,17.89,75
14,,Rooster Rojo Blanco Tequila [House],8,1,0,0,17.71,0
15,,"Regular No Chorizo, No Cry [Dine-in]",7,1,120.56,3,17.52,85
16,,Grifter Pale - Schooner,7,1,64.88,2,17.38,73
17,,Side Aioli,6,1,3.06,0,0,100
18,,Jalapeño Marg,6,1,46.76,1,4.86,90
19,,Regular Jimmy Jury [Dine-in],6,1,110.97,3,20.01,82
20,,Regular Hail Africa [Dine-in],6,1,109.77,3,17.47,84
21,,Rosemary Salted Fries,6,1,78.66,2,11.13,86
22,,Garlic Bread,5,1,10,0,7.1,29
23,,Mulled Wine,5,1,74.97,2,10.17,86
24,,Geppetto Pinot Noir - Regular,5,1,75.49,2,17.56,77
25,,Stone & Wood - Schooner,5,1,0,0,16.3,0
26,,Regular Uber Margherita [Dine-in],5,1,92.35,2,15.96,83
27,,Online Surcharge,5,1,4.02,0,0,100
28,,Bundaberg Ginger Beer,5,1,25.15,1,4.4,83
29,,Regular New Yorker [Dine-in],5,1,91.77,2,17.93,80
30,,Appleton Rum [House],5,1,11,0,11.1,-1
31,,Philter XPA - Pint,4,1,27,1,12,56
32,,Regular Sanchez [Dine-in],4,1,74.38,2,13.57,82
33,,Regular Little Italy [Dine-in],4,1,73.78,2,19.22,74
34,,Espresso Martini,4,1,0,0,12.93,0
35,,Padrillos Malbec - Regular,4,1,70.79,2,15.47,78
36,,Mother's Milk Shiraz - Regular,4,1,60.99,2,12.87,79
37,,Mojito,4,1,84,2,7.48,91
38,,Ottelia Chardonnay - Regular,4,1,64,2,13.84,78
39,,Regular Bubba Gump [Dine-in],4,1,55.77,1,15.85,72
40,,Baileys Irish Cream,4,1,0,0,5.08,0
41,,Crankshaft IPA - Pint,3,0,52.5,1,12.9,75
42,,Lychee Martini,3,0,20.66,1,10.21,51
43,,No Cherry Tomatoes,3,0,0,0,0,0
44,,Lemonade Glass,3,0,13.79,0,0,100
45,,Kuku Sauvignon Blanc - Regular,3,0,42.92,1,8.74,80
46,,Bang Bang Cauli,3,0,52.12,1,8.28,84
47,,Online Discount,3,0,-29.85,-1,0,-100
48,,Regular Truffalo Soldier [Dine-in],3,0,55.77,1,9.8,82
49,,"Lemon, Lime & Bitters",3,0,15.49,0,0,100
50,,Sweet Potato Fries,3,0,39.85,1,7.58,81
51,,Add Chicken,3,0,12.39,0,0,100
52,,Crankshaft IPA - Schooner,3,0,0,0,9.62,0
53,,Side Tomato Sauce,3,0,0,0,0,0
54,,Villa Fresco Sangiovese - Regular,3,0,33.6,1,7.24,78
55,,Fresh is Best Summer Lager - Pint,3,0,12.4,0,6.39,48
56,,Pepsi Max Glass,3,0,13.95,0,0,100
57,,Biscoff Espresso,2,0,46,1,6.49,86
58,,Version Two Pinot Grigio - Regular,2,0,24,1,3.53,85
59,,Regular Pepperoni [Dine-in],2,0,18,0,0,100
60,,Add Chilli,2,0,2.06,0,0,100
61,,Corona,2,0,0,0,5.14,0
62,,On The Rocks,2,0,0,0,0,0
63,,Geppetto Pinot Noir - Large Glass,2,0,49.57,1,11.71,76
64,,Regular El Patron [Dine-in],2,0,37.18,1,7.28,80
65,,Regular The Paddock [Dine-in],2,0,36.59,1,6.2,83
66,,Buffalo Wings,2,0,18.07,0,7.8,57
67,,Under the Bridge Pizza,2,0,40.9,1,8.16,80
68,,Glass of Ice on the Side,2,0,0,0,0,0
69,,Large Pepperoni,2,0,31.84,1,9.13,71
70,,Lemon Meringue Martini,2,0,48.79,1,7.01,86
71,,Domaine Gueguen Chablis - Regular,2,0,56,1,17.89,68
72,,Classic Margarita,2,0,0,0,7.78,0
73,,Fresh Lime Soda,1,0,0,0,0,0
74,,Kids Hawaiian Pizza,1,0,13,0,0,100
75,,Gluten-free Hail Africa [Dine-in],1,0,0,0,8.91,0
76,,No Chilli,1,0,0,0,0,0
