Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Unlimited Dumplings,51,30,1218.02,48,0,100
2,,Pepsi Max Glass,16,10,72,3,0,100
3,,Philter XPA - Schooner,12,7,131.1,5,27.51,79
4,,Kuku Sauvignon Blanc - Regular,6,4,84,3,16.05,81
5,,Grifter Pale - Pint,6,4,73.5,3,20.14,73
6,,Fresh is Best Lager - Pint,6,4,64.5,3,14.68,77
7,,Pepsi Glass,5.5,3,24.75,1,0,100
8,,Fresh is Best Lager - Schooner,5,3,43.58,2,9.12,79
9,,Fresh Lime Soda,5,3,17.5,1,0,100
10,,Popcorn Cauliflower,4,2,57.38,2,0,100
11,,Fried Rice,4,2,93.51,4,0,100
12,,Mother's Milk Shiraz - Regular,4,2,62.03,2,12.87,79
13,,Mulled Wine,4,2,57,2,8.1,86
14,,Stone & Wood - Pint,3,2,49.3,2,13.17,73
15,,Status Quo - Pint,3,2,52.5,2,12.27,77
16,,Kirin - Schooner,3,2,42,2,11.34,73
17,,Fresh is Best Summer Lager - Schooner,3,2,22.95,1,4.76,79
18,,"Lemon, Lime & Bitters",3,2,15,1,0,100
19,,Heaps Normal Tin,2,1,21,1,5.23,75
20,,Dumplings - Prawn Har Gow [GF],2,1,30.99,1,0,100
21,,Villa Fresco Sangiovese - Regular,2,1,24,1,4.53,81
22,,Mother's Milk Shiraz - Large,2,1,51.69,2,10.72,79
23,,Pink Lemonade Glass,2,1,9.15,0,0.27,97
24,,Stone & Wood - Schooner,2,1,26,1,6.55,75
25,,Sticky Chicken Wings,1,1,15,1,0,100
26,,2 Glasses,1,1,0,0,0,0
27,,Crankshaft IPA - Pint,1,1,17.5,1,3.91,78
28,,Mother's Milk Shiraz - Bottle,1,1,60.93,2,16.08,74
29,,Veg Spring Rolls,1,1,15.5,1,0,100
30,,Duck Spring Rolls,1,1,16,1,0,100
31,,Shredded Beef,1,1,26,1,0,100
32,,Outback Prawn Toast,1,1,16,1,0,100
33,,Sigurd GSM Red Blend - Regular,1,1,20,1,4.62,77
34,,Pineapple Juice Glass,1,1,5.17,0,0.69,87
35,,Fried Egg,1,1,4.13,0,0,100
36,,Version Two Pinot Grigio - Regular,1,1,0,0,1.65,0
37,,Kirin - Pint,0.5,0,9.25,0,2.53,73
