Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Meat Roast,42,6,1162.99,11,0,100
2,,Stone & Wood - Schooner,23,3,306.64,3,66.93,78
3,,Stone & Wood - Pint,17,2,299.2,3,66.35,78
4,,Fresh is Best Lager - Schooner,17,2,151.59,1,29.7,80
5,,Fresh is Best Summer Lager - Schooner,16,2,141.47,1,24.18,83
6,,Aioli Dipping Sauce,16,2,1.71,0,0,100
7,,Fresh is Best Lager - Pint,14,2,185.63,2,32.81,82
8,,Grifter Pale - Schooner,14,2,164.15,2,34.75,79
9,,White Light Pure Vodka [House],13,2,146.08,1,19.55,87
10,,Status Quo - Pint,13,2,250.89,2,52.22,79
11,,Cauliflower Cheese,12,2,60.37,1,0,100
12,,Classic Margarita,10,1,200.88,2,37.21,81
13,,Kirin - Schooner,10,1,132.43,1,26.68,80
14,,Buffalo Wings,10,1,171.82,2,0,100
15,,Fish Tacos,9,1,202.32,2,0,100
16,,Garlic Bread,9,1,49.68,0,12.78,74
17,,Espresso Martini,9,1,176.36,2,28.14,84
18,,Extra Yorkshire Pudding,8,1,18.09,0,0,100
19,,Kirin - Pint,8,1,140.8,1,28.63,80
20,,Extra Gravy,8,1,17.95,0,0,100
21,,Mother's Milk Shiraz - Regular,7,1,117.12,1,22.51,81
22,,Add Jalapenos,7,1,7.68,0,0,100
23,,Stow Schnitty,7,1,197.28,2,0,100
24,,Fancy Pants Parmy,7,1,162.63,2,3.85,98
25,,Rosemary Salted Fries,7,1,80.92,1,0,100
26,,Philter XPA - Pint,7,1,110.57,1,22.31,80
27,,Grifter Pale - Pint,6,1,78.68,1,19.98,75
28,,Four Pillars Rare Dry Gin Tonica,6,1,138.6,1,28.11,80
29,,Bang Bang Cauli,6,1,88.57,1,0,100
30,,Version Two Pinot Grigio - Regular,6,1,66.43,1,10.28,85
31,,Fresh is Best Summer Lager - Pint,6,1,73.48,1,12.16,83
32,,Nut Roast,5,1,139.34,1,0,100
33,,Regular Super House Special,5,1,115.85,1,25.39,78
34,,Little Dragon - Schooner,5,1,69.77,1,17.23,75
35,,Sensei Calamari,5,1,100.3,1,0,100
36,,Chicken Shindig Burger,5,1,134.36,1,0,100
37,,Petits Detours Rosé - Regular,5,1,88,1,17.67,80
38,,Send Kids Food ASAP,5,1,0,0,0,0
39,,Kids Nuggets & Chips,4,1,59.08,1,0,100
40,,1800 Coconut,4,1,34.32,0,11.93,65
41,,Seadrift Coast Non-alc G&T,4,1,57.2,1,10.61,81
42,,Large Super House Special,4,1,114.5,1,30.77,73
43,,Delivery Fee [Me&U],4,1,16.51,0,0,100
44,,Philter XPA - Schooner,4,1,24.98,0,9.51,62
45,,Kuku Sauvignon Blanc - Regular,4,1,57.2,1,11.66,80
46,,Beetle Juice,4,1,83.16,1,14.62,82
47,,Pepsi Glass,4,1,20.45,0,0,100
48,,Tomato Dipping Sauce,4,1,0.57,0,0,100
49,,Cheesy Garlic Bread,4,1,26.51,0,7,74
50,,Large New Yorker,4,1,120.65,1,16.73,86
51,,Pink Lemonade Glass,4,1,19.96,0,0.52,97
52,,Fresh Lime Soda,4,1,15.4,0,0,100
53,,Sigurd GSM Red Blend - Regular,3,0,63.41,1,11.81,81
54,,Add Bacon,3,0,9.01,0,0,100
55,,Frozen Marg,3,0,49.12,0,9.85,80
