Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Fresh is Best Lager - Pint,12,5,148.32,5,29.36,80
2,,Philter XPA - Pint,10,4,138,4,30.75,78
3,,Stone & Wood - Schooner,9.7,4,126.96,4,31.77,75
4,,Fresh is Best Lager - Schooner,7,3,55.2,2,12.77,77
5,,Grifter Pale - Schooner,6,3,51,2,15.02,71
6,,Villa Fresco Sangiovese - Regular,5,2,50.43,2,10.78,79
7,,Rosemary Salted Fries,5,2,61.58,2,9.28,85
8,,Regular Margherita,4,2,67,2,4.92,93
9,,Large Pepperoni,4,2,104,3,18.26,82
10,,Garlic Bread,4,2,26,1,5.68,78
11,,Brownie D,4,2,0,0,7.79,0
12,,Sigurd GSM Red Blend - Regular,4,2,81.32,3,18.48,77
13,,Large Vegetarian,3,1,74,2,12.34,83
14,,Pepsi Max Glass,3,1,12.6,0,0,100
15,,Regular Garlic Cheese Pizza,3,1,27,1,4.17,85
16,,Regular Pepperoni,3,1,54,2,6.38,88
17,,Beetle Juice,3,1,63,2,10.93,83
18,,Side Tomato Sauce,3,1,0,0,0,0
19,,Version Two Sparkling - Regular,3,1,21,1,5.01,76
20,,Add Pineapple,3,1,4.55,0,0,100
21,,Large Super House Special,3,1,90,3,22.14,75
22,,Mulled Wine,3,1,45.49,1,6.1,87
23,,Large Little Italy,3,1,89,3,25.75,71
24,,Add Anchovies,2,1,4,0,0,100
25,,Large Bubba Gump,2,1,57,2,11.6,80
26,,Regular Sorrento,2,1,48,2,8.21,83
27,,Regular New Yorker [Dine-in],2,1,36.59,1,7.17,80
28,,Oceanside,2,1,42,1,6.82,84
29,,Add Prawns,2,1,8,0,0,100
30,,Regular Sanchez [Dine-in],2,1,36.59,1,6.79,81
31,,Regular Vegetarian [Dine-in],2,1,36.59,1,4.74,87
32,,Stone & Wood - Pint,2,1,30.6,1,8.79,71
33,,Heaps Normal Tin,2,1,21.68,1,5.23,76
34,,Carnaval Gypsy,2,1,46,1,8.87,81
35,,Kirin - Schooner,2,1,28,1,7.51,73
36,,Add Chilli,2,1,2,0,0,100
37,,BBQ Wings,2,1,30,1,6.28,79
38,,Add Pepperoni,2,1,6,0,0,100
39,,White Light Pure Vodka [House],2,1,19.8,1,3.04,85
40,,Delivery Fee - Curl Curl / Manly / Dee Why,2,1,13,0,0,100
41,,Regular Jimmy Jury [Dine-in],2,1,36.59,1,6.67,82
42,,"Grifter - ""Omen"" Nitro Stout - Pint",2,1,32,1,7.79,76
43,,San Pellegrino 500ml D,2,1,16,1,4.47,72
44,,Classic Margarita,2,1,40,1,7.41,81
45,,Delivery Fee - Freshwater / Queenscliff,2,1,10,0,0,100
46,,Kuku Sauvignon Blanc - Regular,2,1,28.46,1,5.35,81
47,,Aperol Spritz,2,1,41.3,1,7.36,82
48,,Pepsi Glass,2,1,9,0,0,100
49,,Regular Truffalo Soldier [Dine-in],2,1,37.22,1,6.54,82
50,,"Lemon, Lime & Bitters",2,1,10.33,0,0,100
51,,Quiet Riot Negroni,2,1,44,1,8.54,81
52,,Buffalo Wings D,2,1,25.6,1,7.8,70
53,,Caffé Crema,2,1,42,1,4.82,89
54,,"Large No Chorizo, No Cry",2,1,43.2,1,12.63,71
55,,Bang Bang Cauli,2,1,32.53,1,5.52,83
56,,Regular Little Italy [Dine-in],2,1,36,1,9.61,73
57,,Coke Can,2,1,8,0,3.36,58
58,,Add Onion,1,0,1.5,0,0,100
59,,Regular Cosmopolitan,1,0,21,1,4.84,77
60,,Large Roma Special,1,0,25,1,6.22,75
61,,Bad Bitch Martini,1,0,21,1,4.16,80
62,,Regular Hail Africa [Dine-in],1,0,18.59,1,2.91,84
63,,Large El Patron,1,0,21.6,1,5.85,73
64,,Large Jimmy Jury,1,0,16.2,1,6.19,62
65,,Two Tonne Riesling - Regular,1,0,20,1,3.97,80
66,,No Mushroom,1,0,0,0,0,0
67,,Philter XPA - Schooner,1,0,11.5,0,2.29,80
68,,Regular Meatlovers,1,0,25,1,5.19,79
69,,Grifter Pale - Pint,1,0,12,0,3.36,72
70,,Mothers Milk Shiraz D,1,0,30,1,16.08,46
71,,Regular Sanchez,1,0,25,1,3.39,86
72,,Regular Bubba Gump [Dine-in],1,0,18,1,4.15,77
73,,Gluten-free Sanchez VEGAN,1,0,28,1,7.12,75
74,,Gluten-free Hawaiian,1,0,28,1,7.04,75
