Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Meat Roast,58,7,1601.68,13,0,100
2,,Stone & Wood - Schooner,30,4,382.97,3,87.31,77
3,,Fresh is Best Lager - Schooner,27,3,260.23,2,47.17,82
4,,Stone & Wood - Pint,21,3,342.14,3,81.97,76
5,,Fresh is Best Summer Lager - Schooner,19,2,131.38,1,28.71,78
6,,Grifter Pale - Schooner,18,2,207.9,2,44.68,79
7,,Aioli Dipping Sauce,16,2,1.67,0,0,100
8,,Aperol Spritz,13,2,272.78,2,46.77,83
9,,Ottelia Cab Sav - Regular,13,2,243.1,2,56.88,77
10,,Fresh is Best Lager - Pint,12,1,147.84,1,28.12,81
11,,Cauliflower Cheese,12,1,59.89,0,0,100
12,,Classic Margarita,11,1,231.33,2,41.15,82
13,,Villa Fresco Sangiovese - Regular,11,1,141.7,1,26.54,81
14,,Extra Gravy,10,1,22.12,0,0,100
15,,Kirin - Pint,10,1,165,1,32.73,80
16,,Buffalo Wings,9,1,159.93,1,0,100
17,,Extra Yorkshire Pudding,9,1,19.88,0,0,100
18,,American Standard Burger,8,1,174.11,1,0.54,100
19,,Status Quo - Pint,8,1,141.4,1,32.13,77
20,,Peroni 0%,8,1,80.05,1,14.33,82
21,,Kirin - Schooner,8,1,102.51,1,19.52,81
22,,Jalapeño Marg,7,1,162.09,1,26.24,84
23,,Philter XPA - Schooner,7,1,80.85,1,16.63,79
24,,Fancy Pants Parmy,7,1,227.08,2,3.85,98
25,,Fish Tacos,7,1,155.15,1,0,100
26,,Rosemary Salted Fries,7,1,93.51,1,0,100
27,,Fresh is Best Summer Lager - Pint,7,1,92.63,1,14.19,85
28,,Version Two Pinot Grigio - Regular,7,1,92.62,1,11.99,87
29,,Add Anchovies,7,1,7.6,0,0,100
30,,Add Mushrooms,7,1,6.6,0,0,100
31,,Philter XPA - Pint,6,1,92.4,1,19.12,79
32,,Sensei Calamari,6,1,120.16,1,0,100
33,,Staff Dinner $5,6,1,33,0,0,100
34,,Version Two Pinot Grigio - Bottle,6,1,323.4,3,51.39,84
35,,Bombay Dry [House],6,1,66,1,12.43,81
36,,Geppetto Pinot Noir - Regular,5,1,82.5,1,17.56,79
37,,No Dipping Sauce,5,1,0,0,0,0
38,,Garlic Bread,5,1,27.5,0,7.1,74
39,,Regular Super House Special,5,1,117.4,1,0,100
40,,Crankshaft IPA - Pint,5,1,94.14,1,17.61,81
41,,Pepsi Max Glass,5,1,22.08,0,0,100
42,,Nut Roast,5,1,137.97,1,0,100
43,,Large Pepperoni,5,1,118,1,0,100
44,,BBQ Wings,5,1,66.87,1,0,100
45,,Fresh Lime Soda,5,1,16.29,0,0,100
