Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Unlimited Dumplings,37,20,747.19,28,0,100
2,,Jalapeño Marg,15,8,285,11,56.22,80
3,,Philter XPA - Pint,8,4,107.15,4,25.5,76
4,,Fresh is Best Lager - Pint,7,4,84.21,3,16.4,81
5,,Fresh Lime Soda,6,3,18.3,1,0,100
6,,Fresh is Best Lager - Schooner,6,3,52.42,2,10.48,80
7,,Duck Spring Rolls,4,2,52.44,2,0,100
8,,Corona,4,2,42.36,2,10.13,76
9,,Classic Margarita,4,2,66.8,3,14.96,78
10,,Kirin - Schooner,4,2,46.2,2,9.76,79
11,,Casamigos Reposado Tequila,3,2,48,2,13.93,71
12,,Version Two Sparkling - Regular,3,2,36,1,5.17,86
13,,❄️Frozen❄️,3,2,0,0,0,0
14,,Caffé Crema,3,2,64.08,2,7.01,89
15,,Dumplings - Prawn Har Gow [GF],3,2,42.72,2,0,100
16,,Chicken,3,2,12.14,0,0,100
17,,Bombay Dry [House],3,2,30,1,6.22,79
18,,Shredded Beef,3,2,72.41,3,0,100
19,,Aperol Spritz,3,2,57.96,2,10.79,81
20,,Dragonfly Grenache - Regular,2,1,32.57,1,6.92,79
21,,Mie Goreng,2,1,44.75,2,0,100
22,,Popcorn Cauliflower,2,1,24.2,1,0,100
23,,Philter XPA - Schooner,2,1,14,1,4.75,66
24,,Fresh is Best Summer Lager - Pint,2,1,24.41,1,4.05,83
25,,Pink Lemonade Glass,2,1,9.15,0,0.25,97
26,,On The Rocks,2,1,0,0,0,0
27,,Heaps Normal Tin,2,1,21,1,5.12,76
28,,Stone & Wood - Pint,2,1,30.26,1,7.81,74
29,,BBQ Pork Buns,2,1,28.24,1,0,100
30,,Fried Egg,2,1,8.14,0,0,100
31,,Stone & Wood - Schooner,2,1,23.2,1,5.82,75
32,,Bundaberg Ginger Beer,2,1,9.08,0,1.9,79
33,,Fried Rice,2,1,44.37,2,0,100
34,,Trutta Streamside Shiraz [Chilled] - Regular,2,1,32.57,1,8.22,75
35,,Outback Prawn Toast,2,1,28.23,1,0,100
36,,Dumplings - Veg Gyoza,1,1,12.2,0,0,100
37,,Katsu Curry,1,1,0,0,0,0
38,,Crankshaft IPA - Pint,1,1,17,1,3.52,79
39,,Poor Tom's Strawberry Gin Tonica,1,1,21,1,3.86,82
40,,Villa Fresco Sangiovese - Bottle,1,1,49.83,2,12.06,76
41,,Kirin - Pint,1,1,15,1,3.27,78
42,,Kuku Sauvignon Blanc - Regular,1,1,13.22,1,2.91,78
43,,Frozen Marg,1,1,17.1,1,3.3,81
44,,Grifter Pale - Schooner,1,1,10.5,0,2.48,76
45,,Pepsi Max Glass,1,1,4.07,0,0,100
46,,"Lemon, Lime & Bitters",1,1,4.5,0,0,100
47,,Version Two Pinot Grigio - Regular,1,1,12,0,1.71,86
48,,Little Dragon - Pint,1,1,15,1,0,100
49,,Puerto Sunset,1,1,21.36,1,4.08,81
50,,Edamame,1,1,13,0,0,100
51,,Ravensworth Skins Gris - Regular,1,1,17,1,4.04,76
52,,Status Quo - Pint,1,1,16,1,4.02,75
53,,Grifter Pale - Pint,1,1,14,1,3.33,76
54,,Das Juice Pink Pet Nat - Regular,1,1,16,1,2.85,82
55,,Mini Pretzels [bar],1,1,4.07,0,0,100
56,,Crankshaft IPA - Schooner,1,1,13.22,1,2.63,80
57,,Tommy's Margarita,1,1,20.34,1,4.49,78
58,,Trentham Estate Rosé - Regular,1,1,7.12,0,2.11,70
59,,Lemonade Glass,1,1,4.07,0,0,100
60,,Fresh is Best Summer Lager - Schooner,1,1,6.3,0,1.51,76
61,,White Light Pure Vodka [House],1,1,6.3,0,1.5,76
62,,3 Glasses,1,1,0,0,0,0
63,,Virgin Margy,1,1,13,0,0,100
64,,Dumplings - Beef & Cabbage,1,1,12.2,0,0,100
65,,Ottelia Chardonnay - Large,1,1,25,1,5.42,78
