Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Aperol Spritz,105,7,2067.41,10,368.48,82
2,,Fresh is Best Lager - Schooner,62,4,524.77,3,110.9,79
3,,White Light Pure Vodka [House],57,4,615.09,3,85.73,86
4,,Classic Margarita,42,3,745.57,4,185.75,75
5,,Jalapeño Marg,34,2,662.67,3,50.43,92
6,,Kirin - Schooner,31,2,385.69,2,103.08,73
7,,$2 Buffalo Wing,27,2,54.87,0,0,100
8,,Fresh is Best Lager - Pint,25,2,276.34,1,59.97,78
9,,Beetle Juice,23,2,435.78,2,75.6,83
10,,Grifter Pale - Pint,21,1,276.96,1,69.92,75
11,,Kirin - Pint,20,1,327.44,2,89.2,73
12,,Fresh is Best Summer Lager - Schooner,19,1,155.44,1,29.3,81
13,,Frozen Marg - Classic,19,1,377.34,2,80.29,79
14,,Coconut Margarita,18,1,376.12,2,26.03,93
15,,Lemon Meringue Martini,17,1,345.89,2,60.9,82
16,,Bombay Dry [House],17,1,187.03,1,35.46,81
17,,Status Quo - Schooner,17,1,231.28,1,51.53,78
18,,Holy Guacamole,16,1,263.39,1,0,100
19,,Stone & Wood - Pint,16,1,260.58,1,67.37,74
20,,Side Tomato Sauce,16,1,0,0,0,0
21,,Rosemary Salted Fries,15,1,181.05,1,0,100
22,,Version Two Pinot Grigio - Regular,15,1,162.77,1,25.81,84
23,,Grifter Pale - Schooner,15,1,134.89,1,37.24,72
24,,Side Aioli,14,1,7.15,0,0,100
25,,Garlic Bread,14,1,79.8,0,19.88,75
26,,Espresso Martini,13,1,246.81,1,37.66,85
27,,Rooster Rojo Blanco Tequila [House],13,1,142.16,1,28.56,80
28,,Petits Detours Rosé - Regular,13,1,209.28,1,45.95,78
29,,Scorched As,12,1,236.09,1,50.71,79
30,,Fish Tacos,12,1,245.95,1,0,100
31,,Dark & Stormy,12,1,236.96,1,44.65,81
32,,Tommy's Margarita,11,1,231.87,1,58.08,75
33,,Pepsi Glass,11,1,48.57,0,0,100
