Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,$2 BBQ Wing,37,3,55.14,0,0,100
2,,Fresh is Best Lager - Pint,31,3,306.2,2,72.64,76
3,,Grifter Pale - Pint,29,3,328.51,2,75.49,77
4,,Garlic Bread,22,2,110.51,1,0,100
5,,Fresh is Best Lager - Schooner,20,2,159.25,1,34.94,78
6,,Aioli Dipping Sauce,20,2,1.01,0,0,100
7,,Fresh is Best Summer Lager - Schooner,18,2,148.23,1,27.2,82
8,,Classic Margarita,18,2,308.24,2,66.61,78
9,,Tomato Dipping Sauce,17,2,1.02,0,0,100
10,,Stone & Wood - Pint,17,2,255.25,2,66.35,74
11,,American Standard Burger,16,1,262.67,2,1.08,100
12,,Fish Tacos,15,1,300.4,2,0,100
13,,Grifter Pale - Schooner,14,1,143.98,1,27.17,81
14,,Large Pepperoni,14,1,304.34,2,0,100
15,,Fresh is Best Summer Lager - Pint,13,1,126,1,26.35,79
16,,Large Super House Special,13,1,327.5,2,96.94,70
17,,On The Rocks,13,1,0,0,0,0
18,,Stone & Wood - Schooner,12.4,1,143.19,1,36.09,75
19,,Aperol Spritz,12,1,209.6,2,42.39,80
20,,Trentham Estate Rosé - Regular,12,1,109,1,25.96,76
21,,Grifter Lager - Schooner,10,1,93.28,1,0,100
22,,Belvedere Vodka,9,1,108.2,1,22.48,79
23,,Chicken Shindig Burger,9,1,168.95,1,0,100
24,,Staff Dinner $5,9,1,45,0,0,100
25,,Philter XPA - Schooner,9,1,87.86,1,21.39,76
26,,Espresso Martini,9,1,131.33,1,29.07,78
27,,Version Two Pinot Grigio - Regular,9,1,73,1,15.9,78
28,,Sweet Potato Fries,8,1,105.1,1,0,100
29,,Large Hawaiian,8,1,137,1,27.54,80
30,,Lychee Martini,8,1,138.52,1,28.63,79
31,,Velvet Revolver,7,1,147.36,1,24.85,83
32,,Send Kids Food ASAP,7,1,0,0,0,0
33,,Corona,7,1,73.5,1,17.41,76
34,,Large Meatlovers,7,1,174.43,1,51.29,71
35,,Sensei Calamari,6,1,107.12,1,0,100
36,,Large Margherita,6,1,128.34,1,10.78,92
37,,Delivery Fee [Me&U],6,1,24.41,0,0,100
38,,Regular Margherita,6,1,96.55,1,0,100
39,,BBQ Dipping Sauce,6,1,0.51,0,0,100
40,,White Light Pure Vodka [House],6,1,55,0,9.02,84
41,,Pepsi Max Glass,6,1,24.21,0,0,100
42,,United States of Dumplings,6,1,95.22,1,0,100
43,,Grifter Daisy Hazy - Pint,6,1,93,1,0,100
44,,Large Little Italy,6,1,168.48,1,45.08,73
45,,Philter XPA - Pint,6,1,69.24,1,19.12,72
46,,Holy Guacamole,5,0,81.1,1,0,100
47,,Fresh Lime Soda,5,0,15,0,0,100
48,,Large Vegetarian,5,0,96.34,1,19.23,80
49,,Grifter Lager - Pint,5,0,65.44,0,0,100
50,,Jalapeño Edamame,5,0,60.8,0,0,100
51,,BBQ Wings D,5,0,80.27,1,0,100
52,,Truffle Fries,5,0,75.79,1,0,100
53,,Coke Zero Can,5,0,20.07,0,7.02,65
54,,Buffalo Wings,5,0,81.08,1,0,100
55,,Bombay Dry [House],5,0,50,0,9.99,80
56,,Lemon Meringue Martini,5,0,115.39,1,17.32,85
57,,Whispering Angel Rosé - Regular,5,0,130,1,33.58,74
58,,Regular Pepperoni,5,0,86.54,1,0,100
59,,Coconut Margarita,5,0,106.44,1,20.16,81
60,,Vegan Cheese [Pizza],5,0,15,0,0,100
61,,Petits Detours Rosé - Regular,4,0,64.54,0,16.8,74
62,,Kids Ham & Cheese Pizza,4,0,52.88,0,0,100
63,,Scout Pinot Gris - Regular,4,0,72.33,1,16.28,77
64,,Sigurd GSM Red Blend - Regular,4,0,76,1,15.74,79
65,,Large El Patron,4,0,110,1,19.13,83
66,,Add Mushrooms,4,0,0,0,0,0
67,,Serpents Kiss - Schooner,4,0,42,0,11.08,74
68,,Spaghetti Bolognese D,4,0,51.74,0,0,100
69,,BBQ Wings,4,0,61.05,0,0,100
70,,Add Anchovies,4,0,4.04,0,0,100
71,,Beetle Juice,4,0,85.43,1,14.3,83
72,,Regular Super House Special,4,0,84,1,0,100
73,,Regular Garlic Cheese Pizza,4,0,46.25,0,0,100
74,,Add Chilli,4,0,2.01,0,0,100
75,,Ottelia Chardonnay - Regular,4,0,64,0,13.84,78
76,,Large Cosmopolitan,4,0,104,1,24.07,77
77,,Sour Cream,4,0,3.06,0,0,100
78,,Buffalo Wings D,4,0,64,0,0,100
79,,Beef Burrito,4,0,78.88,1,0,100
80,,Make It A Burrito Bowl [gluten-free],4,0,0,0,0,0
81,,Two Bays Pale Ale Can,4,0,56.24,0,20.93,63
82,,"Large No Chorizo, No Cry",4,0,106.26,1,20.54,81
83,,Apple Juice Glass,4,0,16,0,0,100
84,,Pepsi Glass,4,0,16,0,0,100
85,,Rosemary Salted Fries,4,0,48.62,0,0,100
86,,Staff Pizza $5,4,0,20,0,0,100
87,,Scorched As,4,0,84.36,1,0,100
88,,Grifter Citra Paradisi IPA - Schooner,3,0,39,0,0,100
89,,Large Paddock,3,0,83.46,1,10.58,87
90,,No Cheese [dairy-free],3,0,0,0,0,0
91,,Add Basil,3,0,3,0,0,100
92,,No Dipping Sauce,3,0,0,0,0,0
93,,Large BBQ Chicken Pizza,3,0,79,1,0,100
94,,Easy Sauce,3,0,0,0,0,0
95,,Rocket Man,3,0,54.62,0,0,100
96,,Scout Pinot Gris - Bottle,3,0,210,2,61.05,71
97,,Geppetto Pinot Noir - Regular,3,0,45,0,10.54,77
98,,1 Glass,3,0,0,0,0,0
99,,Fortaleza Reposado,3,0,73.23,1,18.02,75
100,,No Garnish,3,0,0,0,0,0
