Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Fresh is Best Lager - Pint,20,3,237.41,3,46.87,80
2,,Fresh is Best Summer Lager - Schooner,19,3,156.5,2,28.71,82
3,,Classic Margarita,17,3,238,3,62.91,74
4,,Stone & Wood - Pint,15,3,225.25,3,58.55,74
5,,Fresh is Best Lager - Schooner,14,2,118.93,2,24.46,79
6,,Fish Tacos,14,2,283.75,4,0,100
7,,Aperol Spritz,14,2,196.96,3,49.38,75
8,,Philter XPA - Schooner,13,2,122.68,2,30.89,75
9,,Grifter Pale - Schooner,12,2,119.18,2,29.79,75
10,,Stone & Wood - Schooner,11,2,122.5,2,32.01,74
11,,Negroni,11,2,146.32,2,41.48,72
12,,Sensei Calamari,9,2,156.95,2,0,100
13,,Kirin - Pint,9,2,135.51,2,29.46,78
14,,Aioli Dipping Sauce,8,1,0,0,0,0
15,,Version Two Pinot Grigio - Regular,8,1,91.2,1,14.13,85
16,,Jalapeño Marg,8,1,128.81,2,29.66,77
17,,Version Two Sparkling - Regular,8,1,80,1,14.13,82
18,,$21 Custom Cocktail,7,1,145,2,0,100
19,,Corona,7,1,71.79,1,17.74,75
20,,Fresh Lime Soda,7,1,21.05,0,0,100
21,,Grifter Pale - Pint,7,1,98.24,1,23.31,76
22,,Lychee Martini,7,1,90.32,1,25.05,72
23,,Regular Little Italy [Dine-in],6,1,124.32,2,0,100
24,,Kirin - Schooner,6,1,62.1,1,14.64,76
25,,Asahi 3.5%,6,1,59.85,1,14.2,76
26,,Tomato Dipping Sauce,5,1,0.51,0,0,100
27,,Trentham Estate Rosé - Regular,5,1,40.24,1,10.14,75
28,,Buffalo Wings,5,1,81.08,1,0,100
29,,Tuk Tuk Salad,4,1,88.75,1,0,100
30,,Peroni,4,1,42,1,9.41,78
31,,White Light Pure Vodka [House],4,1,37,0,6.02,84
32,,Garlic Bread,4,1,20,0,5.68,72
33,,Chicken Shindig Burger,4,1,105.32,1,0,100
34,,Fresh is Best Summer Lager - Pint,4,1,48.81,1,8.11,83
35,,Fizz 'N' Chips,4,1,104,1,0,100
36,,Large Hawaiian,4,1,86.68,1,13.77,84
37,,Holy Guacamole,4,1,64.81,1,0,100
38,,Espresso Martini,4,1,56.48,1,12.92,77
39,,Truffle Fries,4,1,60.77,1,0,100
40,,BBQ Wings,4,1,60.26,1,0,100
41,,Cauliflower Tacos,3,1,60.68,1,0,100
42,,Petits Detours Rosé - Regular,3,1,48.81,1,13.22,73
43,,Stow Schnitty,3,1,78.88,1,0,100
44,,Kids Margherita Pizza,3,1,39.66,1,0,100
45,,Rosemary Salted Fries,3,1,36.41,0,0,100
46,,Send Kids Food ASAP,3,1,0,0,0,0
47,,Status Quo - Pint,3,1,48.27,1,12.05,75
48,,Peroni 0%,3,1,27,0,5.38,80
49,,Coke Zero Can,3,1,12,0,4.67,61
50,,Philter Pale - Schooner,3,1,28.48,0,0,100
51,,Regular New Yorker [Dine-in],3,1,61.1,1,0,100
52,,Large Margherita,3,1,62.7,1,5.39,91
53,,Pepsi Max Glass,3,1,12.21,0,0,100
54,,Regular Meatlovers,3,1,63,1,0,100
55,,Regular Sanchez [Dine-in],3,1,69,1,0,100
56,,Little Dragon - Pint,3,1,45.25,1,0,100
57,,On The Rocks,3,1,0,0,0,0
58,,Trade Winds,3,1,39,1,0,100
59,,Add Grilled Fish,3,1,15.09,0,0,100
60,,Regular BBQ Chicken Pizza,3,1,63.71,1,0,100
61,,Frozen Marg,3,1,42.53,1,9.79,77
62,,San Pellegrino 500ml,3,1,18.3,0,6.55,64
63,,Dark & Stormy,3,1,42.48,1,12.11,71
64,,Large Cosmopolitan,3,1,79,1,18.05,77
65,,Delivery Fee [Me&U],3,1,12.2,0,0,100
66,,Rocket Man,2,0,36.31,0,0,100
67,,Status Quo - Schooner,2,0,25,0,5.99,76
68,,Meatlovers.,2,0,0,0,0,0
69,,Regular Super House Special,2,0,42,1,0,100
70,,Add Pineapple,2,0,2.02,0,0,100
71,,4 Glasses,2,0,0,0,0,0
72,,Philter Pale - Pint,2,0,23.39,0,0,100
73,,Regular Pepperoni,2,0,34.27,0,0,100
74,,Large BBQ Chicken Pizza,2,0,50,1,0,100
75,,No Onion,2,0,0,0,0,0
76,,"Regular No Chorizo, No Cry [Dine-in]",2,0,46.78,1,0,100
77,,Tajin Salt,2,0,0,0,0,0
78,,Large Paddock,2,0,56,1,7.05,87
79,,Regular Bubba Gump,2,0,42,1,0,100
80,,Swap Fries for Sweet Potato Fries,2,0,4,0,0,100
81,,Bombay Dry [House],2,0,14,0,4.02,71
82,,Add Side Salad,2,0,6,0,0,100
83,,Tofu San Dumplings,2,0,32.54,0,0,100
84,,Scorched As,2,0,32.54,0,6.52,80
85,,Add Pepperoni,2,0,4.06,0,0,100
86,,Lemon Meringue Martini,2,0,36.8,0,6.93,81
87,,Sweet Potato Fries,2,0,26.44,0,0,100
88,,Regular Hail Africa [Dine-in],2,0,44.09,1,0,100
89,,Large Bubba Gump,2,0,52.42,1,0,100
90,,Crankshaft IPA - Pint,2,0,34,0,7.05,79
91,,2 Glasses,2,0,0,0,0,0
92,,Fancy Pants Parmy,2,0,58.49,1,1.1,98
93,,Philter XPA - Pint,2,0,18,0,6.37,65
94,,Buffalo Wings D,2,0,32,0,0,100
95,,Add Side Spicy Salsa,2,0,2.04,0,0,100
96,,Chicken Parmy D,2,0,54,1,0,100
97,,Stow Soda - Passionfruit,2,0,18.3,0,0,100
