Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Stow Schnitty,24,6,387.82,8,0,100
2,,Fancy Pants Parmy,18,5,327.68,7,0,100
3,,Philter XPA - Pint,14,4,158.6,3,43.94,72
4,,Aioli Dipping Sauce,13,3,2.03,0,0,100
5,,Villa Fresco Sangiovese - Regular,11,3,121.02,3,26.54,78
6,,Grifter Pale - Schooner,11,3,102.36,2,26.84,74
7,,Philter XPA - Schooner,9,2,83.58,2,21.24,75
8,,Swap Fries for Sweet Potato Fries,8,2,16.15,0,0,100
9,,Grifter Pale - Pint,7,2,86,2,22.91,73
10,,Eggplant Parmy,7,2,128.2,3,0,100
11,,Fresh is Best Lager - Schooner,6,2,54.75,1,10.9,80
12,,Side Gravy,6,2,6.12,0,0,100
13,,Wed - Garlic Bread,6,2,0,0,0,0
14,,Regular Little Italy [Dine-in],6,2,133.88,3,0,100
15,,Pepsi Max Glass,5,1,20.14,0,0,100
16,,Fresh is Best Summer Lager - Schooner,5,1,42.92,1,7.9,82
17,,Petits Detours Rosé - Regular,5,1,81.09,2,25.45,69
18,,Rosemary Salted Fries,4,1,48.41,1,0,100
19,,Fresh is Best Lager - Pint,4,1,48.81,1,9.74,80
20,,Classic Margarita,4,1,69.33,1,14.8,79
21,,White Light Pure Vodka [House],4,1,30,1,6.02,80
22,,Version Two Pinot Grigio - Regular,4,1,30,1,6.85,77
23,,Mother's Milk Shiraz - Regular,4,1,57,1,12.87,77
24,,Beef Burrito,3,1,78.44,2,0,100
25,,Delivery Fee [Me&U],3,1,12.19,0,0,100
26,,Staff Dinner $5,3,1,15,0,0,100
27,,Deal  - Garlic Bread,3,1,0,0,0,0
28,,Sweet Potato Fries,3,1,39.66,1,0,100
29,,Stone & Wood - Pint,3,1,45.26,1,11.71,74
30,,Tomato Dipping Sauce,3,1,1.01,0,0,100
31,,Family  Meatlovers,3,1,60,1,0,100
32,,Deal  - BBQ Wings,3,1,30,1,0,100
33,,Geppetto Pinot Noir - Regular,3,1,45.77,1,9.61,79
34,,Delivery Fee - Freshwater / Queenscliff,3,1,12,0,0,100
35,,Kuku Sauvignon Blanc - Regular,3,1,39.22,1,8.37,79
36,,Kirin - Schooner,3,1,34.9,1,7.32,79
37,,"Lemon, Lime & Bitters",3,1,13.58,0,0,100
38,,American Standard Burger,3,1,79.36,2,0,100
39,,Cauliflower Tacos,2,1,40.68,1,0,100
