Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,$2 BBQ Wing,96,6,96.4,1,0,100
2,,Classic Margarita,42,3,675.83,4,154.52,77
3,,Stone & Wood - Schooner,41,3,467.88,3,106.94,77
4,,Grifter Pale - Schooner,40,3,362.84,2,90.01,75
5,,Jalapeño Marg,39,3,819.76,5,143.78,82
6,,Fresh is Best Lager - Schooner,38,2,300.41,2,68.69,77
7,,Philter XPA - Schooner,37,2,293.31,2,86.59,70
8,,Fresh is Best Lager - Pint,37,2,418.25,2,89.7,79
9,,Aioli Dipping Sauce,34,2,2.03,0,0,100
10,,Stone & Wood - Pint,27,2,407.31,2,94.45,77
11,,Hill People Oat Cream - Pint,23,2,410.53,2,102.75,75
12,,Espresso Martini,19,1,274.64,2,59.08,78
13,,Garlic Bread,18,1,90.27,1,0,100
14,,Fish Tacos,18,1,364.16,2,0,100
15,,Trentham Estate Rosé - Regular,17,1,156.5,1,31.69,80
16,,Holy Guacamole,17,1,273.19,2,0,100
17,,Stow Spritz,16,1,235.97,1,38.64,84
18,,Sweet Potato Fries,15,1,196.99,1,0,100
19,,American Standard Burger,15,1,244.16,1,0,100
20,,Version Two Pinot Grigio - Regular,15,1,174.91,1,25.16,86
21,,Negroni,14,1,262.16,1,50.37,81
22,,Status Quo - Schooner,14,1,164.21,1,38.12,77
23,,Lime Wedge,14,1,0,0,0,0
24,,Staff Dinner $5,14,1,70,0,0,100
25,,Lychee Martini,13,1,227.41,1,46.45,80
26,,Fresh Lime Soda,13,1,39.05,0,0,100
27,,Tomato Dipping Sauce,13,1,1.01,0,0,100
28,,Fresh is Best Summer Lager - Schooner,13,1,105.39,1,19.86,81
29,,Crankshaft IPA - Pint,13,1,222.16,1,45.79,79
30,,Heaps Normal Tin,12,1,124.26,1,30.43,76
31,,Ice,12,1,0,0,0,0
32,,Sensei Calamari,12,1,218.23,1,0,100
33,,Grifter Pale - Pint,12,1,132.38,1,36.21,73
34,,On The Rocks,12,1,0,0,0,0
35,,Bang Bang Cauli,12,1,195.02,1,0,100
36,,Beetle Juice,11,1,220.56,1,40.25,82
37,,Lime,11,1,0,0,0,0
38,,Hill People Oat Cream - Schooner,11,1,149.86,1,36.64,76
39,,Buffalo Wings,10,1,162.18,1,0,100
40,,White Light Pure Vodka [House],10,1,100.02,1,14.16,86
41,,BBQ Wings D,10,1,131.8,1,0,100
42,,Aperol Spritz,10,1,191.29,1,33.55,82
43,,Philter XPA - Pint,9,1,105.34,1,28.25,73
44,,Kirin - Pint,9,1,116,1,14.77,87
45,,Regular Little Italy [Dine-in],9,1,199.86,1,0,100
46,,Bombay Dry [House],8,1,80,0,15.81,80
47,,Soda [mixer],8,1,0,0,0,0
48,,Fresh is Best Summer Lager - Pint,8,1,97.01,1,16.39,83
49,,Asahi 3.5%,8,1,72,0,19.59,73
50,,Coconut Margarita,8,1,169.43,1,30.5,82
51,,Rosemary Salted Fries,8,1,96.21,1,0,100
52,,Old Fashioned,8,1,160,1,34.75,78
53,,Beef Burrito,8,1,211.08,1,0,100
54,,No Dipping Sauce,8,1,0,0,0,0
55,,Status Quo - Pint,8,1,129.63,1,29.21,77
56,,2 Glasses,8,1,0,0,0,0
57,,BBQ Wings,7,0,106.06,1,0,100
58,,Large Hawaiian,7,0,149.68,1,0,100
59,,Chicken Shindig Burger,7,0,128.21,1,0,100
60,,Kirin - Schooner,7,0,69.3,0,8.57,88
61,,Crankshaft IPA - Schooner,6,0,78,0,15.76,80
62,,No Ice,6,0,0,0,0,0
63,,Stow Schnitty,6,0,158.68,1,0,100
64,,Jack Daniels,6,0,66,0,12.73,81
65,,Regular Super House Special,6,0,103.61,1,0,100
66,,Crispy Coconut Prawn,6,0,109.9,1,0,100
67,,Bad B***h Martini,6,0,101.14,1,0,100
68,,No Pineapple,6,0,0,0,0,0
69,,BBQ Dipping Sauce,6,0,0.5,0,0,100
70,,Regular Meatlovers,6,0,102.29,1,0,100
71,,Tofu San Dumplings,6,0,97.37,1,0,100
72,,Vegilante Vegan Burger,6,0,102.45,1,0,100
73,,Pepsi Glass,6,0,24.21,0,0,100
74,,Two Bays Pale Ale Can,5,0,70,0,26.5,62
75,,Side Guac,5,0,4.08,0,0,100
76,,Pepsi Max Glass,5,0,20.14,0,0,100
77,,Lemonade Glass,5,0,20.07,0,0,100
78,,Petits Detours Rosé Mediterranee - Bottle,5,0,321.14,2,109.65,66
79,,Jalapeño Edamame,5,0,60.84,0,0,100
80,,Regular Uber Margherita [Dine-in],5,0,101.37,1,0,100
81,,Send Kids Food ASAP,5,0,0,0,0,0
82,,San Pellegrino 500ml,5,0,30.42,0,11.39,63
83,,Delivery Fee [Me&U],5,0,20.33,0,0,100
84,,Appleton Rum [House],5,0,55.57,0,11.8,79
85,,Large Super House Special,4,0,92.38,1,0,100
86,,Add Mushrooms,4,0,0,0,0,0
87,,Corona,4,0,44.57,0,11.09,75
88,,Buffalo Trace Bourbon [House],4,0,40.34,0,8.66,79
89,,Version Two Sparkling - Regular,4,0,30.3,0,6.92,77
90,,Large Pepperoni,4,0,91.34,1,0,100
91,,Sailor Jerry [House],4,0,40,0,7.77,81
92,,No Lime,4,0,0,0,0,0
93,,Delivery Fee - Freshwater / Queenscliff,4,0,16,0,0,100
94,,Monteith's Apple Cider Bottle,4,0,32.04,0,12.13,62
95,,Fizz 'N' Chips,4,0,112.94,1,0,100
96,,Jug of Water,4,0,0,0,0,0
97,,OK! Strawberry Margarita Seltzer,4,0,48.6,0,0,100
98,,Trade Winds,4,0,48.61,0,0,100
99,,Regular Hail Africa [Dine-in],4,0,93.19,1,0,100
100,,Mojito,4,0,76,0,16.49,78
101,,"Regular No Chorizo, No Cry [Dine-in]",4,0,92.78,1,0,100
102,,No Onion,3,0,0,0,0,0
103,,"Large No Chorizo, No Cry",3,0,75.85,0,0,100
104,,Chicken Burrito,3,0,78.44,0,0,100
105,,Corn Star,3,0,48.81,0,0,100
106,,Brownie D,3,0,24.43,0,0,100
107,,Geppetto Pinot Noir - Regular,3,0,45.25,0,9.09,80
108,,Kids Spag Bol,3,0,39.22,0,0,100
109,,Kids Nuggets D,3,0,36,0,0,100
110,,Extra Corn Chips,3,0,6.11,0,0,100
111,,Dragonfly Grenache - Regular,3,0,48.54,0,11.98,75
112,,Swap for Sweet Potato Fries,3,0,5.63,0,0,100
113,,Kuku Sauvignon Blanc - Regular,3,0,39,0,7.98,80
114,,Add Pepperoni,3,0,6,0,0,100
115,,Family Meatlovers,3,0,84.48,0,0,100
116,,Mother's Milk Shiraz - Regular,3,0,45,0,8.45,81
117,,Tallows Dancer,3,0,60.69,0,9.3,85
118,,Regular Pepperoni,3,0,49.33,0,0,100
119,,6x Oysters,3,0,68.22,0,0,100
120,,Regular Truffalo Soldier [Dine-in],3,0,66.76,0,0,100
121,,Cheesy Garlic Bread,3,0,18.1,0,0,100
122,,Tuk Tuk Salad,3,0,67.15,0,0,100
