Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Unlimited Dumplings,64,31,1524,46,0,100
2,,Kirin - Pint,16,8,260.7,8,81.58,69
3,,Fresh is Best Lager - Schooner,8,4,61,2,14.47,76
4,,Pepsi Glass,8,4,36.6,1,0,100
5,,Grifter Pale - Pint,8,4,114.49,3,26.64,77
6,,Stone & Wood - Schooner,7,3,87.5,3,23.01,74
7,,Aperol Spritz,6,3,108,3,20.55,81
8,,Status Quo - Schooner,6,3,81,2,18.13,78
9,,Pepsi Max Glass,6,3,27,1,0,100
10,,Crankshaft IPA - Pint,5,2,87.5,3,21.44,75
11,,White Light Pure Vodka [House],5,2,43,1,7.52,83
12,,Petits Detours Rosé - Regular,4,2,64,2,14.14,78
13,,Kirin - Schooner,4,2,50,2,15.21,70
14,,Pineapple Juice Glass,3,1,15.33,0,2.08,86
15,,Philter XPA - Schooner,3,1,23,1,6.85,70
16,,Stone & Wood - Pint,3,1,50.06,2,13.23,74
17,,Lemonade Glass,2,1,9,0,0,100
18,,Mochi Trio,2,1,12,0,0,100
19,,Bad Bitch Martini,2,1,32,1,7.53,76
20,,Appleton Rum [House],2,1,22,1,4.51,80
21,,Fresh is Best Lager - Pint,2,1,25,1,4.85,81
22,,Little Dragon - Pint,2,1,35,1,9.24,74
23,,Fresh Lime Soda,2,1,7,0,0,100
24,,Kids Unlimited Dumplings,2,1,24,1,0,100
25,,Fresh is Best Summer Lager - Schooner,2,1,17,1,3.14,82
26,,Coke Zero Can,2,1,8,0,3.74,53
27,,Crankshaft IPA - Schooner,2,1,27,1,6.4,76
28,,Kuku Sauvignon Blanc - Large,2,1,46,1,9.36,80
29,,Poor Tom's Strawberry Gin Tonica,1.75,1,36.75,1,7.78,79
30,,Villa Fresco Sangiovese - Regular,1,0,12,0,2.41,80
31,,Coconut Margarita,1,0,22,1,1.45,93
32,,Heaps Normal Tin,1,0,10.5,0,2.65,75
33,,Bundaberg Ginger Beer,1,0,5,0,0.9,82
34,,Fried Rice,1,0,23,1,0,100
35,,Carnaval Gypsy,1,0,23,1,4.03,82
36,,Shoyu,1,0,26,1,0,100
37,,Fresh is Best Summer Lager - Pint,1,0,12,0,2.1,82
38,,Pink Lemonade Glass,1,0,4.5,0,0.13,97
39,,Version Two Pinot Grigio - Regular,1,0,12,0,1.73,86
40,,Peroni 0%,1,0,9,0,1.83,80
41,,Marinated Tofu,1,0,0,0,0,0
42,,Stow Soda - Grapefruit,1,0,9,0,0,100
43,,Bombay Dry [House],1,0,7,0,2.12,70
44,,Version Two Sparkling - Regular,1,0,7,0,1.7,76
45,,Dumplings - Prawn Har Gow [GF],1,0,15.49,0,0,100
46,,Casa Gheller Prosecco - Glass,1,0,16,0,3.35,79
47,,"Lemon, Lime & Bitters",1,0,5,0,0,100
48,,Jalapeño Marg,1,0,21,1,1.48,93
49,,Popcorn Cauliflower,1,0,14,0,0,100
50,,Villa Fresco Sangiovese - Bottle,1,0,49,1,12.06,75
51,,Lemon Meringue Martini,1,0,23.76,1,3.57,85
52,,Sticky Chicken Wings,1,0,15,0,0,100
53,,Scorched As,1,0,21,1,4.23,80
54,,Negroni,1,0,21.69,1,3.88,82
