Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Fresh is Best Lager - Pint,28,2,298.6,2,68.5,77
2,,Grifter Pale - Schooner,23,2,258.85,2,57.56,78
3,,Bombay Dry [House],23,2,253.34,2,47.03,81
4,,Jalapeño Marg,23,2,480.25,3,15.52,97
5,,Stone & Wood - Pint,22,2,355.12,2,96.64,73
6,,$2 Buffalo Wing,22,2,44.4,0,10.73,76
7,,Mulled Wine,21,2,303.49,2,42.68,86
8,,Fresh is Best Lager - Schooner,18,2,152.55,1,32.83,78
9,,American Standard Burger,17,2,345,2,99.35,71
10,,Side Aioli,17,2,8.76,0,0,100
11,,Philter XPA - Pint,16,1,230.1,1,49.19,79
12,,Holy Guacamole,16,1,260.24,2,58.74,77
13,,Philter XPA - Schooner,16,1,171.04,1,36.68,79
14,,White Light Pure Vodka [House],16,1,161.16,1,24.31,85
15,,Grifter Pale - Pint,15,1,183,1,50.34,72
16,,Classic Margarita,14,1,275.32,2,51.89,81
17,,Lychee Martini,14,1,278.61,2,47.64,83
18,,Villa Fresco Sangiovese - Regular,14,1,163.62,1,30.19,82
19,,Petits Detours Rosé - Regular,13,1,211.2,1,45.66,78
20,,Status Quo - Pint,13,1,226.89,1,54.12,76
21,,Rosemary Salted Fries,13,1,158.75,1,24.12,85
22,,Version Two Pinot Grigio - Regular,12,1,129.8,1,20.1,85
23,,Fresh is Best Summer Lager - Schooner,12,1,95.14,1,18.75,80
24,,Espresso Martini,10,1,179.26,1,31.92,82
25,,Negroni,10,1,211.37,1,37.44,82
26,,On The Rocks,9,1,0,0,0,0
27,,Stone & Wood - Schooner,9,1,117,1,29.48,75
28,,Side Tomato Sauce,9,1,0.52,0,0,100
29,,$2 BBQ Wing,9,1,18.19,0,3.53,81
30,,Bang Bang Cauli,9,1,147.69,1,24.85,83
31,,Buffalo Wings,8,1,131.14,1,31.22,76
32,,Brownie D,8,1,13,0,15.58,-20
33,,Geppetto Pinot Noir - Regular,8,1,120.98,1,26.17,78
34,,Kirin - Pint,8,1,149.82,1,40.31,73
35,,Beef Burrito,8,1,195.9,1,54.17,72
36,,Large Super House Special,7,1,208,1,51.66,75
37,,Garlic Bread,7,1,41.32,0,9.94,76
38,,Regular Margherita,7,1,117,1,8.61,93
39,,Better Beer Tin,7,1,73.84,0,16.8,77
40,,Lime,7,1,0,0,0,0
41,,Regular Little Italy [Dine-in],7,1,179.09,1,33.63,81
42,,Aperol Spritz,7,1,143.27,1,25.74,82
43,,Buffalo Wings D,7,1,112.52,1,27.31,76
44,,Version Two Sparkling - Regular,7,1,84,1,11.69,86
45,,Soda [mixer],7,1,0,0,0,0
46,,Regular Pepperoni,6,1,126,1,12.77,90
47,,Tommy's Margarita,6,1,124.98,1,27.75,78
48,,Fresh is Best Summer Lager - Pint,6,1,72,0,12.57,83
49,,Rooster Rojo Blanco Tequila [House],6,1,54,0,13.07,76
50,,Kuku Sauvignon Blanc - Regular,6,1,74.54,0,16.05,78
51,,Kirin - Schooner,6,1,84,1,22.54,73
52,,"Lemon, Lime & Bitters",6,1,30.82,0,0,100
53,,Sweet Potato Fries,6,1,80.15,1,15.17,81
54,,Cheesy Garlic Bread,6,1,42.59,0,10.64,75
55,,BBQ Wings D,6,1,96,1,18.85,80
56,,Fresh Lime Soda,6,1,21.12,0,0,100
57,,Casa Gheller Prosecco - Glass,5.7,1,91.2,1,19.64,78
58,,Heaps Normal Tin,5,0,53.19,0,13.09,75
59,,"Grifter - ""Omen"" Nitro Stout - Schooner",5,0,39.6,0,14.52,63
60,,Stow Schnitty,5,0,133.47,1,26.63,80
61,,BBQ Wings,5,0,76.96,0,15.71,80
62,,Regular Meatlovers,5,0,125,1,25.96,79
63,,1800 Coconut,5,0,65,0,14.92,77
64,,Hugo Spritz,5,0,107.76,1,6.53,94
65,,Kids Nuggets & Chips,5,0,67.19,0,11.23,83
66,,Side Chipotle Mayo,5,0,5.12,0,0,100
67,,Delivery Fee [Me&U],5,0,20.64,0,0,100
68,,Regular Hail Africa [Dine-in],5,0,133.41,1,14.56,89
69,,Coconut Margarita,5,0,112.16,1,18.91,83
70,,Sensei Calamari,5,0,91.77,1,11.53,87
71,,Large Pepperoni,4,0,96.63,1,18.26,81
72,,Regular Hawaiian,4,0,88,1,4.99,94
73,,Regular New Yorker [Dine-in],4,0,95.02,1,14.34,85
74,,Easy Sauce,4,0,0,0,0,0
75,,Large Bubba Gump,4,0,107.82,1,23.2,78
76,,Mother's Milk Shiraz - Regular,4,0,61.47,0,12.87,79
77,,Trentham Estate Rosé - Regular,4,0,43.63,0,8.22,81
78,,Regular Bubba Gump,4,0,99.68,1,16.61,83
79,,Crankshaft IPA - Pint,4,0,70,0,15.65,78
80,,Four Pillars Rare Dry,4,0,58,0,10.6,82
81,,Version Two Pinot Grigio - Large,4,0,76,0,11.17,85
82,,Fish Tacos,4,0,79.95,1,8.74,89
83,,Add Jalapenos,4,0,5.06,0,0,100
84,,Chicken Shindig Burger,4,0,82.09,1,19.07,77
85,,Cucumber,4,0,0,0,0,0
86,,Ottelia Chardonnay - Regular,4,0,65.06,0,13.83,79
87,,Corona,4,0,42,0,11.02,74
88,,Side BBQ Sauce,3,0,0,0,0,0
89,,Grey Goose,3,0,42,0,8.04,81
90,,Add Olives,3,0,4.5,0,0,100
91,,Large Margherita,3,0,66.63,0,6.89,90
92,,2 Glasses,3,0,0,0,0,0
93,,Philter Red - Pint,3,0,45.49,0,9.93,78
94,,Large New Yorker,3,0,82.76,1,15.03,82
95,,Four Pillars Bloody Shiraz Gin Tonica,3,0,63.69,0,14.95,77
96,,No Anchovies,3,0,0,0,0,0
97,,Quiet Riot Negroni,3,0,66,0,12.82,81
98,,Pepsi Glass,3,0,13.8,0,0,100
99,,Banquet Deal Pizzas,3,0,181.97,1,0,100
100,,Regular BBQ Chicken Pizza,3,0,70.18,0,10.02,86
101,,Lemonade Glass,3,0,13.96,0,0,100
102,,Side Blue Cheese Dip,3,0,3.03,0,0,100
103,,Coke Can,3,0,12,0,5.04,58
104,,Lemon Meringue Martini,3,0,71.31,0,10.72,85
105,,Beef Burger D,3,0,74.36,0,0,100
106,,Sibiliana Nero D'Avola - Regular,3,0,54.59,0,11.6,79
107,,Regular Jimmy Jury [Dine-in],3,0,77.46,0,10.01,87
108,,Large BBQ Chicken Pizza,3,0,91,1,13.99,85
109,,Regular Cosmopolitan,3,0,78,1,14.52,81
110,,Regular El Patron [Dine-in],3,0,77.46,0,10.92,86
111,,No Olives,3,0,0,0,0,0
112,,Scorched As,3,0,64.38,0,11.96,81
113,,Large Meatlovers,3,0,90.92,1,21.75,76
114,,Corn Star,3,0,49.05,0,7.65,84
115,,Chicken Burrito,3,0,69.04,0,20.4,70
116,,Regular Super House Special,3,0,70,0,15.85,77
117,,Send Kids Food With Mains,3,0,0,0,0,0
118,,Carnaval Gypsy,3,0,69.76,0,13.3,81
119,,Large Cosmopolitan,3,0,82.82,1,20.28,76
120,,No Capsicum,3,0,0,0,0,0
121,,No Onion,3,0,0,0,0,0
122,,Kraken Rum,3,0,42,0,6.36,85
123,,Little Dragon Can,3,0,37.91,0,6.97,82
124,,Status Quo - Schooner,3,0,40.94,0,9.31,77
125,,Swap for Sweet Potato Fries,3,0,6,0,0,100
126,,VB Tinnie,3,0,26.1,0,5.88,77
127,,Pepsi Max [mixer],2,0,0,0,0,0
