Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Fresh is Best Lager - Schooner,35.7,3,331.04,2,65.12,80
2,,Stone & Wood - Schooner,33,3,435.77,3,107.6,75
3,,Petits Detours Rosé - Regular,25,2,401.63,3,88.38,78
4,,Classic Margarita,25,2,461.32,3,109.65,76
5,,Fresh is Best Lager - Pint,25,2,279.32,2,61.16,78
6,,$2 Buffalo Wing,24,2,49.17,0,10.79,78
7,,American Standard Burger,23,2,393.5,3,134.41,66
8,,Side Tomato Sauce,18,2,0,0,0,0
9,,Side Aioli,17,1,8.7,0,0,100
10,,Philter XPA - Schooner,16,1,174.67,1,38.02,78
11,,Lychee Martini,16,1,323.87,2,54.73,83
12,,Aperol Spritz,16,1,281.36,2,65.3,77
13,,Sensei Calamari,14,1,240.53,2,26.46,89
14,,Lime,14,1,0,0,0,0
15,,White Light Pure Vodka [House],14,1,150,1,21.06,86
16,,Kirin - Schooner,13,1,184.3,1,48.73,74
17,,$2 BBQ Wing,13,1,26.19,0,5.1,81
18,,Beetle Juice,13,1,280.59,2,55.64,80
19,,Stone & Wood - Pint,12,1,208.44,1,52.43,75
20,,Chicken Shindig Burger,12,1,180.03,1,25.8,86
21,,Version Two Pinot Grigio - Regular,12,1,91.79,1,20.81,77
22,,Belvedere Vodka,12,1,173.5,1,30.89,82
23,,Kirin - Pint,11,1,210.86,1,55.3,74
24,,Rosemary Salted Fries,11,1,123.57,1,20.41,83
25,,Jalapeño Marg,11,1,234.45,2,15.34,93
26,,Fresh is Best Summer Lager - Schooner,10,1,72.88,0,15.69,78
27,,Buffalo Wings D,10,1,150.9,1,35.95,76
28,,Pepsi Max Glass,10,1,46.05,0,0,100
29,,Garlic Bread,10,1,60.66,0,14.2,77
30,,Fish Tacos,10,1,200.62,1,10.62,95
31,,Grifter Pale - Pint,10,1,114.49,1,33.39,71
32,,Mother's Milk Shiraz - Regular,9,1,135.49,1,28.95,79
33,,Grifter Pale - Schooner,9,1,99.23,1,22.49,77
34,,Brownie D,9,1,0,0,0,0
35,,"Lemon, Lime & Bitters",8,1,40.84,0,0,100
36,,Coconut Margarita,8,1,175.96,1,11.5,93
37,,Lemon Meringue Martini,8,1,180.77,1,28.48,84
38,,Fresh is Best Summer Lager - Pint,8,1,76.29,1,16.83,78
39,,Sweet Potato Fries,8,1,106.14,1,20.22,81
40,,Espresso Martini,7,1,144.63,1,22.4,85
41,,Heaps Normal Tin,7,1,73.5,0,18.4,75
42,,Chicken Burrito,7,1,201.51,1,16.48,92
43,,Year Wines 'Zagara' Orange - Regular,7,1,107.45,1,23.95,78
44,,Holy Guacamole,7,1,110.93,1,5.97,95
45,,Kuku Sauvignon Blanc - Regular,7,1,99.38,1,19.29,81
46,,Large Super House Special,7,1,208,1,51.09,75
47,,Scorched As,7,1,133.75,1,495.93,-271
48,,Make It A Burrito Bowl [gluten-free],7,1,0,0,0,0
49,,No Onion,6,1,0,0,0,0
50,,Crankshaft IPA - Pint,6,1,105,1,25.81,75
51,,Large Hawaiian,6,1,152.66,1,18.99,88
52,,Regular Little Italy [Dine-in],6,1,154.91,1,28.42,82
53,,Soda [mixer],6,1,0,0,0,0
54,,Philter XPA - Pint,6,1,55.99,0,19.12,66
55,,BBQ Wings,6,1,92.96,1,18.85,80
56,,Side BBQ Sauce,6,1,0,0,0,0
57,,Bang Bang Cauli,6,1,98.64,1,13.64,86
58,,Lemonade [mixer],6,1,0,0,0,0
59,,Casa Gheller Prosecco - Glass,6,1,97.06,1,20.08,79
60,,Stow Schnitty,6,1,161.1,1,29.66,82
61,,Regular Little Italy,5,0,123,1,23.68,81
62,,Limoncello Spritz,5,0,108.45,1,26.38,76
63,,Version Two Sparkling - Regular,5,0,55.64,0,8.43,85
64,,Crankshaft IPA - Schooner,5,0,54,0,16.04,70
65,,Beef Cheek,5,0,137.01,1,0,100
66,,Add Olives,5,0,7.7,0,0,100
67,,Add Chilli,5,0,5.03,0,0,100
68,,Beef Burrito,5,0,125.97,1,11.77,91
69,,Bombay Dry [House],5,0,55,0,10.22,81
70,,Geppetto Pinot Noir - Regular,5,0,75.49,1,15.15,80
71,,On The Rocks,5,0,0,0,0,0
72,,Side Chipotle Mayo,5,0,5.12,0,0,100
73,,Swap for Sweet Potato Fries,5,0,10.21,0,0,100
74,,Old Panther - Pint,5,0,83.04,1,17.44,79
75,,Regular Pepperoni,4,0,76.52,1,8.24,89
76,,Negroni,4,0,85.69,1,15.14,82
77,,San Pellegrino 500ml,4,0,37.19,0,8.93,76
78,,Dirty,4,0,0,0,0,0
79,,Dark & Stormy,4,0,75.35,1,14.97,80
80,,Fancy Pants Parmy - Classic,4,0,119.82,1,30.77,74
81,,Old Fashioned,4,0,86.06,1,18.6,78
82,,Regular El Patron [Dine-in],4,0,102.46,1,14.29,86
83,,Mother's Milk Shiraz - Large,4,0,100.84,1,21.44,79
84,,Lemonade Glass,4,0,18,0,0,100
85,,Year Wines Fiano - Regular,4,0,72,0,13.25,82
