Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Classic Margarita,42,3,683.79,4,156.06,77
2,,Aioli Dipping Sauce,40,3,4.06,0,0,100
3,,Jalapeño Marg,38,3,804.83,4,141.49,82
4,,Fresh is Best Lager - Schooner,33,2,276.37,2,59.09,79
5,,Stone & Wood - Pint,33,2,490.58,3,128.8,74
6,,Fresh is Best Lager - Pint,33,2,344,2,79.24,77
7,,$2 BBQ Wing,29,2,29.02,0,0,100
8,,Mulled Wine,26,2,367.12,2,46.33,87
9,,Garlic Bread,26,2,131.18,1,0,100
10,,Grifter Pale - Pint,23,2,298.72,2,75.28,75
11,,Beetle Juice,21,2,359.9,2,82.7,77
12,,Kirin - Schooner,21,2,242.68,1,52.42,78
13,,Grifter Pale - Schooner,20,1,195.93,1,48.81,75
14,,On The Rocks,18,1,0,0,0,0
15,,Espresso Martini,17,1,256.19,1,53.62,79
16,,Stone & Wood - Schooner,16,1,184.4,1,46.56,75
17,,Mother's Milk Shiraz - Regular,15,1,222,1,46.99,79
18,,Philter XPA - Pint,15,1,120.95,1,46.94,61
19,,American Standard Burger,15,1,292.72,2,0,100
20,,White Light Pure Vodka [House],14,1,138.69,1,21.06,85
21,,Geppetto Pinot Noir - Regular,13,1,195.78,1,41.66,79
22,,Aperol Spritz,13,1,195.96,1,44.76,77
23,,Sweet Potato Fries,13,1,170.77,1,0,100
24,,Kuku Sauvignon Blanc - Regular,12,1,156.66,1,34.5,78
25,,Tomato Dipping Sauce,11,1,1.51,0,0,100
26,,Delivery Fee [Me&U],11,1,44.79,0,0,100
27,,Philter XPA - Schooner,11,1,96.4,1,25.66,73
28,,BBQ Dipping Sauce,10,1,1.51,0,0,100
29,,Regular Margherita,10,1,142.02,1,0,100
30,,Version Two Pinot Grigio - Regular,10,1,117.8,1,17.51,85
31,,Holy Guacamole,10,1,156.08,1,0,100
32,,Kirin - Pint,10,1,105.77,1,33.48,68
33,,BBQ Wings,9,1,136.54,1,0,100
34,,Coconut Margarita,9,1,191.55,1,34.64,82
35,,Philter Red - Schooner,9,1,102.94,1,26.47,74
36,,Large Pepperoni,9,1,191.96,1,0,100
37,,Fish Tacos,9,1,181.73,1,0,100
38,,Fellr Watermelon Seltzer Tin,9,1,58.28,0,29.46,49
39,,Bad Bitch Martini,8,1,162.04,1,25.96,84
40,,Stow Schnitty,8,1,210.64,1,0,100
41,,Version Two Sparkling - Regular,8,1,91.41,1,13.7,85
42,,Fries D,7,1,91,1,0,100
43,,Casa Gheller Prosecco - Glass,7,1,112.27,1,23.42,79
44,,Add Ham,7,1,6.93,0,0,100
45,,Family Margherita,7,1,185.39,1,0,100
46,,Buffalo Wings D,7,1,99.54,1,0,100
47,,Truffle Fries,7,1,106.52,1,0,100
48,,Chicken Burrito,7,1,184.63,1,0,100
49,,Petits Detours Rosé - Regular,7,1,112.27,1,36.18,68
50,,Regular Super House Special,6,0,106.79,1,0,100
51,,Lychee Martini,6,0,100.57,1,21.44,79
52,,Large Hawaiian,6,0,118.99,1,0,100
53,,Bang Bang Cauli,6,0,95.78,1,0,100
54,,No Dipping Sauce,6,0,0,0,0,0
55,,Large Super House Special,6,0,140,1,0,100
56,,Sensei Calamari,6,0,109.86,1,0,100
57,,BBQ Wings D,6,0,78.22,0,0,100
58,,Negroni,6,0,104.88,1,22.62,78
59,,United States of Dumplings,6,0,97.09,1,0,100
60,,Brownie,6,0,73.22,0,0,100
61,,Regular Little Italy,5,0,95.67,1,0,100
62,,Beef Burrito,5,0,131.77,1,0,100
63,,Brookie's Byron Dry Gin Tonica,5,0,100,1,27.43,73
64,,Fresh is Best Summer Lager - Schooner,5,0,37.04,0,7.79,79
65,,Little Dragon - Schooner,5,0,62.5,0,0,100
66,,Fresh Lime Soda,5,0,15.2,0,0,100
67,,White Lies Negroni,5,0,102.7,1,22.86,78
