Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Classic Margarita,20,4,282.14,5,73.8,74
2,,Aperol Spritz,18,4,254.4,4,60.82,76
3,,Lychee Martini,16,3,227.33,4,57.17,75
4,,Philter XPA - Pint,15,3,185,3,45.63,75
5,,Grifter Pale - Pint,12,2,153,3,38.43,75
6,,Version Two Pinot Grigio - Regular,11,2,102.41,2,19.26,81
7,,Philter XPA - Schooner,11,2,100.8,2,24.95,75
8,,Stone & Wood - Pint,9,2,135.53,2,35.13,74
9,,Mulled Wine,9,2,120.64,2,16.1,87
10,,Fresh is Best Lager - Schooner,8,2,71.7,1,13.99,80
11,,Stone & Wood - Schooner,8,2,85.1,1,23.28,73
12,,Grifter Pale - Schooner,8,2,77,1,19.1,75
13,,Tomato Dipping Sauce,7,1,0,0,0,0
14,,Buffalo Wings,7,1,106.68,2,0,100
15,,White Light Pure Vodka [House],7,1,64.34,1,10.53,84
16,,Garlic Bread,7,1,35.17,1,0,100
17,,Fresh is Best Lager - Pint,6,1,69.41,1,14.07,80
18,,Aioli Dipping Sauce,6,1,0,0,0,0
19,,Bombay Dry [House],6,1,57,1,11.94,79
20,,Mother's Milk Shiraz - Regular,6,1,84.26,1,19.3,77
21,,Cheesy Garlic Bread,5,1,30,0,0,100
22,,Regular Super House Special,5,1,90,1,0,100
23,,Stow Schnitty,5,1,131.33,2,0,100
24,,Peroni,5,1,50.52,1,11.56,77
25,,Version Two Sparkling - Regular,5,1,55,1,8.57,84
26,,Add Pineapple,4,1,4,0,0,100
27,,Lime,4,1,0,0,0,0
28,,Regular Tandoori Chicken,4,1,72.58,1,0,100
29,,Bang Bang Cauli,4,1,62.68,1,0,100
30,,Sensei Calamari,4,1,72.93,1,0,100
31,,Truffle Fries,4,1,60.76,1,0,100
32,,Fresh is Best Summer Lager - Pint,4,1,48,1,8.03,83
33,,Large Margherita,4,1,80.31,1,0,100
34,,Oceanside,4,1,56.96,1,20,65
