Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Fresh is Best Summer Lager - Schooner,35,5,261.75,3,54.69,79
2,,Philter XPA - Schooner,31,5,253.17,3,71.43,72
3,,Classic Margarita,26,4,413.82,5,41.07,90
4,,Aperol Spritz,25,4,384.19,5,86.86,77
5,,Grifter Pale - Schooner,22,3,154.2,2,48.81,68
6,,Fresh is Best Lager - Schooner,20.7,3,174.6,2,37.32,79
7,,$2 BBQ Wing,16,2,16,0,0,100
8,,Stone & Wood - Schooner,15,2,189.46,2,39.12,79
9,,Fresh is Best Lager - Pint,15,2,176.25,2,36.27,79
10,,Espresso Martini,13,2,208.81,3,39.17,81
11,,Holy Guacamole,12,2,212.92,3,0,100
12,,Version Two Pinot Grigio - Regular,11,2,85.2,1,17.92,79
13,,Aioli Dipping Sauce,11,2,1.06,0,0,100
14,,Villa Fresco Sangiovese - Regular,11,2,122.18,1,24.32,80
15,,American Standard Burger,11,2,203.47,2,0,100
16,,Staff Dinner $5,9,1,48.5,1,0,100
17,,Fish Tacos,9,1,198.61,2,0,100
18,,Grifter Pale - Pint,8,1,104.88,1,23.8,77
19,,On The Rocks,7,1,0,0,0,0
20,,Tomato Dipping Sauce,7,1,0,0,0,0
21,,Dark & Stormy,6,1,77.68,1,21.79,72
22,,Kuku Sauvignon Blanc - Regular,6,1,86.05,1,15.58,82
23,,Philter XPA - Pint,6,1,71,1,18.54,74
24,,6x Oysters,5,1,111.9,1,0,100
25,,Stow Schnitty,5,1,144.47,2,0,100
26,,Garlic Bread,5,1,26.09,0,0,100
27,,Rosemary Salted Fries,5,1,67.1,1,0,100
28,,BBQ Wings,5,1,82.12,1,0,100
29,,Fresh Lime Soda,5,1,16.26,0,0,100
30,,Kirin - Schooner,5,1,58.14,1,7.34,87
31,,Sensei Calamari,5,1,100.7,1,0,100
32,,Version Two Sparkling - Regular,5,1,46.86,1,8.39,82
33,,BBQ Dipping Sauce,4,1,0,0,0,0
34,,Send Kids Food ASAP,4,1,0,0,0,0
35,,Stone & Wood - Pint,4,1,66,1,13.99,79
36,,Bang Bang Cauli,4,1,71.6,1,0,100
37,,Regular Hawaiian,4,1,63.71,1,0,100
38,,White Light Pure Vodka [House],4,1,26.62,0,5.31,80
39,,Delivery Fee [Me&U],4,1,16.29,0,0,100
40,,Sweet Potato Fries,4,1,57.92,1,0,100
41,,Bombay Dry [House],4,1,44,1,7.6,83
42,,Beef Burrito,3,0,58.18,1,0,100
43,,Family Super House Special,3,0,91.65,1,0,100
44,,Add Olives,3,0,3.1,0,0,100
45,,No Garnish,3,0,0,0,0,0
46,,United States of Dumplings,3,0,51.5,1,0,100
47,,Large Hawaiian,3,0,64.8,1,0,100
48,,Large Pepperoni,3,0,45.98,1,0,100
49,,Kirin - Pint,3,0,46.2,1,5.91,87
50,,BBQ Wings D,3,0,42.08,1,0,100
51,,Regular Super Veg,3,0,54.7,1,0,100
52,,Add Capsicum,3,0,3.12,0,0,100
53,,Lychee Martini,3,0,40.27,0,8.55,79
54,,Family Meatlovers,3,0,83.72,1,0,100
55,,Fish Burrito,3,0,81.09,1,0,100
56,,Buffalo Wings,3,0,53.4,1,0,100
57,,Corona,3,0,36.72,0,8.38,77
58,,Make It A Burrito Bowl [gluten-free],3,0,0,0,0,0
59,,Soda [mixer],3,0,0,0,0,0
60,,Large Meatlovers,3,0,60.52,1,0,100
61,,Truffle Fries,3,0,50.34,1,0,100
62,,One Ice Block,3,0,0,0,0,0
63,,Fizz 'N' Chips,3,0,92.92,1,0,100
64,,Jalapeño Marg,2,0,46.59,1,6.32,86
65,,Petits Detours Rosé - Regular,2,0,35.5,0,9.2,74
66,,Corn Star,2,0,28.46,0,0,100
67,,Delivery Fee - Freshwater / Queenscliff,2,0,8.8,0,0,100
68,,Add Pineapple,2,0,2,0,0,100
69,,Family Hawaiian,2,0,54.4,1,0,100
70,,Regular BBQ Chicken Pizza,2,0,36.02,0,0,100
71,,Beetle Juice,2,0,46.59,1,7.4,84
72,,Fancy Pants Parmy,2,0,61.44,1,0,100
73,,Regular Little Italy,2,0,39.9,0,0,100
74,,Stow Spritz,2,0,31.32,0,4.64,85
75,,Lime,2,0,0,0,0,0
76,,Large BBQ Chicken Pizza,2,0,46,1,0,100
77,,Large Super House Special,2,0,48.2,1,0,100
78,,Tallows Dancer,2,0,44.37,1,6.01,86
79,,Regular Margherita,2,0,32,0,0,100
80,,Large Paddock,2,0,48.4,1,0,100
81,,Coke Can,2,0,8,0,3.14,61
82,,Geppetto Pinot Noir - Regular,2,0,33.57,0,6.06,82
83,,Kids Margherita Pizza,2,0,28.84,0,0,100
84,,Kids Nuggets & Chips,2,0,29.08,0,0,100
85,,Hill People Oat Cream - Schooner,2,0,30.8,0,6.73,78
86,,Sea Foam Pet Nat - Regular,2,0,33,0,0,100
87,,Large Margherita,2,0,41.8,1,0,100
88,,Swap for Sweet Potato Fries,2,0,3.56,0,0,100
89,,Jalapeño Edamame,2,0,26.85,0,0,100
90,,Dormilona Chenin Blanc - Regular,2,0,31.68,0,8.14,74
91,,Large Sorrento,2,0,49.65,1,0,100
92,,Delivery Fee - Curl Curl / Manly / Dee Why,2,0,12.1,0,0,100
93,,Chipotle Mayo Dipping Sauce,2,0,2.12,0,0,100
94,,No Dipping Sauce,2,0,0,0,0,0
95,,Boujee Dressing,2,0,0,0,0,0
96,,Coconut Margarita,2,0,46.6,1,6.85,85
97,,Large House Special,2,0,47.1,1,0,100
98,,San Pellegrino 500ml,2,0,13.31,0,4.53,66
99,,Apple Juice Glass,2,0,8.95,0,0,100
100,,Natural,2,0,0,0,0,0
101,,Four Pillars Olive Leaf,2,0,29.95,0,6.2,79
102,,Status Quo - Schooner,2,0,26.4,0,5.45,79
103,,Brownie,2,0,26.62,0,0,100
104,,Add Mushrooms,2,0,0,0,0,0
105,,Family Prawn Hub,2,0,62.65,1,0,100
106,,Add Ham,2,0,2,0,0,100
107,,Status Quo - Pint,2,0,35.2,0,7.3,79
108,,Gluten-free Garlic Cheese Pizza,2,0,30,0,0,100
109,,Extra Mozzarella,2,0,4,0,0,100
110,,Cheesy Garlic Bread,2,0,12,0,0,100
111,,Late Night Dial,2,0,49.22,1,0,100
112,,Family Southern Lamb,1,0,30,0,0,100
113,,Monteith's Apple Cider Bottle,1,0,11.75,0,3.03,74
114,,Vegan Cheese [Pizza],1,0,3,0,0,100
115,,Rocket Man D,1,0,13,0,0,100
116,,4 Glasses,1,0,0,0,0,0
117,,Large New Yorker,1,0,23.53,0,0,100
118,,Add Chilli,1,0,0.56,0,0,100
119,,Fish Burrito D,1,0,25.73,0,0,100
120,,Add Anchovies,1,0,1.1,0,0,100
121,,Fries D,1,0,13,0,0,100
122,,Regular Super House Special,1,0,18.7,0,0,100
123,,Family  House Special,1,0,29,0,0,100
124,,Large Cosmopolitan,1,0,24.2,0,0,100
125,,Gluten-free Super House Special,1,0,22,0,0,100
126,,Regular Bubba Gump,1,0,18.7,0,0,100
127,,Family House Special,1,0,28.6,0,0,100
