Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Fancy Pants Parmy,25,6,436.61,8,0,100
2,,Fresh is Best Lager - Schooner,18,4,153.31,3,31.76,79
3,,Philter XPA - Schooner,15,3,144.14,3,33.33,77
4,,Stow Schnitty,12,3,194.19,3,0,100
5,,Stone & Wood - Pint,12,3,174,3,46.9,73
6,,Stone & Wood - Schooner,11,3,121.67,2,32.05,74
7,,Grifter Pale - Schooner,11,3,104.26,2,26.84,74
8,,Grifter Pale - Pint,8,2,77.6,1,26.18,66
9,,Classic Margarita,8,2,134.55,2,29.06,78
10,,Fresh is Best Lager - Pint,8,2,77.6,1,18.93,76
11,,Eggplant Parmy,7,2,127.91,2,0,100
12,,Version Two Pinot Grigio - Regular,7,2,66.61,1,11.43,83
13,,Staff Dinner $5,7,2,30,1,0,100
14,,Heaps Normal Tin,7,2,69.35,1,17.71,74
15,,Fresh is Best Summer Lager - Schooner,7,2,59.93,1,10.74,82
16,,Fresh is Best Summer Lager - Pint,6,1,72,1,12.34,83
17,,Aioli Dipping Sauce,6,1,1.02,0,0,100
18,,Eggplant Schnitty,5,1,80.83,1,0,100
19,,Beetle Juice,5,1,81.9,1,24.91,70
20,,Limoncello Spritz,5,1,96.3,2,26.26,73
21,,Fish Tacos,5,1,92.68,2,0,100
22,,Petits Detours Rosé - Regular,5,1,80,1,26.71,67
23,,Pepsi Max Glass,4,1,15.47,0,0,100
24,,Lychee Martini,4,1,62.26,1,13.81,78
25,,Garlic Bread,4,1,20,0,0,100
26,,Two Tonne Riesling - Regular,4,1,64,1,15.47,76
27,,Side Gravy,4,1,4.08,0,0,100
28,,Version Two Sparkling - Regular,4,1,30.2,1,6.58,78
29,,Kuku Sauvignon Blanc - Regular,4,1,52.22,1,10.59,80
30,,Trade Winds,4,1,48.61,1,0,100
31,,Stow Spritz,4,1,56.95,1,9.66,83
32,,Bang Bang Cauli,3,1,45.87,1,0,100
33,,Buffalo Wings,3,1,48.84,1,0,100
34,,Make it Vegan [use vegan cheese],3,1,0,0,0,0
35,,Jalapeño Marg,3,1,51.45,1,10.92,79
36,,Hill People Oat Cream - Schooner,3,1,42.5,1,9.99,76
37,,United States of Dumplings,3,1,41.87,1,0,100
38,,Tomato Dipping Sauce,3,1,1.53,0,0,100
39,,Trentham Estate Rosé - Regular,3,1,36.2,1,6.36,82
40,,Jalapeño Edamame,3,1,36.2,1,0,100
41,,Chipotle Mayo Dipping Sauce,3,1,3.06,0,0,100
42,,Kirin - Schooner,3,1,30,1,7.32,76
43,,Year Wines 'Zagara' Orange - Regular,3,1,45,1,11.29,75
44,,Aperol Spritz,3,1,43.53,1,9.86,77
45,,Status Quo - Pint,3,1,48,1,10.95,77
46,,Espresso Martini,3,1,43,1,9.25,78
47,,Large Pepperoni,2,0,43,1,0,100
48,,Spaghetti Bolognese D,2,0,24,0,0,100
49,,Brownie,2,0,0,0,0,0
50,,No Dipping Sauce,2,0,0,0,0,0
51,,Gosling's Black Rum,2,0,24,0,5.44,77
52,,Regular Hawaiian,2,0,28,1,0,100
53,,BBQ Wings D,2,0,26.22,0,0,100
54,,Swap for Sweet Potato Fries,2,0,4.04,0,0,100
55,,Stow Soda - Passionfruit,2,0,16.28,0,0,100
56,,Kirin - Pint,2,0,21.02,0,6.55,69
57,,Hangin' With The Berries,2,0,35.7,1,5.11,86
58,,Large Sanchez,2,0,44,1,0,100
59,,Rosemary Salted Fries,2,0,24.2,0,0,100
60,,Bombay Dry [House],2,0,20,0,3.79,81
61,,Swap Fries for Sweet Potato Fries,2,0,4,0,0,100
62,,Sensei Calamari,2,0,36.62,1,0,100
63,,American Standard Burger,2,0,52.44,1,0,100
64,,New York Ambassador Steak,2,0,63.48,1,0,100
