Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Unlimited Dumplings,83,30,1948.07,49,0,100
2,,Pepsi Max Glass,27,10,121.94,3,0,100
3,,Fresh is Best Lager - Schooner,12,4,104.5,3,21.3,80
4,,Stone & Wood - Schooner,12,4,150.41,4,36.1,76
5,,"Lemon, Lime & Bitters",10,4,50.66,1,0,100
6,,Fresh is Best Lager - Pint,8,3,93.29,2,19.04,80
7,,Fresh Lime Soda,7,3,24.5,1,0,100
8,,Philter XPA - Schooner,5,2,53,1,11.88,78
9,,Aperol Spritz,5,2,80.92,2,17.51,78
10,,Pink Lemonade Glass,4,1,18.6,0,0.52,97
11,,Limoncello,4,1,48,1,8.53,82
12,,Dragonfly Grenache - Regular,3,1,49.58,1,10.38,79
13,,Dumplings - Beef & Cabbage,3,1,37.19,1,0,100
14,,Pepsi Glass,3,1,13.5,0,0,100
15,,BBQ Pork Buns,3,1,43.38,1,0,100
16,,Orange Juice Glass,3,1,15,0,1.43,90
17,,Fresh is Best Summer Lager - Schooner,3,1,25.5,1,4.63,82
18,,Geppetto Pinot Noir - Regular,3,1,45.49,1,10.54,77
19,,Two Tonne Riesling - Regular,3,1,61.31,2,11.9,81
20,,Young Henrys Cloudy Cider Can,3,1,36.78,1,8.24,78
21,,San Pellegrino 500ml,3,1,27.3,1,6.81,75
22,,Grifter Pale - Schooner,2,1,23,1,4.96,78
23,,Bundaberg Ginger Beer,2,1,10,0,1.79,82
24,,Veg Spring Rolls,2,1,26.85,1,0,100
25,,Year Wines Fiano - Regular,2,1,36.59,1,6.63,82
26,,Gluten-free,2,1,0,0,0,0
27,,Stone & Wood - Pint,2,1,33,1,8.07,76
28,,Kuku Sauvignon Blanc - Regular,2,1,28,1,5.83,79
29,,1 Glass,2,1,0,0,0,0
30,,Dumplings - Veg Gyoza,2,1,24.78,1,0,100
31,,Campari,2,1,20,0,3.31,83
32,,Casa Gheller Prosecco - Glass,2,1,32,1,7,78
33,,Fried Rice,2,1,45.44,1,0,100
34,,Lemonade Glass,2,1,9.15,0,0,100
35,,Grifter Pale - Pint,2,1,30.49,1,6.66,78
36,,Outback Prawn Toast,1,0,14.45,0,0,100
37,,Mie Goreng,1,0,22.72,1,0,100
38,,Coconut Margarita,1,0,22,1,0.7,97
39,,Lychee Martini,1,0,20,0,3.66,82
40,,Version Two Pinot Grigio - Regular,1,0,7.23,0,1.72,76
41,,Tomato Dipping Sauce,1,0,0.5,0,0,100
42,,Katsu Curry,1,0,26,1,0,100
43,,Ginger Ale,1,0,4,0,0,100
44,,Status Quo - Schooner,1,0,13.5,0,2.99,78
45,,Chicken,1,0,4.13,0,0,100
46,,Pineapple Juice Glass,1,0,5.16,0,0.69,87
47,,Puerto Sunset,1,0,21.69,1,4.07,81
48,,Oceanside,1,0,21,1,3.48,83
49,,Bad Bitch Martini,1,0,21.69,1,3.17,85
50,,Espresso Martini,1,0,20,0,2.89,86
51,,Shredded Beef,1,0,24.78,1,0,100
52,,Dumplings - Prawn Har Gow [GF],1,0,14.46,0,0,100
53,,Little Dragon - Schooner,1,0,13.5,0,3.45,74
54,,Kirin - Pint,1,0,16.5,0,4.04,76
55,,Stow Soda - Grapefruit,1,0,9.3,0,0,100
56,,Fresh is Best Summer Lager - Pint,1,0,9.3,0,2.07,78
57,,Open Price,1,0,3,0,0,100
58,,A. Rodda Chardonnay - Large,1,0,35.11,1,10.28,71
59,,Petits Detours Rosé - Regular,1,0,16,0,3.53,78
60,,Petits Detours Rosé - Large,1,0,25,1,5.89,76
61,,Peroni 0%,1,0,9,0,1.8,80
62,,Sticky Chicken Wings,1,0,13,0,0,100
63,,Kids Fried Rice,1,0,12.39,0,0,100
64,,Classic Margarita,1,0,20.66,1,3.68,82
65,,Stow Soda - Passionfruit,1,0,9.3,0,0,100
66,,Popcorn Cauliflower,1,0,12.4,0,0,100
67,,Virgin Margy,1,0,13.42,0,0,100
68,,Sunkissed Spritz,1,0,16.53,0,4.67,72
69,,Status Quo - Pint,1,0,17.5,0,4.02,77
70,,Aioli Dipping Sauce,1,0,0,0,0,0
71,,Mother's Milk Shiraz - Bottle,1,0,59,1,16.08,73
72,,Crankshaft IPA - Pint,1,0,17.5,0,3.52,80
73,,Rosemary Salted Fries,1,0,12,0,0,100
74,,Harrys Staff Dinner $5,1,0,5,0,0,100
75,,Tofu,1,0,4.13,0,0,100
76,,Heaps Normal Tin,1,0,10.5,0,2.58,75
77,,❄️Frozen❄️,1,0,0,0,0,0
78,,2 Glasses,1,0,0,0,0,0
79,,Philter XPA - Pint,1,0,9.29,0,3.19,66
