Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Beef Roast,97,8,3105.07,17,552.6,82
2,,Fresh is Best Lager - Schooner,35,3,341.72,2,63.84,81
3,,Classic Margarita,32,3,709.19,4,117.19,83
4,,Fresh is Best Lager - Pint,31,3,390.19,2,75.84,81
5,,Stone & Wood - Schooner,29,2,417.01,2,95,77
6,,Chicken Roast,25,2,828.12,4,114.71,86
7,,Cauliflower Cheese,24,2,172.69,1,1.63,99
8,,Extra Gravy,24,2,51.39,0,8.09,84
9,,Version Two Sparkling - Regular,22,2,79.63,0,37.45,53
10,,Rosemary Salted Fries,21,2,256.49,1,38.96,85
11,,Philter XPA - Schooner,20,2,230.99,1,45.66,80
12,,Stone & Wood - Pint,19,2,340.23,2,83.48,75
13,,Pepsi Max Glass,18,1,89.76,0,0,100
14,,Extra Yorkshire Pudding,17,1,37.92,0,0,100
15,,Fresh is Best Summer Lager - Schooner,17,1,145.35,1,26.67,82
16,,Petits Detours Rosé - Regular,16,1,286.77,2,56.56,80
17,,Side Tomato Sauce,16,1,0,0,0,0
18,,American Standard Burger,16,1,411.71,2,93.5,77
19,,Geppetto Pinot Noir - Regular,16,1,265.62,1,51.05,81
20,,Nut Roast,15,1,493.58,3,80.05,84
21,,Mother's Milk Shiraz - Regular,14,1,234.81,1,45.03,81
22,,Mulled Wine,14,1,179.85,1,28.2,84
23,,On The Rocks,13,1,0,0,0,0
24,,Fresh Lime Soda,13,1,50.55,0,0,100
25,,Sensei Calamari,12,1,197.3,1,27.66,86
26,,Villa Fresco Sangiovese - Regular,12,1,149.16,1,25.88,83
27,,Kids Nuggets & Chips,12,1,173.49,1,26.95,84
28,,Send Kids Food ASAP,12,1,0,0,0,0
29,,Grifter Pale - Pint,12,1,193.61,1,40.17,79
30,,Pepsi Glass,11,1,53.63,0,0,100
31,,Aperol Spritz,11,1,243.44,1,41.67,83
32,,Version Two Pinot Grigio - Regular,11,1,138.31,1,18.68,86
33,,Side Aioli,11,1,6.17,0,0,100
34,,Tommy's Margarita,10,1,213.26,1,46.47,78
35,,Grifter Pale - Schooner,9,1,113.41,1,22.46,80
36,,Kirin - Schooner,9,1,139.11,1,33.78,76
37,,"Lemon, Lime & Bitters",9,1,44.72,0,0,100
38,,Lemonade Glass,9,1,44.71,0,0,100
39,,Sweet Potato Fries,9,1,130.1,1,22.75,83
40,,Status Quo - Pint,9,1,171.33,1,37.47,78
41,,Espresso Martini,8,1,176.72,1,25.39,86
42,,BBQ Wings,8,1,133.65,1,25.13,81
43,,Old Panther - Pint,8,1,148.16,1,27.91,81
44,,Casa Gheller Prosecco - Glass,8,1,105.6,1,27.47,74
45,,Crankshaft IPA - Pint,7,1,136.01,1,30.11,78
46,,Fish Tacos,7,1,154.68,1,15.29,90
47,,Heaps Normal Tin,7,1,81.23,0,18.34,77
48,,Holy Guacamole,7,1,125.54,1,25.7,80
49,,Kuku Sauvignon Blanc - Regular,6,0,90.86,0,16.53,82
50,,Status Quo - Schooner,5.75,0,85.39,0,17.85,79
51,,Fancy Pants Parmy - Classic,5,0,143.55,1,40.53,72
52,,Bundaberg Ginger Beer,5,0,27.86,0,5.08,82
53,,Extra Veg,5,0,16.83,0,0,100
54,,Brownie D,5,0,0,0,9.73,0
55,,Buffalo Wings,5,0,87.98,0,19.51,78
56,,Bombay Dry [House],5,0,60.5,0,10.22,83
57,,Jalapeño Marg,5,0,117.78,1,3.37,97
58,,Kirin - Pint,5,0,104.5,1,25.17,76
59,,Large Pepperoni,5,0,123.41,1,22.82,82
60,,Large Margherita,5,0,112.72,1,11.48,90
61,,Stow Schnitty,5,0,143.94,1,26.63,81
62,,Large Tandoori Chicken,5,0,142.5,1,16.51,88
63,,Pink Lemonade Glass,5,0,24.91,0,0.68,97
64,,Fill w Ice,5,0,0,0,0,0
65,,Apple Juice Glass,5,0,27.86,0,3.3,88
66,,White Light Pure Vodka [House],5,0,58.07,0,7.6,87
67,,Bang Bang Cauli,5,0,90.3,0,13.81,85
68,,Chicken Shindig Burger,5,0,147.68,1,23.83,84
69,,Coke Zero Can,4,0,12,0,7.01,42
70,,Kids Meat Roast,4,0,88,0,0,100
71,,Ottelia Cab Sav - Regular,4,0,76.69,0,13.32,83
72,,Large Meatlovers,4,0,124.61,1,29,77
73,,Garlic Bread,4,0,24,0,5.68,76
74,,Lime,4,0,0,0,0,0
75,,Bloody Mary,4,0,101.2,1,12.15,88
76,,Peroni 0%,4,0,40.59,0,7.31,82
77,,Old Panther - Schooner,4,0,55.45,0,10.4,81
78,,Send Kids Food With Mains,4,0,0,0,0,0
79,,Version Two Pinot Grigio - Bottle,4,0,220.91,1,33.96,85
80,,Large Hawaiian,4,0,94,1,13.05,86
81,,No Garnish,4,0,0,0,0,0
82,,Coconut Margarita,4,0,98.39,1,14.95,85
83,,BBQ Wings D,3,0,51.2,0,9.42,82
84,,Old Fashioned,3,0,71.58,0,13.95,81
85,,Brownie,3,0,27.26,0,8.47,69
86,,No Pickle,3,0,0,0,0,0
87,,Add Bacon,3,0,8.8,0,0,100
88,,Regular Uber Margherita [Dine-in],3,0,78.38,0,9.58,88
89,,Extra Taco,3,0,23.6,0,3.28,86
90,,Archie Rose Signature Gin,3,0,43.37,0,7.61,82
91,,Crankshaft IPA - Schooner,3,0,45.04,0,9.62,79
92,,Regular Sanchez [Dine-in],3,0,85.2,0,10.18,88
93,,2 Glasses,3,0,0,0,0,0
94,,Kraken Rum,3,0,47.71,0,7.24,85
95,,Side BBQ Sauce,3,0,0,0,0,0
96,,Delivery Fee [Me&U],3,0,12.4,0,0,100
97,,Pepsi [mixer],3,0,0,0,0,0
98,,No Salt,3,0,0,0,0,0
99,,Regular Garlic Cheese Pizza,3,0,27,0,4.17,85
100,,Dirty,3,0,0,0,0,0
101,,Large Super House Special,3,0,95.7,1,22.14,77
102,,Lemon Meringue Martini,3,0,77.55,0,10.67,86
103,,Rooster Rojo Blanco Tequila [House],3,0,26.62,0,6.53,75
104,,Regular Little Italy [Dine-in],3,0,54.41,0,14.41,74
105,,Vodka Martini,3,0,37.8,0,8.7,77
106,,Regular Hail Africa [Dine-in],3,0,88.63,0,8.74,90
107,,Olive,3,0,0,0,0,0
108,,Padrillos Malbec - Regular,3,0,60.7,0,13.43,78
109,,Petits Detours Rosé - Large,3,0,82.5,0,17.68,79
110,,No Tomato,2,0,0,0,0,0
111,,Young Henrys Cloudy Cider Can,2,0,26.4,0,5.54,79
112,,Large Sorrento,2,0,61.34,0,14.34,77
113,,Glass of Ice on the Side,2,0,0,0,0,0
114,,No Anchovies,2,0,0,0,0,0
115,,Jug of Water,2,0,0,0,0,0
116,,Cauliflower Tacos,2,0,45.46,0,0,100
117,,Add Pineapple,2,0,3.35,0,0,100
118,,Geppetto Pinot Noir - Large Glass,2,0,53.67,0,10.64,80
119,,Trade Winds,2,0,28.6,0,0,100
120,,3 Glasses,2,0,0,0,0,0
121,,No Pineapple,2,0,0,0,0,0
122,,Eggplant Schnitty,2,0,53.15,0,8.53,84
123,,Orange Juice Glass,2,0,11.18,0,0.95,91
124,,Fries D,2,0,26,0,0,100
125,,Side Chipotle Mayo,2,0,2.24,0,0,100
126,,Cheesy Garlic Bread,2,0,16,0,3.55,78
127,,Version Two Pinot Grigio - Large,2,0,41.8,0,5.66,86
128,,Philter XPA - Pint,2,0,31.35,0,6.12,80
129,,Hendrick's Gin,2,0,31.3,0,5.61,82
130,,Add Olives,2,0,3.35,0,0,100
131,,Fever-Tree Light Tonic [mixer],2,0,2.24,0,0,100
132,,Kuku Sauvignon Blanc - Large,2,0,51.43,0,9.18,82
133,,Regular Cosmopolitan,2,0,52,0,9.68,81
134,,Trutta Streamside Shiraz [Chilled] - Regular,2,0,32.33,0,8.22,75
135,,Bad Bitch Martini,2,0,46.96,0,8.41,82
136,,Mother's Milk Shiraz - Large,2,0,55,0,10.72,81
137,,Baileys Irish Cream,2,0,24.2,0,3.28,86
138,,Regular Bubba Gump,2,0,49.1,0,8.31,83
139,,Regular Margherita,2,0,35.15,0,2.46,93
140,,Unico Zelo Terra Cotta - Regular,2,0,41.8,0,8.76,79
141,,Ottelia Chardonnay - Regular,2,0,35.2,0,7.02,80
142,,Kids Spag Bol,2,0,29.07,0,0,100
143,,Gluten-free [Corn Tortillas],2,0,0,0,0,0
