Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Mulled Wine,14,4,190.4,5,27.67,85
2,,Chicken Burrito,14,4,245.73,7,0,100
3,,Beef Burrito,8,3,145.22,4,0,100
4,,Version Two Sparkling - Regular,8,3,71.2,2,14.13,80
5,,Villa Fresco Sangiovese - Regular,6,2,67.2,2,14.47,78
6,,Grifter Pale - Pint,5,2,50,1,16.5,67
7,,Aioli Dipping Sauce,5,2,0,0,0,0
8,,Philter XPA - Schooner,5,2,51.82,1,11.88,77
9,,Philter Red - Schooner,5,2,52.8,1,13.83,74
10,,Tues - Garlic Bread,4,1,0,0,0,0
11,,Sour Cream,4,1,4.02,0,0,100
12,,Stone & Wood - Pint,4,1,60,2,15.61,74
13,,Sibiliana Nero D'Avola - Regular,4,1,64,2,9.21,86
14,,Large Hawaiian,4,1,84.32,2,0,100
15,,Grifter Pale - Schooner,4,1,31.5,1,9.85,69
16,,BBQ Dipping Sauce,4,1,1.02,0,0,100
17,,Garlic Bread,4,1,20,1,0,100
18,,Fresh Lime Soda,4,1,12,0,0,100
19,,Classic Margarita,3,1,57,2,10.92,81
20,,Philter XPA - Pint,3,1,27,1,9.56,65
21,,Tomato Dipping Sauce,3,1,0,0,0,0
22,,Stow Schnitty,3,1,78.93,2,0,100
23,,White Light Pure Vodka [House],3,1,27,1,4.51,83
24,,Regular New Yorker [Dine-in],3,1,61.04,2,0,100
25,,Lime,3,1,0,0,0,0
26,,Staff Dinner $5,3,1,15,0,0,100
27,,Fresh is Best Lager - Schooner,3,1,27,1,5.24,81
28,,Sigurd GSM Red Blend - Regular,3,1,57,2,13.86,76
29,,Large   Tandoori Chicken,3,1,45,1,0,100
30,,Archie Rose Signature Gin,3,1,36.6,1,8.01,78
31,,Fish Burrito,2,1,36,1,0,100
32,,Sensei Calamari,2,1,36.31,1,0,100
33,,Jalapeño Edamame,2,1,24,1,0,100
34,,Flamin' Moe,2,1,46,1,21.26,54
35,,Ottelia Chardonnay - Regular,2,1,32,1,6.81,79
36,,Brownie D,2,1,20,1,0,100
37,,Chicken Shindig Burger,2,1,52.9,1,0,100
38,,Large Super House,2,1,30,1,0,100
39,,Large   Meatlovers,2,1,30,1,0,100
40,,Pepsi Max Glass,2,1,8,0,0,100
41,,Family Margherita,2,1,40.98,1,0,100
42,,No Pickle,2,1,0,0,0,0
43,,No Mayo,2,1,0,0,0,0
44,,Version Two Pinot Grigio - Regular,2,1,24,1,3.53,85
45,,Rocket Man,2,1,36.63,1,0,100
46,,Large Pepperoni,2,1,43,1,0,100
47,,American Standard Burger,2,1,52.46,1,0,100
48,,Large House Special,2,1,45,1,0,100
49,,Corn Star,2,1,32.27,1,0,100
50,,Pepsi [mixer],2,1,0,0,0,0
51,,Orange,2,1,0,0,0,0
52,,United States of Dumplings,2,1,30.67,1,0,100
53,,Regular Tandoori Chicken,2,1,34.2,1,0,100
54,,Brownie,2,1,24.2,1,0,100
55,,Kuku Sauvignon Blanc - Regular,2,1,26,1,5.83,78
56,,Sweet Potato Fries,2,1,26.23,1,0,100
57,,Add Pineapple,2,1,1.8,0,0,100
58,,Rosemary Salted Fries,2,1,24.21,1,0,100
59,,Make It A Burrito Bowl [gluten-free],2,1,0,0,0,0
60,,Side Guac,2,1,2.04,0,0,100
61,,Mojito,2,1,38,1,8.15,79
62,,Big Sur IPA - Pint,1,0,19.5,1,4,79
63,,Beef Dumplings D,1,0,16,0,0,100
64,,Fresh is Best Summer Lager - Schooner,1,0,8.5,0,1.51,82
65,,Fish Tacos D,1,0,20,1,0,100
66,,Extra Blue Cheese Dip,1,0,1,0,0,100
67,,No Chilli,1,0,0,0,0,0
68,,BBQ Wings D,1,0,14,0,0,100
69,,Staff Pizza $5,1,0,5,0,0,100
70,,Yamazaki 12yr,1,0,48.82,1,12.21,75
71,,Regular BBQ Chicken Pizza,1,0,18,0,0,100
72,,Chipotle Mayo Dipping Sauce,1,0,1,0,0,100
73,,Dragonfly Grenache - Regular,1,0,16,0,3.46,78
74,,Bundaberg Ginger Beer D,1,0,6.4,0,3.57,44
75,,Regular Little Italy [Dine-in],1,0,22,1,0,100
76,,No Tomato,1,0,0,0,0,0
77,,Large   Super Veg,1,0,15,0,0,100
78,,Add Bacon,1,0,3,0,0,100
79,,Add Jalapenos,1,0,1,0,0,100
80,,Large Little Italy,1,0,23,1,0,100
81,,No Pico de Gallo,1,0,0,0,0,0
82,,Add Olives,1,0,1,0,0,100
83,,"Lemon, Lime & Bitters",1,0,4.5,0,0,100
84,,Regular Vegetarian [Dine-in],1,0,19,1,0,100
85,,Grifter Omen Stout Tin,1,0,13,0,3.19,75
86,,Pink Lemonade Glass,1,0,4.58,0,0.14,97
87,,Peroni,1,0,10,0,2.27,77
88,,Apple Juice Glass,1,0,4,0,0,100
89,,Negroni,1,0,20,1,3.76,81
90,,Cheesy Garlic Bread,1,0,6,0,0,100
91,,Large BBQ Chicken Pizza,1,0,22,1,0,100
92,,Family  House Special,1,0,29,1,0,100
93,,Family Meatlovers,1,0,28,1,0,100
94,,No Beans,1,0,0,0,0,0
95,,Geppetto Pinot Noir - Regular,1,0,15,0,3.32,78
96,,Monteith's Apple Cider Bottle,1,0,10.68,0,3,72
97,,Buffalo Wings,1,0,16.27,0,0,100
