Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Lamb Roast,70,8,2320.51,15,491.18,79
2,,Mulled Wine,41,5,682.43,5,84.31,88
3,,Guinness Draught - Pint,26,3,504.87,3,123.87,75
4,,Villa Fresco Sangiovese - Regular,20,2,264.4,2,48.37,82
5,,Geppetto Pinot Noir - Regular,20,2,333.75,2,66.75,80
6,,Chicken Roast,20,2,668.71,4,91.77,86
7,,Classic Margarita,18,2,397.36,3,69.45,83
8,,Fresh is Best Lager - Schooner,17,2,158.8,1,31.01,80
9,,Pepsi Max Glass,17,2,87.45,1,0,100
10,,Cauliflower Cheese,15,2,109.34,1,1.02,99
11,,Kirin - Pint,13,1,266.56,2,65.92,75
12,,Stone & Wood - Pint,12,1,223.14,1,52.66,76
13,,Nut Roast,11,1,363.92,2,58.7,84
14,,Brownie,11,1,146.88,1,31.05,79
15,,Grifter Pale - Schooner,11,1,139.97,1,27.44,80
16,,Stone & Wood - Schooner,11,1,157.3,1,35.99,77
17,,American Standard Burger,11,1,331.33,2,64.28,81
18,,Grifter Pale - Pint,11,1,181.5,1,36.8,80
19,,Mother's Milk Shiraz - Regular,10,1,167.71,1,32.16,81
20,,Petits Detours Rosé - Regular,10,1,175.98,1,35,80
21,,Side Aioli,9,1,5.07,0,0,100
22,,Extra Gravy,9,1,17.95,0,3.03,83
23,,Kids Nuggets & Chips,9,1,119.51,1,20.21,83
24,,Send Kids Food ASAP,9,1,0,0,0,0
25,,Kuku Sauvignon Blanc - Regular,9,1,141.12,1,25.66,82
26,,Lemonade Glass,9,1,42.9,0,0,100
27,,"Lemon, Lime & Bitters",9,1,50.22,0,0,100
28,,Fresh is Best Lager - Pint,9,1,123.28,1,22.02,82
29,,Buffalo Wings,8,1,155.89,1,31.22,80
30,,Extra Yorkshire Pudding,8,1,17.88,0,0,100
31,,Rosemary Salted Fries,8,1,116.77,1,14.84,87
32,,Version Two Pinot Grigio - Regular,7,1,93.26,1,11.94,87
33,,Heaps Normal Tin,7,1,85.11,1,18.69,78
34,,Jalapeño Marg,7,1,181.24,1,5.15,97
35,,Fish Tacos,7,1,139.87,1,15.29,89
36,,Ottelia Chardonnay - Regular,7,1,124.93,1,24.21,81
37,,On The Rocks,6,1,0,0,0,0
38,,Amalfi Olives,6,1,78.41,1,0,100
39,,Sensei Calamari,6,1,132.2,1,13.83,90
40,,BBQ Wings,6,1,112.78,1,18.85,83
41,,Philter XPA - Pint,6,1,100.62,1,18.54,82
42,,Bang Bang Cauli,6,1,115.27,1,16.57,86
43,,Sweet Potato Fries,6,1,87.68,1,15.17,83
44,,Lychee Martini,6,1,136.32,1,21.74,84
45,,Kirin - Schooner,5.7,1,89.8,1,21.55,76
46,,Arancini Balls [5pc],5,1,139.66,1,0,100
47,,Side BBQ Sauce,5,1,0,0,0,0
48,,Padrillos Malbec - Regular,5,1,99,1,22.39,77
49,,San Pellegrino 500ml,5,1,49.83,0,11.6,77
50,,Fancy Pants Parmy - Classic,5,1,143.5,1,40.53,72
51,,Side Chipotle Mayo,5,1,5.7,0,0,100
52,,Beef Cheek,4,0,178.47,1,0,100
53,,Pepsi Glass,4,0,20.28,0,0,100
54,,White Light Pure Vodka [House],4,0,48.4,0,6.08,87
55,,Side Blue Cheese Dip,4,0,4.48,0,0,100
56,,Tommy's Margarita,4,0,101.2,1,19.04,81
57,,Negroni,4,0,97.59,1,15.46,84
58,,Espresso Martini,4,0,90.88,1,12.94,86
59,,Ottelia Cab Sav - Regular,4,0,75.42,1,18.43,76
60,,Side Tomato Sauce,4,0,0,0,0,0
61,,Apple Juice Glass,4,0,22.36,0,2.64,88
62,,BBQ Wings [Wings Deal],4,0,0,0,0,0
63,,Stow Schnitty,4,0,121.27,1,21.3,82
64,,Garlic Bread [Deal],3,0,0,0,3.96,0
65,,Fresh Lime Soda,3,0,11.68,0,0,100
66,,Coconut Margarita,3,0,78.43,1,11.8,85
67,,Flower Child,3,0,74.19,0,8.72,88
68,,Large Hawaiian,3,0,66,0,9.79,85
69,,Baked Camembert,3,0,83.07,1,0,100
70,,Seadrift Coast Non-alc G&T,3,0,41.94,0,7.23,83
71,,Kids Icecream,3,0,17.04,0,2.22,87
72,,Sigurd GSM Red Blend - Regular,3,0,67.44,0,13.86,79
73,,Large Margherita,3,0,67.72,0,6.89,90
74,,Little Dragon Can,3,0,41.7,0,10.46,75
75,,Aperol Spritz,3,0,68.16,0,10.51,85
76,,Jug of Water,3,0,0,0,0,0
77,,Casa Gheller Prosecco - Glass,3,0,52.8,0,10.04,81
78,,Young Henrys Cloudy Cider Can,3,0,40.9,0,8.42,79
79,,Scorched As,3,0,73.39,0,12.36,83
80,,Large Pepperoni,2,0,44.72,0,9.13,80
81,,Regular Tandoori Chicken,2,0,47.1,0,4.73,90
82,,Stow Soda - Passionfruit,2,0,20.46,0,0,100
83,,Lepinja Bread,2,0,22.73,0,0,100
84,,Add Bacon,2,0,8.8,0,0,100
85,,Garlic Bread,2,0,11.18,0,2.84,75
86,,Geppetto Pinot Noir - Large Glass,2,0,52.8,0,11.13,79
87,,Extra Veg,2,0,6.82,0,0,100
88,,2 Glasses,2,0,0,0,0,0
89,,Onion Rings,2,0,27.26,0,0,100
90,,Cauliflower Tacos,2,0,45.47,0,0,100
91,,Farmhouse Salad,2,0,56.57,0,0,100
92,,Large Bubba Gump,2,0,59.5,0,11.6,81
93,,Large Super House Special,2,0,61.9,0,14.76,76
94,,Stow's Irish Coffee,2,0,34.08,0,1.83,95
95,,Cadillac Margarita,2,0,86.34,1,23.11,73
96,,Status Quo - Pint,2,0,39.13,0,8.23,79
97,,Regular Pepperoni,2,0,44,0,4.26,90
98,,Monteith's Apple Cider Bottle,2,0,23.1,0,5.87,75
99,,Old Fashioned,2,0,49.19,0,9.51,81
100,,Regular New Yorker [Dine-in],2,0,53.67,0,7.17,87
101,,Add Fetta,2,0,6.71,0,0,100
102,,La Petite Mort Albarino 2025 - Regular,2,0,38.5,0,9.16,76
103,,Add Mushrooms,2,0,3.35,0,0,100
104,,Eggplant Parmy,2,0,65.93,0,0,100
