Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Classic Margarita,25,5,355.05,5,92.39,74
2,,Fresh is Best Lager - Pint,24,5,278.83,4,56.24,80
3,,Aioli Dipping Sauce,16,3,1.02,0,0,100
4,,Stone & Wood - Pint,15,3,231.54,4,60.51,74
5,,Fresh is Best Lager - Schooner,10,2,84.25,1,17.47,79
6,,On The Rocks,8,2,0,0,0,0
7,,Grifter Pale - Pint,8,2,101.12,2,26.64,74
8,,Stone & Wood - Schooner,8,2,100.41,2,24.06,76
9,,Large Super House Special,7,1,191.77,3,53.86,72
10,,Sweet Potato Fries,7,1,93.13,1,0,100
11,,Buffalo Wings,7,1,113.57,2,0,100
12,,Fresh is Best Summer Lager - Schooner,7,1,60.35,1,10.58,82
13,,Lime,6,1,0,0,0,0
14,,Beef Burrito,6,1,144.61,2,0,100
15,,Lychee Martini,6,1,84.91,1,21.95,74
16,,Stow Schnitty,6,1,104.85,2,0,100
17,,Tomato Dipping Sauce,6,1,0.52,0,0,100
18,,Dark & Stormy,6,1,85.84,1,22.35,74
19,,White Light Pure Vodka [House],5,1,50.6,1,7.52,85
20,,Delivery Fee [Me&U],5,1,20.63,0,0,100
21,,Soda [mixer],5,1,0,0,0,0
22,,Regular Uber Margherita [Dine-in],5,1,118.02,2,11.99,90
23,,Lemonade Glass,5,1,22.79,0,0,100
24,,Chicken Burrito,5,1,118.51,2,0,100
25,,Bang Bang Cauli,5,1,81.59,1,0,100
26,,Scorched As,5,1,76.26,1,16.29,79
27,,Belvedere Vodka,5,1,72.32,1,12.83,82
28,,Garlic Bread,5,1,26.15,0,7.1,73
29,,Negroni,5,1,71.83,1,19.25,73
30,,Fancy Pants Parmy,5,1,148.84,2,2.75,98
31,,Status Quo - Pint,4,1,70.57,1,16.07,77
32,,Rocket Man,4,1,72.59,1,0,100
33,,Coke Zero Can,4,1,12.8,0,6.83,47
34,,Jalapeño Marg,4,1,65.06,1,14.81,77
35,,Fresh is Best Summer Lager - Pint,4,1,45,1,8.11,82
36,,American Standard Burger,4,1,107.4,2,0.27,100
37,,Add Chilli,4,1,2.02,0,0,100
38,,Kuku Sauvignon Blanc - Regular,4,1,52.42,1,11.66,78
39,,Pepsi Max Glass,4,1,17.7,0,0,100
40,,Version Two Pinot Grigio - Regular,4,1,36.39,1,6.88,81
41,,Sensei Calamari,4,1,73.77,1,0,100
42,,"Lemon, Lime & Bitters",3,1,15.17,0,0,100
43,,Regular Sorrento,3,1,69.72,1,12.55,82
44,,No Mushroom,3,1,0,0,0,0
45,,Bombay Dry [House],3,1,33.36,1,6.26,81
46,,Petits Detours Rosé - Large,3,1,75,1,17.67,76
47,,BBQ Dipping Sauce,3,1,1.04,0,0,100
48,,Add Jalapenos,3,1,3,0,0,100
49,,Kirin - Pint,3,1,49.5,1,12.11,76
50,,Regular El Patron [Dine-in],3,1,77.51,1,9.94,87
51,,Large Hawaiian,3,1,65,1,11.04,83
52,,Add Pineapple,3,1,3.06,0,0,100
53,,Large Sanchez,3,1,87,1,13.97,84
54,,Extra Blue Cheese Dip,3,1,3.06,0,0,100
55,,Chicken Shindig Burger,3,1,78,1,0,100
56,,BBQ Wings D,3,1,49.56,1,0,100
57,,Truffle Fries,3,1,45.99,1,0,100
58,,Staff Dinner $5,3,1,15,0,0,100
59,,Large Meatlovers,3,1,79,1,22.69,71
60,,Regular New Yorker [Dine-in],3,1,69.76,1,8.28,88
61,,Fish Tacos,3,1,61.96,1,0,100
62,,Large Pepperoni,3,1,64,1,11.24,82
63,,Send Kids Food ASAP,3,1,0,0,0,0
64,,Petits Detours Rosé - Regular,3,1,48.53,1,10.6,78
65,,Regular Truffalo Soldier [Dine-in],3,1,73.56,1,7.78,89
66,,Heaps Normal Tin,2,0,21.34,0,5.09,76
67,,BBQ Wings,2,0,30.49,0,0,100
68,,Add Olives,2,0,2,0,0,100
69,,Tuk Tuk Salad,2,0,45.44,1,0,100
70,,BBQ  Wings [Deal],2,0,0,0,0,0
71,,Beetle Juice,2,0,32.52,0,7.31,78
72,,Large New Yorker,2,0,54.9,1,8.36,85
73,,Regular Garlic Cheese Pizza,2,0,18,0,2.58,86
74,,Hawaiian.,2,0,0,0,0,0
75,,Stow Soda - Grapefruit,2,0,18.6,0,0,100
76,,Rosemary Salted Fries,2,0,24.4,0,0,100
77,,Delivery Fee - Freshwater / Queenscliff,2,0,8,0,0,100
78,,❄️Frozen❄️,2,0,0,0,0,0
79,,Large Margherita,2,0,43,1,4.07,91
80,,Large Little Italy,2,0,58,1,15.5,73
81,,Philter XPA - Schooner,2,0,22,0,4.75,78
82,,Large Sorrento,2,0,56.9,1,12.68,78
83,,Garlic  Bread.,2,0,0,0,0,0
84,,Version Two Pinot Grigio - Large,2,0,38.62,1,5.74,85
85,,Add Parmesan,2,0,2.03,0,0,100
86,,Make It A Burrito Bowl [gluten-free],2,0,0,0,0,0
87,,Holy Guacamole,2,0,32,0,0,100
88,,Regular Hail Africa [Dine-in],2,0,53.72,1,7.14,87
89,,Regular Super House Special,2,0,46,1,10.16,78
90,,Buffalo Wings D,2,0,33.06,1,0,100
91,,Espresso Martini,2,0,28.46,0,6.25,78
92,,No Pineapple,2,0,0,0,0,0
93,,Kids Spag Bol,2,0,26.44,0,0,100
94,,Regular Little Italy [Dine-in],2,0,50.82,1,10.23,80
95,,Add Grilled Chicken,2,0,10.16,0,0,100
96,,Large BBQ Chicken Pizza,2,0,58,1,7.69,87
97,,Regular Sanchez [Dine-in],2,0,50.82,1,6.15,88
98,,Grifter Pale - Schooner,2,0,22,0,4.96,77
99,,Regular Pepperoni,2,0,27.6,0,4.95,82
100,,Sorrento.,2,0,0,0,0,0
101,,Virgin Margy,1,0,13,0,0,100
102,,Regular Sanchez VEGAN,1,0,23.72,0,2.23,91
103,,Large Bubba Gump,1,0,29,0,4.98,83
104,,Carnaval Gypsy,1,0,16,0,3.54,78
105,,Year Wines 'Zagara' Orange - Large,1,0,25.82,0,6.44,75
106,,Add Sun-dried Tomatoes,1,0,1.03,0,0,100
107,,Two Bays Pale Ale Can,1,0,14,0,5.01,64
108,,Whispering Angel Rosé - Large,1,0,39,1,11.46,71
109,,Gluten-free Base,1,0,5.17,0,4.1,21
110,,Brownie D,1,0,10,0,0,100
111,,Regular Jimmy Jury,1,0,23,0,3.53,85
112,,Add Mushrooms,1,0,1,0,0,100
113,,Villa Fresco Sangiovese - Regular,1,0,7.23,0,2.41,67
114,,Trentham Estate Rosé D,1,0,25,0,10.55,58
115,,Brownie,1,0,12.41,0,11,11
116,,No Burger Sauce,1,0,0,0,0,0
117,,Crankshaft IPA - Schooner,1,0,13.5,0,2.63,81
118,,Swap Gravy for Tomato Sauce,1,0,0,0,0,0
119,,Boulevardier,1,0,16.8,0,3.45,79
120,,Swap for Sweet Potato Fries,1,0,2.07,0,0,100
121,,Add Ham,1,0,1.03,0,0,100
122,,Seadrift Coast Non-alc G&T,1,0,13,0,2.65,80
123,,Pink Lemonade Glass,1,0,4.65,0,0.13,97
124,,Spaghetti Bolognese D,1,0,12.5,0,0,100
125,,Cheesy Garlic Bread,1,0,6.5,0,1.75,73
126,,Regular Hawaiian,1,0,16,0,2.43,85
127,,.1.25L Coke Zero,1,0,0,0,3.57,0
128,,Bundaberg Ginger Beer,1,0,5.16,0,0.9,82
129,,Philter XPA - Pint,1,0,14.5,0,3.19,78
130,,No Char-grilled Capsicum,1,0,0,0,0,0
131,,Harrys Staff Dinner $5,1,0,5,0,0,100
132,,Coconut Margarita,1,0,16,0,4.03,75
133,,Under the Bridge Pizza,1,0,24.78,0,4.06,84
134,,Swap Gravy for Aioli,1,0,0,0,0,0
135,,No Tomato,1,0,0,0,0,0
136,,No Onion,1,0,0,0,0,0
137,,2 Glasses,1,0,0,0,0,0
138,,No Dipping Sauce,1,0,0,0,0,0
139,,Ottelia Chardonnay - Bottle,1,0,17.7,0,17.29,2
140,,Add Pepperoni,1,0,2,0,0,100
141,,Large Jimmy Jury Wings Deal,1,0,30,0,5.35,82
142,,Gluten-free Jimmy Jury,1,0,28,0,8.92,68
143,,Geppetto Pinot Noir - Large Glass,1,0,24.78,0,5.85,76
144,,No Capsicum,1,0,0,0,0,0
145,,Choc Brownie.,1,0,0,0,0,0
146,,Delivery Fee - Curl Curl / Manly / Dee Why,1,0,5.5,0,0,100
147,,Trentham Estate Rosé - Regular,1,0,7,0,2.11,70
148,,.Garlic Bread,1,0,0,0,1.42,0
149,,Tonic [mixer],1,0,0,0,0,0
150,,Eggplant Schnitty D,1,0,22.69,0,0,100
151,,Fizz 'N' Chips,1,0,26,0,0,100
152,,Kids Hawaiian Pizza,1,0,13.44,0,0,100
153,,Sailor Jerry [House],1,0,11,0,1.89,83
154,,Jalapeños Inside Burrito,1,0,0,0,0,0
155,,Side Spicy Salsa,1,0,0,0,0,0
156,,Gluten-free Pepperoni,1,0,21,0,6.87,67
157,,Add Pulled Mushroom,1,0,4,0,0,100
158,,Gluten-free Tandoori Chicken,1,0,26.86,0,6.43,76
159,,No Lettuce,1,0,0,0,0,0
160,,Geppetto Pinot Noir - Regular,1,0,15,0,3.51,77
161,,Large Tandoori Chicken,1,0,25,0,2.59,90
162,,Corn Star,1,0,16,0,0,100
163,,Bad Bitch Martini,1,0,16.53,0,3.17,81
164,,Regular Meatlovers,1,0,23,0,4.99,78
165,,Large El Patron,1,0,31,0,5.02,84
166,,Large Little Italy Wings Deal,1,0,30,0,7.75,74
167,,Regular Sanchez,1,0,23,0,3.07,87
168,,Swap Fries for Sweet Potato Fries,1,0,2.07,0,0,100
169,,Sour Cream,1,0,0,0,0,0
170,,Lemon Meringue Martini,1,0,16.52,0,3.46,79
171,,No Olives,1,0,0,0,0,0
172,,Sweet Potato Fries D,1,0,14,0,0,100
173,,Kirin - Schooner,1,0,12.9,0,3.01,77
174,,Pepsi Glass,1,0,4.05,0,0,100
175,,Tommy's Margarita,1,0,16,0,4.53,72
176,,Villa Fresco Sangiovese - Bottle,1,0,50.61,1,12.06,76
177,,A. Rodda Chardonnay - Regular,1,0,26.85,0,6.17,77
178,,Little Dragon - Pint,1,0,17.5,0,4.62,74
179,,Regular Margherita,1,0,17,0,1.34,92
