Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Stone & Wood - Schooner,20,3,229.24,3,58.2,75
2,,Chicken Burrito,20,3,355.01,5,0,100
3,,Grifter Lager - Schooner,19,3,147.25,2,0,100
4,,Fish Burrito,17,3,315.18,4,0,100
5,,Grifter Lager - Pint,16,3,165.1,2,0,100
6,,Fresh is Best Lager - Pint,15,2,158.41,2,35.15,78
7,,Fresh is Best Summer Lager - Schooner,12,2,92.34,1,18.13,80
8,,Grifter Pale - Pint,12,2,154.83,2,34.24,78
9,,Aioli Dipping Sauce,12,2,1.01,0,0,100
10,,Make It A Burrito Bowl [gluten-free],12,2,0,0,0,0
11,,Grifter Pale - Schooner,11,2,108.86,1,23.41,78
12,,Grifter Daisy Hazy - Pint,11,2,156.55,2,0,100
13,,Fresh is Best Lager - Schooner,10,2,79,1,17.47,78
14,,Jalapeño Marg,9,1,190.81,3,33.33,83
15,,Stone & Wood - Pint,9,1,135.5,2,35.13,74
16,,Classic Margarita,9,1,164.37,2,33.26,80
17,,Beef Burrito,8,1,130.52,2,0,100
18,,Buffalo Wings,7,1,113.08,1,0,100
19,,Corona,7,1,68.61,1,17.41,75
20,,Garlic Bread,7,1,35.08,0,0,100
21,,Serpents Kiss - Schooner,7,1,91.88,1,19.4,79
22,,Grifter Citra Paradisi IPA - Schooner,7,1,88.84,1,0,100
23,,Petits Detours Rosé - Regular,6,1,94.94,1,25.2,73
24,,Mother's Milk Shiraz - Regular,6,1,90.26,1,19.3,79
25,,Holy Guacamole,6,1,97.1,1,0,100
26,,Fresh Lime Soda,6,1,18,0,0,100
27,,Cauliflower Burrito,6,1,109.86,1,0,100
28,,Rooster Rojo Blanco Tequila [House],6,1,52,1,13.01,75
29,,Fish Tacos,6,1,121.69,2,0,100
30,,Fancy Pants Parmy,5,1,145.49,2,2.75,98
31,,White Light Pure Vodka [House],5,1,42,1,7.52,82
32,,Grifter Citra Paradisi IPA - Pint,5,1,82.5,1,0,100
33,,Tuk Tuk Salad,5,1,111.52,1,0,100
34,,Coke Can,5,1,16,0,7.02,56
