Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Fancy Pants Parmy,32,7,581.54,11,0,100
2,,Stow Schnitty,14,3,226.45,4,0,100
3,,Grifter Pale - Schooner,12,3,108.47,2,29.33,73
4,,Stone & Wood - Pint,11,2,165,3,43.21,74
5,,Classic Margarita,11,2,147.66,3,40.3,73
6,,Garlic Bread,9,2,45.46,1,0,100
7,,Fresh is Best Summer Lager - Schooner,8,2,66.45,1,12.44,81
8,,On The Rocks,8,2,0,0,0,0
9,,Trentham Estate Rosé - Regular,7,2,84,2,14.78,82
10,,Aioli Dipping Sauce,7,2,0.51,0,0,100
11,,Fresh is Best Lager - Pint,7,2,84.6,2,16.5,80
12,,Grifter Pale - Pint,7,2,86,2,23,73
13,,Stone & Wood - Schooner,6,1,69.2,1,17.5,75
14,,Tomato Dipping Sauce,6,1,2.55,0,0,100
15,,Status Quo - Pint,6,1,96,2,21.91,77
16,,Bang Bang Cauli,5,1,81.1,2,0,100
17,,Sigurd White Blend - Regular,5,1,81.35,2,16.28,80
18,,Large Pepperoni,5,1,110.94,2,0,100
19,,Swap Fries for Sweet Potato Fries,4,1,8.09,0,0,100
20,,Staff Dinner $5,4,1,20,0,0,100
21,,Large Meatlovers,4,1,89.74,2,0,100
22,,Villa Fresco Sangiovese - Regular,4,1,45.6,1,9.65,79
23,,Lime,4,1,0,0,0,0
24,,Cheesy Garlic Bread,4,1,24.23,0,0,100
25,,Delivery Fee - Freshwater / Queenscliff,4,1,16,0,0,100
26,,Bombay Dry [House],4,1,32.2,1,7.24,78
27,,White Light Pure Vodka [House],4,1,38.17,1,6.02,84
28,,Regular Sanchez [Dine-in],4,1,92.39,2,0,100
29,,Fresh is Best Lager - Schooner,4,1,33.15,1,7.03,79
30,,Regular Pepperoni,4,1,60.47,1,0,100
31,,Philter XPA - Schooner,4,1,35,1,8.79,75
32,,Version Two Pinot Grigio - Regular,4,1,36.8,1,6.68,82
33,,Regular Super House Special,4,1,70.29,1,0,100
