Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Sapporo - 500ml,16,$224.70,$20.45,$60.79,6%,6%,73%
Devon's Prawn Toast,14,$222.40,$20.15,$54.43,5%,6%,76%
Mie Goreng,12,$255.70,$23.23,$38.19,4%,7%,85%
Dumplings - Prawn Har Gow [GF],12,$225.00,$20.49,$52.96,4%,6%,76%
Pepsi Max Glass,11,$49.50,$4.51,$14.41,4%,1%,71%
Edamame,9,$99.00,$9.00,$0.00,3%,3%,0%
Shredded Beef,9,$234.00,$21.24,$0.00,3%,6%,0%
Dumplings - Beef & Cabbage,8,$110.60,$10.03,$11.79,3%,3%,89%
Angas & Bremer Grenache - Regular,8,$53.20,$4.85,$14.03,3%,1%,74%
Chicken Karaage,8,$134.30,$12.24,$0.00,3%,3%,0%
Chicken,7,$22.50,$2.04,$0.00,3%,1%,0%
Lemon Chu-hi,7,$84.00,$7.63,$10.63,3%,2%,87%
Tonkotsu,6,$171.10,$15.58,$24.98,2%,4%,85%
BBQ Pork Buns,6,$90.00,$8.16,$21.00,2%,2%,77%
Duck Spring Roll,6,$96.00,$8.70,$21.43,2%,2%,78%
Popcorn Cauliflower,5,$71.50,$6.48,$4.89,2%,2%,93%
Salmon Sashimi Special,5,$107.80,$9.80,$0.00,2%,3%,0%
Classic Margarita,5,$93.10,$8.48,$16.63,2%,2%,82%
Fried Egg,5,$15.00,$1.36,$0.00,2%,0%,0%
Dumplings - Veg Gyoza,5,$70.00,$6.35,$9.81,2%,2%,86%
Padrillos Malbec - Regular,4,$72.00,$6.56,$14.26,1%,2%,80%
Harry's Lager - Pint,4,$45.25,$4.12,$8.96,1%,1%,80%
Bombay Dry Gin [House],4,$33.80,$3.08,$8.79,1%,1%,74%
Chocolate Brownie [HG],3,$32.40,$2.94,$0.00,1%,1%,0%
Grifter Pale - Pint [HG],3,$40.50,$3.66,$0.00,1%,1%,0%
Dragon Juice,3,$51.00,$4.65,$7.78,1%,1%,85%
Fried Rice,3,$66.70,$6.06,$8.04,1%,2%,88%
Lemonade Glass,3,$12.60,$1.15,$0.00,1%,0%,0%
Extra Piece Prawn Toast,3,$15.00,$1.35,$0.00,1%,0%,0%
Octopus Karaage,3,$54.00,$4.92,$0.00,1%,1%,0%
River Retreat Pinot Grigio - Regular,3,$36.00,$3.27,$6.03,1%,1%,83%
Miso,3,$87.00,$7.92,$0.00,1%,2%,0%
Mulled Wine [HG],3,$40.50,$3.66,$0.00,1%,1%,0%
L'esprit Rosé - Large,3,$64.80,$5.90,$18.00,1%,2%,72%
Lime,3,$0.00,$0.00,$0.00,1%,0%,0%
Chicken Katsu Curry,3,$81.00,$7.35,$8.57,1%,2%,89%
1/2 Marinated Egg,2,$4.00,$0.36,$0.00,1%,0%,0%
Rice Pudding,2,$19.00,$1.72,$0.00,1%,0%,0%
BBQ Meat Platter,2,$72.00,$6.56,$0.00,1%,2%,0%
Mochi Trio,2,$26.00,$2.36,$0.00,1%,1%,0%
Dragon Soda,2,$18.00,$1.64,$0.00,1%,0%,0%
Jasmine Rice,2,$10.00,$0.90,$0.00,1%,0%,0%
Extra Pork.,2,$9.50,$0.85,$0.00,1%,0%,0%
Tonic,2,$0.00,$0.00,$1.61,1%,0%,
Negroni,2,$40.00,$3.64,$9.59,1%,1%,76%
Chilli Bomb,2,$4.00,$0.36,$0.00,1%,0%,0%
Margato,2,$38.00,$3.46,$7.81,1%,1%,79%
Demon Slayer,2,$42.00,$3.82,$8.17,1%,1%,81%
Shoyu,2,$58.00,$5.28,$0.00,1%,2%,0%
Lychee Martini,2,$33.00,$3.00,$6.28,1%,1%,81%
L'esprit Rosé - Regular,2,$32.00,$2.90,$7.20,1%,1%,78%
Matcha Sando,2,$28.00,$2.54,$0.00,1%,1%,0%
Kids Miso,2,$18.20,$1.65,$0.00,1%,0%,0%
2 Glasses,1,$0.00,$0.00,$0.00,0%,0%,0%
Geppetto Chardonnay - Regular,1,$15.00,$1.36,$3.63,0%,0%,76%
Glass of Ice on the Side,1,$0.00,$0.00,$0.00,0%,0%,0%
Orange,1,$0.00,$0.00,$0.00,0%,0%,0%
Espresso Martini,1,$14.00,$1.27,$2.93,0%,0%,79%
Carafe Sparkling Water,1,$5.00,$0.45,$0.00,0%,0%,0%
Guinness Draught - Pint [HG],1,$15.75,$1.43,$0.00,0%,0%,0%
Extra Piece,1,$4.00,$0.36,$0.00,0%,0%,0%
Soda,1,$0.00,$0.00,$0.00,0%,0%,0%
Palloncino Prosecco - Regular,1,$7.00,$0.64,$2.30,0%,0%,67%
BBQ Veg Platter,1,$27.00,$2.46,$0.00,0%,1%,0%
Azurescens Pinot Noir - Regular,1,$15.00,$1.36,$2.80,0%,0%,81%
Jinro Chamisul - 60ml,1,$9.00,$0.82,$2.09,0%,0%,77%
Kids Mie Goreng,1,$13.00,$1.18,$0.00,0%,0%,0%
