Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Kuku Sauvignon Blanc - Regular,10,$140.92,$12.79,$29.15,3%,3%,79%
Version Two Pinot Grigio - Regular,10,$82.10,$7.49,$17.67,3%,2%,78%
Guinness Draught - Pint,9,$148.75,$13.53,$42.37,3%,3%,72%
Fresh is Best Lager - Schooner,8,$76.31,$6.91,$14.62,3%,2%,81%
Garlic Bread,8,$23.00,$2.08,$11.36,3%,1%,51%
Grifter Pale - Pint,8,$120.00,$10.88,$26.64,3%,3%,78%
Eggplant Parmy,6,$148.72,$13.51,$0.00,2%,3%,0%
Side Aioli,5,$2.06,$0.23,$0.00,2%,0%,0%
Mulled Wine,5,$74.48,$6.74,$10.19,2%,2%,86%
Fancy Pants Parmy - Classic,5,$121.57,$11.03,$40.53,2%,3%,67%
Stow Schnitty,5,$93.78,$8.53,$26.63,2%,2%,72%
A. Rodda Chardonnay - Regular,5,$133.44,$12.15,$37.70,2%,3%,72%
Villa Fresco Sangiovese - Regular,4,$40.41,$3.68,$9.65,1%,1%,76%
Flower Child,4,$88.00,$8.00,$11.45,1%,2%,87%
Fresh is Best Lager - Pint,4,$50.41,$4.60,$9.80,1%,1%,81%
Grey Goose,4,$57.38,$5.21,$10.72,1%,1%,81%
Classic Margarita,4,$81.31,$7.40,$16.30,1%,2%,80%
Fish Burrito,4,$116.55,$10.61,$22.69,1%,3%,81%
Fresh is Best Summer Lager - Schooner,4,$34.84,$3.15,$6.35,1%,1%,82%
"Lemon, Lime & Bitters",3,$15.49,$1.39,$0.00,1%,0%,0%
Corona,3,$31.84,$2.88,$7.73,1%,1%,76%
Stone & Wood - Pint,3,$51.00,$4.65,$13.07,1%,1%,74%
Kirin - Pint,3,$55.50,$5.04,$15.10,1%,1%,73%
Bang Bang Cauli,3,$51.55,$4.70,$8.28,1%,1%,84%
Large Hawaiian,3,$76.00,$6.92,$9.79,1%,2%,87%
Lime,3,$0.00,$0.00,$0.00,1%,0%,0%
American Standard Burger,3,$83.35,$7.60,$17.53,1%,2%,79%
Casa Gheller Prosecco - Glass,3,$48.00,$4.35,$10.04,1%,1%,79%
Regular Little Italy [Dine-in],3,$63.27,$5.75,$14.41,1%,1%,77%
Aperol Spritz,3,$55.78,$5.07,$10.66,1%,1%,81%
Geppetto Pinot Noir - Regular,3,$45.49,$4.12,$10.54,1%,1%,77%
Beef Burrito,3,$69.36,$6.31,$20.31,1%,2%,71%
No Onion,3,$0.00,$0.00,$0.00,1%,0%,0%
Island Time,3,$72.00,$6.54,$12.40,1%,2%,83%
Rosemary Salted Fries,3,$39.12,$3.54,$5.57,1%,1%,86%
Online Surcharge,3,$3.90,$0.00,$0.00,1%,0%,0%
Kuku Sauvignon Blanc - Large,3,$70.51,$6.40,$14.57,1%,2%,79%
Make it Vegan [use vegan cheese],2,$0.00,$0.00,$0.00,1%,0%,0%
Amalfi Olives,2,$23.38,$2.14,$0.00,1%,1%,0%
Cranberry Juice [mixer],2,$0.00,$0.00,$1.38,1%,0%,
Fish Tacos D,2,$40.00,$3.64,$4.37,1%,1%,89%
Large Meatlovers,2,$59.00,$5.37,$13.91,1%,1%,76%
Cheesy Garlic Bread,2,$12.00,$1.10,$3.55,1%,0%,70%
Regular Little Italy,2,$0.00,$0.00,$9.61,1%,0%,
Large BBQ Chicken Pizza,2,$61.00,$5.54,$8.34,1%,1%,86%
Swap Fries for Sweet Potato Fries,2,$4.14,$0.38,$0.00,1%,0%,0%
Fries D,2,$25.00,$2.27,$0.00,1%,1%,0%
Large Little Italy,2,$27.00,$2.45,$17.68,1%,1%,35%
Sweet Potato Fries D,2,$14.00,$1.27,$5.06,1%,0%,64%
Hawaiian.,2,$0.00,$0.00,$0.00,1%,0%,0%
Heaps Normal Tin,2,$22.00,$2.00,$5.34,1%,1%,76%
Sweet Potato Fries,2,$26.00,$2.36,$5.06,1%,1%,81%
Pepsi [mixer],2,$0.00,$0.00,$1.61,1%,0%,
Side BBQ Sauce,2,$0.00,$0.00,$0.00,1%,0%,0%
Side Tomato Sauce,2,$0.00,$0.00,$0.00,1%,0%,0%
Lemon,2,$0.00,$0.00,$0.00,1%,0%,0%
Large Pepperoni,2,$40.00,$3.64,$9.13,1%,1%,77%
Status Quo - Schooner,2,$27.00,$2.46,$6.21,1%,1%,77%
Sensei Calamari,2,$37.69,$3.42,$4.61,1%,1%,88%
Arancini Balls [5pc],2,$44.52,$4.05,$0.00,1%,1%,0%
Regular Uber Margherita [Dine-in],2,$47.50,$4.31,$6.39,1%,1%,87%
Jack Daniels,2,$24.79,$2.25,$4.52,1%,1%,82%
Philter XPA - Pint,2,$24.00,$2.18,$6.00,1%,1%,75%
Duck Spring Rolls,1,$16.00,$1.45,$0.00,0%,0%,0%
Beef Cheek,1,$39.90,$3.63,$0.00,0%,1%,0%
Buffalo Wings,1,$18.07,$1.64,$3.90,0%,0%,78%
Side Gravy,1,$1.55,$0.15,$0.34,0%,0%,78%
Buffalo Wings D,1,$16.00,$1.45,$3.90,0%,0%,76%
Add Side Guac,1,$1.00,$0.09,$0.00,0%,0%,0%
Regular Truffalo Soldier [Dine-in],1,$26.85,$2.44,$3.27,0%,1%,88%
Little Dragon Can,1,$12.50,$1.14,$3.54,0%,0%,72%
2 Glasses,1,$0.00,$0.00,$0.00,0%,0%,0%
Brownie D,1,$13.00,$1.18,$1.95,0%,0%,85%
Garlic  Bread,1,$0.00,$0.00,$1.42,0%,0%,
Pink Lemonade [mixer],1,$0.00,$0.00,$0.10,0%,0%,
Philter Pale - Schooner,1,$10.50,$0.95,$0.00,0%,0%,0%
Ottelia Chardonnay - Regular,1,$16.00,$1.45,$3.46,0%,0%,78%
Philter XPA - Schooner,1,$6.00,$0.55,$2.24,0%,0%,63%
Regular New Yorker [Dine-in],1,$24.78,$2.25,$3.59,0%,1%,86%
Mother's Milk Shiraz - Regular,1,$15.00,$1.36,$3.22,0%,0%,79%
Regular Tandoori Chicken,1,$19.50,$1.77,$2.30,0%,0%,88%
Hendrick's Gin,1,$14.00,$1.27,$2.69,0%,0%,81%
Geppetto Pinot Noir - Large Glass,1,$24.79,$2.26,$5.85,0%,1%,76%
Espresso Martini,1,$7.34,$0.67,$3.24,0%,0%,56%
Farmhouse Salad D,1,$21.00,$1.91,$0.00,0%,0%,0%
Gluten-free Vegetarian,1,$27.00,$2.45,$7.38,0%,1%,73%
Regular Bubba Gump,1,$20.00,$1.82,$3.96,0%,0%,80%
Rocket Man,1,$18.00,$1.64,$3.20,0%,0%,82%
Pepsi Max Glass,1,$4.65,$0.43,$0.00,0%,0%,0%
Roasted Tomato Coulis,1,$3.10,$0.28,$0.00,0%,0%,0%
Large Super House Special,1,$30.00,$2.73,$7.72,0%,1%,74%
Version Two Sparkling - Bottle,1,$49.00,$4.45,$8.83,0%,1%,82%
Easy Sauce,1,$0.00,$0.00,$0.00,0%,0%,0%
Regular New Yorker,1,$19.50,$1.77,$3.59,0%,0%,82%
Gluten-free Sanchez [Dine-in],1,$31.00,$2.82,$8.37,0%,1%,73%
Regular BBQ Chicken Pizza,1,$24.50,$2.23,$2.99,0%,1%,88%
Add Side Spicy Salsa,1,$1.00,$0.09,$0.00,0%,0%,0%
Arancini Balls 5pcs D,1,$17.50,$1.59,$0.00,0%,0%,0%
GF Flatbread,1,$4.00,$0.36,$0.00,0%,0%,0%
White Light Pure Vodka [House],1,$11.00,$1.00,$1.52,0%,0%,86%
Add Fetta,1,$3.10,$0.28,$0.00,0%,0%,0%
Fancy Pants Parmy - Mexicali,1,$30.97,$2.80,$0.00,0%,1%,0%
Kuku Sauvignon Blanc - Bottle,1,$58.00,$5.27,$14.57,0%,1%,75%
Ottelia Cab Sav - Regular,1,$17.00,$1.55,$4.61,0%,0%,73%
Coconut Margarita,1,$23.00,$2.09,$4.15,0%,1%,82%
Version Two Pinot Grigio - Bottle,1,$49.00,$4.45,$8.83,0%,1%,82%
Large Sanchez,1,$31.00,$2.82,$5.49,0%,1%,82%
Gluten-free Jimmy Jury,1,$24.00,$2.18,$8.87,0%,1%,63%
No Caramelised Onion,1,$0.00,$0.00,$0.00,0%,0%,0%
Sigurd GSM Red Blend - Large,1,$29.00,$2.64,$7.70,0%,1%,73%
Coke Can,1,$4.00,$0.36,$1.89,0%,0%,53%
Large Jimmy Jury,1,$27.00,$2.45,$6.19,0%,1%,77%
Large Tandoori Chicken,1,$25.00,$2.27,$3.21,0%,1%,87%
One Ice Cube,1,$0.00,$0.00,$0.00,0%,0%,0%
Make It A Burrito Bowl [gluten-free],1,$0.00,$0.00,$0.00,0%,0%,0%
Chicken Burrito,1,$28.90,$2.63,$6.80,0%,1%,76%
