Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Sapporo - 500ml,16,$256.50,$23.32,$59.36,5%,5%,77%
Mie Goreng,16,$372.00,$33.80,$50.92,5%,8%,86%
Dumplings - Prawn Har Gow [GF],16,$300.00,$27.31,$70.62,5%,6%,76%
Shredded Beef,15,$387.40,$35.17,$0.00,5%,8%,0%
BBQ Pork Buns,14,$210.00,$19.05,$49.00,5%,4%,77%
Dumplings - Beef & Cabbage,13,$182.00,$16.51,$19.16,4%,4%,89%
Pepsi Max Glass,12,$53.55,$4.88,$15.72,4%,1%,71%
Tonkotsu,11,$319.00,$29.04,$45.80,4%,7%,86%
Chicken Karaage,11,$187.00,$17.05,$0.00,4%,4%,0%
Devon's Prawn Toast,10,$158.40,$14.35,$38.88,3%,3%,75%
1/2 Marinated Egg,10,$20.00,$1.80,$0.00,3%,0%,0%
Popcorn Cauliflower,9,$134.00,$12.14,$8.81,3%,3%,93%
Chicken,8,$30.50,$2.76,$0.00,3%,1%,0%
Miso,8,$232.00,$21.11,$0.00,3%,5%,0%
Fried Rice,7,$159.70,$14.51,$18.76,2%,3%,88%
Classic Margarita,7,$108.00,$9.81,$22.89,2%,2%,79%
BBQ Meat Platter,6,$240.00,$21.84,$0.00,2%,5%,0%
Duck Spring Roll,6,$94.40,$8.55,$21.43,2%,2%,77%
Harry's Lager - Pint,6,$65.50,$5.99,$12.65,2%,1%,81%
Dumplings - Veg Gyoza,6,$84.00,$7.63,$11.77,2%,2%,86%
Chicken Katsu Curry,5,$135.00,$12.25,$14.29,2%,3%,89%
Chilli Bomb,5,$10.00,$0.90,$0.00,2%,0%,0%
Fried Egg,4,$15.50,$1.40,$0.00,1%,0%,0%
Sapporo - Schooner,4,$40.00,$3.65,$12.61,1%,1%,68%
Swap for Tofu [Make it Vegan],4,$0.00,$0.00,$0.00,1%,0%,0%
Jasmine Rice,4,$20.00,$1.80,$0.00,1%,0%,0%
Shoyu,4,$116.00,$10.55,$0.00,1%,2%,0%
River Retreat Pinot Grigio - Regular,4,$43.00,$3.91,$8.04,1%,1%,81%
L'esprit Rosé - Regular,3,$48.00,$4.35,$15.13,1%,1%,68%
Lime,3,$0.00,$0.00,$0.00,1%,0%,0%
Asahi Zero,3,$31.50,$2.85,$6.29,1%,1%,80%
Harry's Lager - Schooner,3,$26.00,$2.36,$4.72,1%,1%,82%
Mochi Trio,3,$40.00,$3.63,$0.00,1%,1%,0%
Zagara Orange [HG] - Regular,3,$45.00,$4.09,$8.06,1%,1%,82%
Black Garlic Oil,3,$6.00,$0.54,$0.00,1%,0%,0%
Edamame,3,$33.00,$3.00,$0.00,1%,1%,0%
Seitan Katsu Curry [vegan],2,$54.00,$4.90,$1.80,1%,1%,97%
Margato,2,$34.00,$3.09,$7.70,1%,1%,77%
Bombay Dry Gin [House],2,$22.00,$2.00,$4.40,1%,0%,80%
Tofu,2,$7.50,$0.68,$0.00,1%,0%,0%
Tonic,2,$0.00,$0.00,$1.61,1%,0%,
Virgin Margy,2,$26.00,$2.36,$0.00,1%,1%,0%
Swap for Chicken,1,$0.00,$0.00,$0.00,0%,0%,0%
Vegetarian Spring Rolls,1,$14.00,$1.27,$1.65,0%,0%,88%
Angas & Bremer Grenache - Regular,1,$12.00,$1.09,$1.75,0%,0%,85%
Drunken Koi,1,$14.00,$1.27,$2.65,0%,0%,81%
Crouching Tiger,1,$14.00,$1.27,$4.11,0%,0%,71%
Appleton Rum [House],1,$7.00,$0.64,$2.36,0%,0%,66%
Swap for Tofu,1,$0.00,$0.00,$0.00,0%,0%,0%
Demon Slayer,1,$14.00,$1.27,$3.73,0%,0%,73%
Nuggets & Chips [HG],1,$13.00,$1.18,$0.00,0%,0%,0%
Bamboo Shoots,1,$2.00,$0.18,$0.00,0%,0%,0%
3 Glasses,1,$0.00,$0.00,$0.00,0%,0%,0%
Vinada Sparkling Rosé [HG],1,$11.00,$1.00,$0.00,0%,0%,0%
Extra Pork.,1,$5.00,$0.45,$0.00,0%,0%,0%
Chicken.,1,$2.00,$0.18,$0.00,0%,0%,0%
GFO [GF Ramen Noodles],1,$3.00,$0.27,$0.00,0%,0%,0%
Extra  Piece,1,$5.00,$0.45,$0.00,0%,0%,0%
Kids Fried Rice,1,$13.00,$1.18,$0.00,0%,0%,0%
Extra Piece,1,$4.00,$0.36,$0.00,0%,0%,0%
2 Glasses,1,$0.00,$0.00,$0.00,0%,0%,0%
Nori Sheet,1,$1.00,$0.09,$0.00,0%,0%,0%
Remove Black Mushroom,1,$0.00,$0.00,$0.00,0%,0%,0%
Carafe Sparkling Water,1,$5.00,$0.45,$0.00,0%,0%,0%
From Sundays Shiraz - Large,1,$24.00,$2.18,$4.67,0%,1%,81%
Ginger Beer [mixer],1,$1.00,$0.09,$0.00,0%,0%,0%
Dragon Juice,1,$17.00,$1.55,$2.59,0%,0%,85%
Uber Margherita Pizza [HG],1,$21.00,$1.91,$0.00,0%,0%,0%
Orange Juice Glass [HG],1,$4.00,$0.36,$0.00,0%,0%,0%
Azurescens Pinot Noir - Large,1,$24.00,$2.18,$4.67,0%,1%,81%
Extra Piece Prawn Toast,1,$5.00,$0.45,$0.00,0%,0%,0%
Sensei Highball,1,$12.00,$1.09,$1.30,0%,0%,89%
Add Ham,1,$1.00,$0.09,$0.00,0%,0%,0%
Padrillos Malbec - Bottle,1,$72.00,$6.55,$17.82,0%,2%,75%
Angas & Bremer Rosé - Bottle,1,$49.00,$4.44,$8.77,0%,1%,82%
,310,"$4,715.45",$428.42,$586.47,100%,100%,88%
