,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
1,White Wine,17,Stowaway Bar,2026-07-29,,$133.64,$147.00
2,Marilyna's Pizza,18,Stowaway Bar,2026-07-29,,$371.83,$409.00
3,None,18,Stowaway Bar,2026-07-29,,$0.00,$0.00
4,Add-ons - Pizza,19,Stowaway Bar,2026-07-29,,$4.14,$4.41
5,Add-ons - Kitchen,19,Stowaway Bar,2026-07-29,,$3.61,$4.00
6,Sparkling Wine,17,Stowaway Bar,2026-07-29,,$44.55,$49.00
7,Add-ons - Kitchen,17,Stowaway Bar,2026-07-29,,$4.54,$5.00
8,Vodka,16,Stowaway Bar,2026-07-29,,$12.73,$14.00
9,Vodka,20,Stowaway Bar,2026-07-29,,$12.73,$14.00
10,Non-alcoholic,19,Stowaway Bar,2026-07-29,,$7.73,$8.50
11,Tap Beer,20,Stowaway Bar,2026-07-29,,$76.37,$84.00
12,White Wine,18,Stowaway Bar,2026-07-29,,$165.46,$182.00
13,Tap Beer,16,Stowaway Bar,2026-07-29,,$62.27,$68.50
14,Tap Beer,18,Stowaway Bar,2026-07-29,,$174.52,$192.00
15,White Wine,16,Stowaway Bar,2026-07-29,,$90.89,$100.00
16,Cocktails - Classic,19,Stowaway Bar,2026-07-29,,$39.09,$43.00
17,Cocktails - Classic,18,Stowaway Bar,2026-07-29,,$18.18,$20.00
18,Vodka,19,Stowaway Bar,2026-07-29,,$12.72,$14.00
19,Whisky,20,Stowaway Bar,2026-07-29,,$10.91,$12.00
20,Tap Beer,19,Stowaway Bar,2026-07-29,,$156.38,$172.00
21,White Wine,19,Stowaway Bar,2026-07-29,,$169.09,$186.00
22,Add-ons - Kitchen,16,Stowaway Bar,2026-07-29,,$1.80,$2.00
23,Small Plates,18,Stowaway Bar,2026-07-29,,$45.91,$50.50
24,Small Plates,16,Stowaway Bar,2026-07-29,,$39.01,$42.90
