Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
River Retreat Pinot Grigio - Regular,11,$77.00,$7.04,$22.11,6%,3%,71%
Dumplings - Prawn Har Gow [GF],7,$133.00,$12.11,$30.90,4%,5%,77%
Fried Rice,7,$162.00,$14.72,$18.76,4%,6%,88%
Chicken Katsu Curry,6,$163.00,$14.80,$17.14,3%,6%,89%
L'esprit Rosé - Regular,6,$96.00,$8.70,$30.27,3%,3%,68%
Shredded Beef,6,$156.00,$14.16,$0.00,3%,6%,0%
Duck Spring Roll,6,$96.00,$8.70,$21.43,3%,3%,78%
Devon's Prawn Toast,6,$96.00,$8.70,$23.33,3%,3%,76%
Popcorn Cauliflower,5,$74.00,$6.71,$4.89,3%,3%,93%
Chicken Karaage,5,$85.00,$7.75,$0.00,3%,3%,0%
2 Glasses,4,$0.00,$0.00,$0.00,2%,0%,0%
Dumplings - Beef & Cabbage,4,$56.00,$5.08,$5.89,2%,2%,89%
Mie Goreng,4,$92.00,$8.36,$12.73,2%,3%,86%
Mochi Trio,4,$53.00,$4.81,$0.00,2%,2%,0%
Zagara Orange [HG] - Regular,4,$60.00,$5.44,$10.74,2%,2%,82%
Chicken,4,$16.00,$1.44,$0.00,2%,1%,0%
Sapporo - 500ml,4,$27.00,$2.46,$14.96,2%,1%,45%
Dumplings - Veg Gyoza,4,$56.00,$5.08,$7.84,2%,2%,86%
Tonkotsu,4,$116.00,$10.56,$16.66,2%,4%,86%
BBQ Pork Buns,3,$45.00,$4.08,$10.50,2%,2%,77%
BBQ Meat Platter,3,$120.00,$10.92,$0.00,2%,4%,0%
Harry's Lager - Schooner,3,$28.50,$2.58,$5.07,2%,1%,82%
Harry's Lager - Pint,3,$34.00,$3.10,$6.80,2%,1%,80%
Diet Coke Can,3,$12.00,$1.08,$0.00,2%,0%,0%
Pepsi Glass,2,$9.00,$0.82,$2.62,1%,0%,71%
S&W Pacific Ale - Schooner [HG],2,$26.00,$2.36,$0.00,1%,1%,0%
River Retreat Pinot Grigio - Bottle,2,$98.00,$8.90,$20.10,1%,4%,79%
Tsingtao Longneck,2,$34.00,$3.11,$9.16,1%,1%,73%
Two Bays GF Rice Lager Can [HG],2,$28.00,$2.54,$9.98,1%,1%,64%
Meat Platter,2,$80.00,$7.27,$0.00,1%,3%,0%
Shoyu,2,$58.00,$5.28,$0.00,1%,2%,0%
1/2 Marinated Egg,2,$4.00,$0.36,$0.00,1%,0%,0%
Apple Juice Glass,2,$8.00,$0.72,$0.00,1%,0%,0%
4 Glasses,2,$0.00,$0.00,$0.00,1%,0%,0%
Chilli Bomb,2,$4.00,$0.36,$0.00,1%,0%,0%
Buttermilk Chicken,2,$36.00,$3.28,$0.00,1%,1%,0%
From Sundays Shiraz - Regular,2,$30.00,$2.72,$5.60,1%,1%,81%
Edamame,2,$22.00,$2.00,$0.00,1%,1%,0%
Dragon Soda,1,$9.00,$0.82,$0.00,1%,0%,0%
Lychee Martini,1,$19.00,$1.73,$3.14,1%,1%,83%
Tommy's Margarita,1,$20.00,$1.82,$0.00,1%,1%,0%
Kids Mie Goreng,1,$13.00,$1.18,$0.00,1%,0%,0%
Asahi Zero,1,$10.50,$0.95,$2.10,1%,0%,80%
Yuzu Orange Soda,1,$9.00,$0.82,$0.00,1%,0%,0%
Vinada Sparkling Wine,1,$11.00,$1.00,$0.00,1%,0%,0%
Dragon Juice,1,$17.00,$1.55,$2.59,1%,1%,85%
Fries [HG],1,$12.00,$1.09,$0.00,1%,0%,0%
Bintang,1,$11.00,$1.00,$2.73,1%,0%,75%
Grifter Big Sur IPA Can [HG],1,$14.00,$1.27,$0.00,1%,1%,0%
Two Tonne Riesling - Bottle [HG],1,$74.00,$6.73,$21.36,1%,3%,71%
Aioli,1,$0.00,$0.00,$0.00,1%,0%,0%
Angas & Bremer Grenache - Regular,1,$7.00,$0.64,$1.75,1%,0%,75%
Pepsi Max Glass,1,$4.50,$0.41,$1.31,1%,0%,71%
Fish Cake [x2 slices],1,$3.00,$0.27,$0.00,1%,0%,0%
No Glasses Needed,1,$0.00,$0.00,$0.00,1%,0%,0%
Geppetto Chardonnay - Bottle,1,$61.00,$5.55,$18.15,1%,2%,70%
Nuggets & Chips [HG],1,$13.00,$1.18,$0.00,1%,0%,0%
Sapporo - Schooner,1,$13.00,$1.18,$3.18,1%,0%,76%
Coke Can,1,$4.00,$0.36,$0.00,1%,0%,0%
Miso,1,$29.00,$2.64,$0.00,1%,1%,0%
Palloncino Prosecco - Regular,1,$12.00,$1.09,$2.30,1%,0%,81%
Classic Margarita,1,$19.00,$1.73,$3.33,1%,1%,82%
Zagara Orange [HG] - Bottle,1,$61.00,$5.55,$13.43,1%,2%,78%
Trutta Streamside Shiraz - Regular [HG],1,$16.00,$1.45,$3.61,1%,1%,77%
Extra Piece,1,$4.00,$0.36,$0.00,1%,0%,0%
Asahi 3.5%,1,$11.00,$1.00,$2.33,1%,0%,79%
,172,"$2,767.50",$251.47,$388.79,100%,100%,86%
