Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Garlic Bread,8,$32.60,$2.96,$11.36,10%,3%,65%
Online Surcharge,6,$13.76,$0.00,$0.00,7%,1%,0%
Regular Little Italy,4,$103.60,$9.41,$19.90,5%,9%,81%
Large Super House Special,4,$117.60,$10.70,$30.89,5%,10%,74%
Large Pepperoni,3,$59.79,$5.43,$14.54,4%,5%,76%
Add Chilli,3,$3.00,$0.27,$0.00,4%,0%,0%
Regular Margherita,3,$42.96,$3.91,$4.20,4%,4%,90%
Add Pepperoni,3,$9.00,$0.81,$0.00,4%,1%,0%
Large New Yorker,3,$62.73,$5.69,$15.87,4%,5%,75%
Add Anchovies,3,$6.00,$0.54,$0.00,4%,1%,0%
Large Vegetarian,2,$45.80,$4.16,$8.25,2%,4%,82%
Regular Super House Special,2,$45.80,$4.16,$11.06,2%,4%,76%
Online Discount,2,$19.00,$0.00,$0.00,2%,2%,0%
Cheesy Garlic Bread,2,$15.90,$1.45,$3.55,2%,1%,78%
Gluten-free Uber Margherita [Dine-in],2,$53.20,$4.86,$15.66,2%,5%,71%
Add Jalapenos,2,$3.00,$0.28,$0.00,2%,0%,0%
Large Tandoori Chicken,2,$54.80,$4.98,$6.98,2%,5%,87%
Family Tandoori Chicken,1,$0.00,$0.00,$0.00,1%,0%,0%
Large Little Italy,1,$26.90,$2.45,$9.12,1%,2%,66%
Add Olives,1,$1.50,$0.14,$0.00,1%,0%,0%
Regular Truffalo Soldier [Dine-in],1,$26.85,$2.43,$3.27,1%,2%,88%
Large BBQ Chicken Pizza,1,$0.00,$0.00,$4.43,1%,0%,
WINGS DEAL,1,$30.00,$2.73,$0.00,1%,3%,0%
Add Ham,1,$2.70,$0.24,$0.00,1%,0%,0%
Sour Cream,1,$0.00,$0.00,$0.00,1%,0%,0%
Regular Hail Africa,1,$25.90,$2.35,$3.00,1%,2%,88%
Family Sanchez,1,$29.90,$2.72,$0.00,1%,3%,0%
Gluten-free Hawaiian [Dine-in],1,$23.40,$2.12,$6.77,1%,2%,71%
"Large No Chorizo, No Cry",1,$13.97,$1.28,$5.88,1%,1%,58%
Regular Margherita [Dine-in],1,$21.00,$1.91,$1.40,1%,2%,93%
Gluten-free Tandoori Chicken [Dine-in],1,$27.90,$2.54,$6.94,1%,2%,75%
Regular Bubba Gump,1,$25.90,$2.35,$4.16,1%,2%,84%
Family Hawaiian,1,$0.00,$0.00,$0.00,1%,0%,0%
Add Pineapple,1,$1.50,$0.14,$0.00,1%,0%,0%
Large Meatlovers,1,$31.90,$2.90,$6.47,1%,3%,80%
Delivery Fee - Curl Curl / Manly / Dee Why,1,$6.50,$0.59,$0.00,1%,1%,0%
Regular El Patron,1,$25.90,$2.35,$3.79,1%,2%,85%
Regular Jimmy Jury [Dine-in],1,$27.89,$2.54,$3.51,1%,2%,87%
Large Cosmopolitan,1,$26.90,$2.45,$6.59,1%,2%,76%
Coke 1.25L,1,$6.00,$0.55,$3.69,1%,1%,39%
Sprite Can,1,$3.90,$0.35,$1.90,1%,0%,51%
Regular Sorrento,1,$19.90,$1.81,$4.28,1%,2%,78%
Regular Cosmopolitan,1,$19.90,$1.81,$4.72,1%,2%,76%
Large Jimmy Jury,1,$26.90,$2.45,$6.47,1%,2%,76%
Online Rounding,1,$10.00,$0.00,$0.00,1%,1%,0%
Regular BBQ Chicken Pizza,1,$23.90,$2.17,$3.17,1%,2%,87%
,83,"$1,175.55",$102.98,$231.80,100%,100%,80%
