Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Unlimited Dumplings,66,"$1,579.20",$143.44,$462.68,36%,58%,71%
Pepsi Max Glass,25,$112.50,$10.25,$32.75,14%,4%,71%
Sapporo - 500ml,14,$171.00,$15.55,$53.19,8%,6%,69%
Harry's Lager - Pint,8,$98.75,$9.01,$17.92,4%,4%,82%
Harry's Lager - Schooner,6,$56.05,$5.06,$10.02,3%,2%,82%
Pepsi Glass,6,$27.00,$2.46,$7.86,3%,1%,71%
1/2 Marinated Egg,3,$6.00,$0.54,$0.00,2%,0%,0%
Duck Spring Roll,3,$48.00,$4.36,$10.72,2%,2%,78%
Lemon Lime Bitters,3,$13.50,$1.23,$0.00,2%,0%,0%
Dragon Juice,2,$28.00,$2.54,$5.19,1%,1%,81%
Crankshaft IPA - Pint [HG],2,$35.00,$3.18,$0.00,1%,1%,0%
Lemonade Glass,2,$9.00,$0.82,$0.00,1%,0%,0%
Aperol Spritz,2,$33.00,$3.00,$7.92,1%,1%,76%
Classic Margarita,2,$28.00,$2.55,$6.65,1%,1%,76%
Espresso Martini,2,$28.00,$2.54,$5.87,1%,1%,79%
Tonkotsu,2,$58.00,$5.28,$8.33,1%,2%,86%
Popcorn Cauliflower,2,$29.00,$2.63,$1.96,1%,1%,93%
Mie Goreng,2,$46.00,$4.18,$6.36,1%,2%,86%
Dumplings - Prawn Har Gow [GF],2,$38.00,$3.46,$8.83,1%,1%,77%
Padrillos Malbec - Regular,2,$36.00,$3.28,$7.13,1%,1%,80%
Chicken,2,$8.00,$0.72,$0.00,1%,0%,0%
Open Price,2,$10.00,$0.91,$0.00,1%,0%,0%
Rice Pudding,1,$8.55,$0.77,$0.00,1%,0%,0%
Dumplings - Veg Gyoza,1,$14.00,$1.27,$1.96,1%,1%,86%
Crouching Tiger,1,$14.00,$1.27,$4.20,1%,1%,70%
Shoyu,1,$29.00,$2.64,$0.00,1%,1%,0%
Soda & Lime Glass,1,$3.00,$0.27,$0.00,1%,0%,0%
L'esprit Rosé - Regular,1,$14.40,$1.31,$3.60,1%,1%,75%
Dragon Soda,1,$9.00,$0.82,$0.00,1%,0%,0%
Azurescens Pinot Noir - Regular,1,$15.00,$1.36,$2.80,1%,1%,81%
Apple Juice Glass,1,$4.00,$0.36,$0.00,1%,0%,0%
Yuzu Orange Soda,1,$9.00,$0.82,$0.00,1%,0%,0%
Drunken Koi,1,$14.00,$1.27,$2.65,1%,1%,81%
Extra Pork.,1,$5.00,$0.45,$0.00,1%,0%,0%
Fried Rice,1,$24.00,$2.18,$2.68,1%,1%,89%
GFO [GF Ramen Noodles],1,$3.00,$0.27,$0.00,1%,0%,0%
Edamame,1,$11.00,$1.00,$0.00,1%,0%,0%
Bintang,1,$11.00,$0.99,$2.73,1%,0%,75%
Nori Sheet,1,$1.00,$0.09,$0.00,1%,0%,0%
Chicken Karaage,1,$17.00,$1.55,$0.00,1%,1%,0%
Carafe Sparkling Water,1,$5.00,$0.45,$0.00,1%,0%,0%
River Retreat Pinot Grigio - Regular,1,$12.00,$1.09,$2.01,1%,0%,83%
Dumplings - Beef & Cabbage,1,$14.00,$1.27,$1.47,1%,1%,89%
Tofu,1,$4.00,$0.36,$0.00,1%,0%,0%
,182,"$2,738.95",$248.85,$677.47,100%,100%,75%
