,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
1,Small Plates,18,Stowaway Bar,2026-08-19,,$34.08,$37.50
2,Add-ons - Kitchen,18,Stowaway Bar,2026-08-19,,$10.91,$12.00
3,Non-alcoholic,17,Stowaway Bar,2026-08-19,,$8.18,$9.00
4,Rose Wine,17,Stowaway Bar,2026-08-19,,$14.55,$16.00
5,Marilyna's Pizza,17,Stowaway Bar,2026-08-19,,$303.92,$334.30
6,Delivery Kitchen,17,Stowaway Bar,2026-08-19,,$76.17,$83.80
7,Add-ons - Kitchen,20,Stowaway Bar,2026-08-19,,$7.26,$8.00
8,Sparkling Wine,21,Stowaway Bar,2026-08-19,,$14.55,$16.00
9,Add-ons - Kitchen,16,Stowaway Bar,2026-08-19,,$0.00,$0.00
10,Add-ons - Pizza,17,Stowaway Bar,2026-08-19,,$6.36,$6.86
11,Non-alcoholic,20,Stowaway Bar,2026-08-19,,$17.28,$19.00
12,Non-alcoholic,19,Stowaway Bar,2026-08-19,,$23.63,$26.00
13,Mocktails,19,Stowaway Bar,2026-08-19,,$14.55,$16.00
14,Tap Beer,21,Stowaway Bar,2026-08-19,,$136.55,$150.20
15,Tap Beer,18,Stowaway Bar,2026-08-19,,$243.62,$268.00
16,Tap Beer,20,Stowaway Bar,2026-08-19,,$94.08,$103.50
17,Red Wine,19,Stowaway Bar,2026-08-19,,$52.72,$58.00
18,Dine-in Pizza,18,Stowaway Bar,2026-08-19,,$44.54,$49.00
19,Kitchen Specials,18,Stowaway Bar,2026-08-19,,$36.27,$39.90
20,Sides,19,Stowaway Bar,2026-08-19,,$9.09,$10.00
21,Big Plates,17,Stowaway Bar,2026-08-19,,$128.90,$141.80
22,Cocktails - Classic,19,Stowaway Bar,2026-08-19,,$199.10,$219.00
23,Modifiers,19,Stowaway Bar,2026-08-19,,$0.00,$0.00
24,Rum,20,Stowaway Bar,2026-08-19,,$10.00,$11.00
25,Tap Beer,19,Stowaway Bar,2026-08-19,,$126.38,$139.00
