,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
1,Small Plates,12,Stowaway Bar,2026-07-25,,$97.72,$107.50
2,Big Plates,15,Stowaway Bar,2026-07-25,,$159.44,$175.40
3,Salads,14,Stowaway Bar,2026-07-25,,$16.36,$18.00
4,Kids Meals,12,Stowaway Bar,2026-07-25,,$11.82,$13.00
5,Add-ons - Pizza,21,Stowaway Bar,2026-07-25,,$3.64,$4.00
6,None,14,Stowaway Bar,2026-07-25,,$0.00,$0.00
7,Non-alcoholic,13,Stowaway Bar,2026-07-25,,$14.09,$15.50
8,Marilyna's Pizza,19,Stowaway Bar,2026-07-25,,$503.21,$553.50
9,Marilyna's Pizza,18,Stowaway Bar,2026-07-25,,$644.57,$709.00
10,Marilyna's Pizza,20,Stowaway Bar,2026-07-25,,$180.90,$199.00
11,Add-ons - Pizza,14,Stowaway Bar,2026-07-25,,$5.06,$5.24
12,None,17,Stowaway Bar,2026-07-25,,$0.00,$0.00
13,Functions & Misc.,15,Stowaway Bar,2026-07-25,,$2.73,$3.00
14,Sparkling Wine,12,Stowaway Bar,2026-07-25,,$58.18,$64.00
15,Bottles / Cans Alcoholic,12,Stowaway Bar,2026-07-25,,$11.36,$12.50
16,Sides,17,Stowaway Bar,2026-07-25,,$18.18,$20.00
17,Tap Beer,13,Stowaway Bar,2026-07-25,,$121.80,$134.00
18,Delivery Alcohol,18,Stowaway Bar,2026-07-25,,$54.55,$60.00
19,Kitchen Specials,13,Stowaway Bar,2026-07-25,,$154.55,$170.00
20,Gin,19,Stowaway Bar,2026-07-25,,$53.64,$59.00
21,Modifiers,19,Stowaway Bar,2026-07-25,,$0.00,$0.00
22,Mocktails,18,Stowaway Bar,2026-07-25,,$24.55,$27.00
23,Non-alcoholic,17,Stowaway Bar,2026-07-25,,$23.64,$26.00
24,Non-alcoholic,12,Stowaway Bar,2026-07-25,,$8.65,$9.50
25,Marilyna's Soft Drinks,20,Stowaway Bar,2026-07-25,,$6.36,$7.00
26,Red Wine,17,Stowaway Bar,2026-07-25,,$213.64,$235.00
27,White Wine,14,Stowaway Bar,2026-07-25,,$50.00,$55.00
28,None,18,Stowaway Bar,2026-07-25,,$0.00,$0.00
29,Add-ons - Pizza,16,Stowaway Bar,2026-07-25,,$3.64,$4.00
30,Dine-in Pizza,19,Stowaway Bar,2026-07-25,,$161.84,$178.00
31,Orange / Skins Wine,18,Stowaway Bar,2026-07-25,,$17.28,$19.00
32,Orange / Skins Wine,21,Stowaway Bar,2026-07-25,,$50.91,$56.00
33,Functions & Misc.,17,Stowaway Bar,2026-07-25,,$45.45,$50.00
34,Add-ons - Kitchen,20,Stowaway Bar,2026-07-25,,$5.90,$6.50
35,Cocktails - Signature,19,Stowaway Bar,2026-07-25,,$203.67,$224.00
36,Delivery Cocktails,18,Stowaway Bar,2026-07-25,,$50.00,$55.00
37,Red Wine,12,Stowaway Bar,2026-07-25,,$65.45,$72.00
38,Cocktails - Classic,12,Stowaway Bar,2026-07-25,,$180.03,$198.00
39,Small Plates,13,Stowaway Bar,2026-07-25,,$55.82,$61.40
40,Add-ons - Kitchen,17,Stowaway Bar,2026-07-25,,$9.98,$11.00
41,Modifiers,16,Stowaway Bar,2026-07-25,,$0.00,$0.00
42,Gin,16,Stowaway Bar,2026-07-25,,$39.09,$43.00
43,Vodka,21,Stowaway Bar,2026-07-25,,$22.73,$25.00
44,Vodka,20,Stowaway Bar,2026-07-25,,$20.00,$22.00
45,Vodka,18,Stowaway Bar,2026-07-25,,$12.73,$14.00
46,Non-alcoholic,18,Stowaway Bar,2026-07-25,,$50.00,$55.00
47,Non-alcoholic,14,Stowaway Bar,2026-07-25,,$85.89,$94.50
48,Non-alcoholic,20,Stowaway Bar,2026-07-25,,$12.73,$14.00
49,Non-alcoholic,19,Stowaway Bar,2026-07-25,,$8.17,$9.00
50,Marilyna's Soft Drinks,17,Stowaway Bar,2026-07-25,,$29.99,$33.00
51,Tap Beer,18,Stowaway Bar,2026-07-25,,$554.08,$609.50
52,Red Wine,19,Stowaway Bar,2026-07-25,,$273.68,$301.00
53,Rose Wine,20,Stowaway Bar,2026-07-25,,$59.08,$65.00
54,Rose Wine,14,Stowaway Bar,2026-07-25,,$25.44,$28.00
55,Delivery Kitchen,18,Stowaway Bar,2026-07-25,,$119.55,$131.50
56,Marilyna's Pizza,14,Stowaway Bar,2026-07-25,,$125.01,$137.50
57,Marilyna's Pizza,21,Stowaway Bar,2026-07-25,,$109.08,$120.00
58,Cocktails - Classic,19,Stowaway Bar,2026-07-25,,$567.27,$624.00
59,Add-ons - Bar,18,Stowaway Bar,2026-07-25,,$0.91,$1.00
60,Kitchen Specials,20,Stowaway Bar,2026-07-25,,$81.81,$90.00
61,Kitchen Specials,19,Stowaway Bar,2026-07-25,,$224.08,$246.50
62,Kitchen Specials,18,Stowaway Bar,2026-07-25,,$33.16,$36.50
63,Non-alcoholic,21,Stowaway Bar,2026-07-25,,$8.18,$9.00
64,White Wine,16,Stowaway Bar,2026-07-25,,$58.19,$64.00
65,Harry Gatos Food,19,Stowaway Bar,2026-07-25,,$50.00,$55.00
66,None,13,Stowaway Bar,2026-07-25,,$0.00,$0.00
67,Tap Beer,22,Stowaway Bar,2026-07-25,,$32.73,$36.00
68,White Wine,15,Stowaway Bar,2026-07-25,,$27.28,$30.00
69,Small Plates,17,Stowaway Bar,2026-07-25,,$106.22,$116.80
70,Big Plates,14,Stowaway Bar,2026-07-25,,$221.41,$243.60
71,Big Plates,20,Stowaway Bar,2026-07-25,,$77.08,$84.80
72,Modifiers,17,Stowaway Bar,2026-07-25,,$0.00,$0.00
73,Cocktails - Signature,12,Stowaway Bar,2026-07-25,,$69.11,$76.00
74,Red Wine,20,Stowaway Bar,2026-07-25,,$309.11,$340.00
75,Delivery Kitchen,19,Stowaway Bar,2026-07-25,,$11.82,$13.00
76,Kids Meals,17,Stowaway Bar,2026-07-25,,$11.82,$13.00
77,Add-ons - Pizza,18,Stowaway Bar,2026-07-25,,$9.15,$10.67
78,None,12,Stowaway Bar,2026-07-25,,$0.00,$0.00
79,Dine-in Pizza,17,Stowaway Bar,2026-07-25,,$161.83,$178.00
80,Harry Gatos Food,20,Stowaway Bar,2026-07-25,,$64.55,$71.00
81,Big Plates,21,Stowaway Bar,2026-07-25,,$56.26,$61.90
82,Rose Wine,19,Stowaway Bar,2026-07-25,,$106.37,$117.00
83,Gin,17,Stowaway Bar,2026-07-25,,$10.00,$11.00
84,Cocktails - Classic,22,Stowaway Bar,2026-07-25,,$36.36,$40.00
85,Add-ons - Kitchen,12,Stowaway Bar,2026-07-25,,$60.06,$66.00
86,Big Plates,18,Stowaway Bar,2026-07-25,,$102.54,$112.80
87,Big Plates,19,Stowaway Bar,2026-07-25,,$216.80,$238.50
88,Cocktails - Signature,17,Stowaway Bar,2026-07-25,,$93.63,$103.00
89,Cocktails - Classic,18,Stowaway Bar,2026-07-25,,$301.79,$332.00
90,Bottles / Cans Alcoholic,15,Stowaway Bar,2026-07-25,,$43.63,$48.00
91,Vodka,16,Stowaway Bar,2026-07-25,,$20.00,$22.00
92,Tequila,20,Stowaway Bar,2026-07-25,,$10.00,$11.00
93,Non-alcoholic,15,Stowaway Bar,2026-07-25,,$27.71,$30.50
94,Tap Beer,20,Stowaway Bar,2026-07-25,,$181.37,$199.50
95,Tap Beer,16,Stowaway Bar,2026-07-25,,$188.12,$207.00
96,Delivery Kitchen,21,Stowaway Bar,2026-07-25,,$125.46,$138.00
97,Delivery Kitchen,20,Stowaway Bar,2026-07-25,,$66.37,$73.00
98,Red Wine,15,Stowaway Bar,2026-07-25,,$129.09,$142.00
99,Cocktails - Classic,16,Stowaway Bar,2026-07-25,,$79.09,$87.00
