Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Regular Hail Africa [Dine-in],9,$165.53,$15.05,$26.21,11%,13%,84%
"Regular No Chorizo, No Cry [Dine-in]",6,$91.18,$8.31,$15.02,7%,7%,84%
Regular Truffalo Soldier [Dine-in],4,$73.18,$6.66,$13.07,5%,6%,82%
Regular Sanchez [Dine-in],4,$73.77,$6.71,$13.57,5%,6%,82%
Regular Little Italy [Dine-in],4,$73.18,$6.66,$19.22,5%,6%,74%
Gluten-free Base,4,$20.66,$1.86,$16.40,5%,2%,21%
Add Anchovies,4,$8.14,$0.74,$0.00,5%,1%,0%
Regular Jimmy Jury [Dine-in],3,$55.77,$5.07,$10.01,4%,5%,82%
Regular Meatlovers [Dine-in],3,$55.78,$5.08,$14.94,4%,5%,73%
Regular New Yorker [Dine-in],2,$37.18,$3.39,$7.17,2%,3%,81%
Regular Vegetarian [Dine-in],2,$36.59,$3.34,$4.74,2%,3%,87%
Regular The Paddock [Dine-in],2,$37.18,$3.38,$6.20,2%,3%,83%
Axl Rose Pizza,2,$37.18,$3.40,$0.00,2%,3%,0%
Regular Super House Special [Dine-in],2,$36.59,$3.34,$11.06,2%,3%,70%
Regular El Patron [Dine-in],2,$37.18,$3.38,$7.28,2%,3%,80%
Regular Super House Special,2,$43.50,$3.95,$11.06,2%,4%,75%
Add Ham,1,$3.00,$0.27,$0.00,1%,0%,0%
Add Olives,1,$1.55,$0.15,$0.00,1%,0%,0%
Add Prawns,1,$4.00,$0.36,$0.00,1%,0%,0%
Delivery Fee - Freshwater / Queenscliff,1,$5.00,$0.45,$0.00,1%,0%,0%
Regular Tandoori Chicken,1,$19.50,$1.77,$2.30,1%,2%,88%
Online Surcharge,1,$1.68,$0.00,$0.00,1%,0%,0%
Gluten-free Margherita [Dine-in],1,$21.00,$1.91,$6.08,1%,2%,71%
Cheesy Garlic Bread,1,$8.00,$0.73,$1.77,1%,1%,78%
Regular Little Italy,1,$25.00,$2.27,$4.80,1%,2%,81%
Regular Pepperoni [Dine-in],1,$18.60,$1.69,$0.00,1%,2%,0%
Add Mushrooms,1,$1.55,$0.15,$0.00,1%,0%,0%
Regular Sorrento [Dine-in],1,$18.00,$1.64,$4.11,1%,1%,77%
Regular No Chorizo No Cry Solo Combo,1,$25.00,$2.27,$2.50,1%,2%,90%
Gluten-free Hail Africa [Dine-in],1,$0.00,$0.00,$8.91,1%,0%,
Add Fetta,1,$3.00,$0.27,$0.00,1%,0%,0%
Regular Margherita,1,$0.00,$0.00,$1.23,1%,0%,
Regular Bubba Gump [Dine-in],1,$18.00,$1.64,$3.96,1%,1%,78%
Delivery Fee - Curl Curl / Manly / Dee Why,1,$6.50,$0.59,$0.00,1%,1%,0%
Regular Meatlovers,1,$25.00,$2.27,$4.98,1%,2%,80%
Regular Uber Margherita [Dine-in],1,$18.59,$1.69,$3.19,1%,2%,83%
Sprite Can,1,$0.00,$0.00,$1.90,1%,0%,
Grifter Serpents Kiss Can,1,$10.00,$0.91,$3.19,1%,1%,68%
Regular Truffalo Soldier,1,$18.50,$1.68,$3.27,1%,1%,82%
Large Pepperoni,1,$20.00,$1.82,$4.56,1%,2%,77%
Regular Sorrento,1,$20.00,$1.82,$4.11,1%,2%,79%
Regular Roma Special [Dine-in],1,$18.00,$1.64,$4.03,1%,1%,78%
Regular Sanchez VEGAN [Dine-in],1,$18.00,$1.64,$3.02,1%,1%,83%
Large Paddock,1,$27.00,$2.45,$5.11,1%,2%,81%
,83,"$1,237.06",$112.40,$248.97,100%,100%,80%
