Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Unlimited Dumplings,29,$696.00,$63.22,$0.00,16%,24%,0%
Stone & Wood - Pint,9,$153.56,$14.00,$39.20,5%,5%,74%
Fresh is Best Lager - Schooner,7,$62.12,$5.64,$12.79,4%,2%,79%
Villa Fresco Sangiovese - Regular,7,$62.06,$5.65,$16.88,4%,2%,73%
Fresh is Best Lager - Pint,7,$81.32,$7.42,$17.16,4%,3%,79%
Guinness Draught - Pint,7,$122.50,$11.13,$32.96,4%,4%,73%
Heaps Normal Tin,5,$55.37,$5.04,$13.35,3%,2%,76%
Stone & Wood - Schooner,5,$65.43,$5.94,$16.24,3%,2%,75%
Version Two Pinot Grigio - Regular,4,$19.40,$1.77,$7.07,2%,1%,64%
Status Quo - Pint,4,$70.00,$6.36,$16.65,2%,2%,76%
Katsu Curry,4,$110.66,$10.05,$0.00,2%,4%,0%
Shredded Beef,4,$104.86,$9.52,$0.00,2%,4%,0%
Fresh is Best Summer Lager - Schooner,4,$28.46,$2.60,$6.35,2%,1%,78%
Jalapeño Marg,3,$49.05,$4.46,$2.43,2%,2%,95%
Dumplings - Beef & Cabbage,3,$40.29,$3.66,$0.00,2%,1%,0%
Dumplings - Veg Gyoza,3,$40.29,$3.66,$0.00,2%,1%,0%
Pepsi Max Glass,3,$13.50,$1.23,$0.00,2%,0%,0%
Old Fashioned,3,$66.00,$6.00,$14.36,2%,2%,78%
Mie Goreng,3,$55.95,$5.08,$0.00,2%,2%,0%
Grifter Pale - Pint,3,$33.00,$3.00,$9.99,2%,1%,70%
BBQ Pork Buns,3,$46.47,$4.21,$0.00,2%,2%,0%
Flower Child,3,$60.72,$5.52,$8.59,2%,2%,86%
Popcorn Cauliflower,3,$42.92,$3.90,$0.00,2%,1%,0%
White Light Pure Vodka [House],2,$14.00,$1.28,$3.04,1%,0%,78%
Glass of Ice on the Side,2,$0.00,$0.00,$0.00,1%,0%,0%
Classic Margarita,2,$40.00,$3.64,$8.15,1%,1%,80%
Philter XPA - Schooner,2,$23.38,$2.13,$4.47,1%,1%,81%
Coconut Margarita,2,$47.50,$4.31,$8.30,1%,2%,83%
Bundaberg Ginger Beer,2,$10.33,$0.93,$1.91,1%,0%,81%
Kirin - Schooner,2,$28.46,$2.58,$7.51,1%,1%,74%
Duck Spring Rolls,2,$33.06,$2.98,$0.00,1%,1%,0%
Veg Spring Rolls,2,$30.49,$2.76,$0.00,1%,1%,0%
Dumplings - Prawn Har Gow [GF],2,$36.59,$3.33,$0.00,1%,1%,0%
Mulled Wine,2,$30.49,$2.76,$4.08,1%,1%,87%
"Lemon, Lime & Bitters",2,$10.00,$0.90,$0.00,1%,0%,0%
Kuku Sauvignon Blanc - Large,2,$46.00,$4.18,$9.72,1%,2%,79%
Jasmine Rice,2,$8.00,$0.72,$0.00,1%,0%,0%
Little Dragon Can,2,$25.41,$2.32,$7.07,1%,1%,72%
Pink Lemonade Glass,2,$9.15,$0.84,$0.27,1%,0%,97%
Ottelia Chardonnay - Regular,2,$32.00,$2.90,$6.92,1%,1%,78%
Aperol Spritz,2,$34.46,$3.13,$7.11,1%,1%,79%
Kuku Sauvignon Blanc - Bottle,1,$58.00,$5.27,$14.57,1%,2%,75%
Status Quo - Schooner,1,$13.94,$1.27,$3.10,1%,0%,78%
James Boags Light,1,$9.50,$0.86,$2.25,1%,0%,76%
Trentham Estate Rosé - Regular,1,$7.23,$0.66,$2.11,1%,0%,71%
Kids Dumplings - Veg,1,$8.26,$0.74,$0.00,1%,0%,0%
Philter XPA - Pint,1,$9.00,$0.82,$3.00,1%,0%,67%
Lemonade Glass,1,$4.65,$0.43,$0.00,1%,0%,0%
Unico Zelo Terra Cotta - Regular,1,$19.62,$1.79,$4.38,1%,1%,78%
No Salt,1,$0.00,$0.00,$0.00,1%,0%,0%
Fresh is Best Summer Lager - Pint,1,$12.39,$1.12,$2.13,1%,0%,83%
Version Two Sparkling - Bottle,1,$49.00,$4.45,$8.83,1%,2%,82%
Chicken,1,$4.00,$0.36,$0.00,1%,0%,0%
Grifter Pale - Schooner,1,$11.88,$1.09,$2.48,1%,0%,79%
Biscoff Espresso,1,$23.00,$2.09,$3.25,1%,1%,86%
Ice,1,$0.00,$0.00,$0.00,1%,0%,0%
Version Two Pinot Grigio - Bottle,1,$49.00,$4.45,$8.83,1%,2%,82%
Rosemary Salted Fries,1,$12.90,$1.17,$1.86,1%,0%,86%
Side Aioli,1,$0.50,$0.05,$0.00,1%,0%,0%
Coke Zero 1.25L,1,$0.00,$0.00,$3.98,1%,0%,
Asahi 3.5%,1,$10.50,$0.95,$2.55,1%,0%,76%
Fried Rice,1,$23.00,$2.09,$0.00,1%,1%,0%
Jug of Water,1,$0.00,$0.00,$0.00,1%,0%,0%
Virgin Margy,1,$13.42,$1.22,$0.00,1%,0%,0%
Lime Wedge,1,$0.00,$0.00,$0.00,1%,0%,0%
,186,"$2,879.04",$261.63,$345.87,100%,100%,88%
