,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
1,Small Plates,16,Stowaway Bar,2026-07-24,,$88.28,$97.10
2,Cocktails - Classic,22,Stowaway Bar,2026-07-24,,$77.27,$85.00
3,Cocktails - Classic,18,Stowaway Bar,2026-07-24,,$314.53,$346.00
4,Bottles / Cans Alcoholic,22,Stowaway Bar,2026-07-24,,$9.55,$10.50
5,Bottles / Cans Alcoholic,20,Stowaway Bar,2026-07-24,,$9.54,$10.50
6,Amaro / Aperitif / Fortified Wine,21,Stowaway Bar,2026-07-24,,$22.74,$25.00
7,Modifiers,16,Stowaway Bar,2026-07-24,,$0.00,$0.00
8,Tap Beer,20,Stowaway Bar,2026-07-24,,$130.45,$143.50
9,Red Wine,21,Stowaway Bar,2026-07-24,,$136.37,$150.00
10,Red Wine,20,Stowaway Bar,2026-07-24,,$253.64,$279.00
11,Red Wine,18,Stowaway Bar,2026-07-24,,$161.83,$178.00
12,Marilyna's Pizza,17,Stowaway Bar,2026-07-24,,$638.20,$702.00
13,Dine-in Pizza,18,Stowaway Bar,2026-07-24,,$188.23,$207.00
14,Sparkling Wine,19,Stowaway Bar,2026-07-24,,$58.20,$64.00
15,Sparkling Wine,18,Stowaway Bar,2026-07-24,,$112.74,$124.00
16,Dine-in Pizza,20,Stowaway Bar,2026-07-24,,$24.55,$27.00
17,Sides,20,Stowaway Bar,2026-07-24,,$9.09,$10.00
18,White Wine,15,Stowaway Bar,2026-07-24,,$20.91,$23.00
19,Sparkling Wine,21,Stowaway Bar,2026-07-24,,$44.55,$49.00
20,Cocktails - Classic,21,Stowaway Bar,2026-07-24,,$152.72,$168.00
21,Gin,22,Stowaway Bar,2026-07-24,,$12.73,$14.00
22,Whisky,16,Stowaway Bar,2026-07-24,,$10.91,$12.00
23,Cocktails - Signature,16,Stowaway Bar,2026-07-24,,$27.28,$30.00
24,Small Plates,19,Stowaway Bar,2026-07-24,,$309.19,$340.10
25,Salads,18,Stowaway Bar,2026-07-24,,$38.99,$42.90
26,Kids Meals,18,Stowaway Bar,2026-07-24,,$11.82,$13.00
27,Cocktails - Signature,21,Stowaway Bar,2026-07-24,,$175.48,$193.00
28,Cocktails - Signature,18,Stowaway Bar,2026-07-24,,$281.84,$310.00
29,Modifiers,21,Stowaway Bar,2026-07-24,,$0.00,$0.00
30,None,19,Stowaway Bar,2026-07-24,,$19.10,$21.00
31,Red Wine,17,Stowaway Bar,2026-07-24,,$100.92,$111.00
32,Rose Wine,16,Stowaway Bar,2026-07-24,,$38.16,$42.00
33,Marilyna's Pizza,16,Stowaway Bar,2026-07-24,,$181.35,$199.50
34,Delivery Kitchen,16,Stowaway Bar,2026-07-24,,$11.82,$13.00
35,Add-ons - Kitchen,19,Stowaway Bar,2026-07-24,,$22.23,$24.50
36,None,18,Stowaway Bar,2026-07-24,,$0.00,$0.00
37,None,20,Stowaway Bar,2026-07-24,,$16.36,$18.00
38,Cocktails - Signature,20,Stowaway Bar,2026-07-24,,$152.76,$168.00
39,Marilyna's Soft Drinks,18,Stowaway Bar,2026-07-24,,$6.36,$7.00
40,Small Plates,15,Stowaway Bar,2026-07-24,,$58.74,$64.60
41,Add-ons - Kitchen,18,Stowaway Bar,2026-07-24,,$11.36,$12.50
42,Big Plates,17,Stowaway Bar,2026-07-24,,$145.34,$159.90
43,Modifiers,19,Stowaway Bar,2026-07-24,,$0.00,$0.00
44,Desserts,19,Stowaway Bar,2026-07-24,,$21.82,$24.00
45,Cocktails - Classic,19,Stowaway Bar,2026-07-24,,$275.45,$303.00
46,Bottles / Cans Alcoholic,19,Stowaway Bar,2026-07-24,,$25.91,$28.50
47,Gin,19,Stowaway Bar,2026-07-24,,$51.82,$57.00
48,Non-alcoholic,17,Stowaway Bar,2026-07-24,,$50.93,$56.00
49,Tap Beer,19,Stowaway Bar,2026-07-24,,$530.90,$584.00
50,Add-ons - Pizza,16,Stowaway Bar,2026-07-24,,-$8.99,-$8.99
51,Add-ons - Kitchen,15,Stowaway Bar,2026-07-24,,$0.89,$1.00
52,Kitchen Specials,19,Stowaway Bar,2026-07-24,,$253.89,$279.30
53,Small Plates,22,Stowaway Bar,2026-07-24,,$19.91,$21.90
54,White Wine,18,Stowaway Bar,2026-07-24,,$182.73,$201.00
55,White Wine,20,Stowaway Bar,2026-07-24,,$112.73,$124.00
56,White Wine,19,Stowaway Bar,2026-07-24,,$98.19,$108.00
57,White Wine,21,Stowaway Bar,2026-07-24,,$35.46,$39.00
58,Kids Meals,15,Stowaway Bar,2026-07-24,,$11.82,$13.00
59,Desserts,20,Stowaway Bar,2026-07-24,,$10.92,$12.00
60,Cocktails - Signature,17,Stowaway Bar,2026-07-24,,$150.05,$165.00
61,Cocktails - Classic,15,Stowaway Bar,2026-07-24,,$274.62,$302.00
62,Cocktails - Classic,20,Stowaway Bar,2026-07-24,,$137.27,$151.00
63,Vodka,23,Stowaway Bar,2026-07-24,,$10.00,$11.00
64,Vodka,19,Stowaway Bar,2026-07-24,,$20.00,$22.00
65,Amaro / Aperitif / Fortified Wine,18,Stowaway Bar,2026-07-24,,$18.18,$20.00
66,Modifiers,15,Stowaway Bar,2026-07-24,,$0.00,$0.00
67,None,17,Stowaway Bar,2026-07-24,,$0.00,$0.00
68,Dine-in Pizza,15,Stowaway Bar,2026-07-24,,$23.64,$26.00
69,Sparkling Wine,20,Stowaway Bar,2026-07-24,,$14.55,$16.00
70,Rose Wine,19,Stowaway Bar,2026-07-24,,$127.28,$140.00
71,Tap Beer,23,Stowaway Bar,2026-07-24,,$37.26,$41.00
72,Sparkling Wine,15,Stowaway Bar,2026-07-24,,$12.72,$14.00
73,Small Plates,18,Stowaway Bar,2026-07-24,,$325.47,$358.00
74,Small Plates,20,Stowaway Bar,2026-07-24,,$74.85,$82.30
75,Small Plates,21,Stowaway Bar,2026-07-24,,$31.64,$34.80
76,Add-ons - Kitchen,20,Stowaway Bar,2026-07-24,,$9.97,$11.00
77,Vodka,17,Stowaway Bar,2026-07-24,,$10.00,$11.00
78,Marilyna's Soft Drinks,19,Stowaway Bar,2026-07-24,,$9.09,$10.00
79,Delivery Kitchen,17,Stowaway Bar,2026-07-24,,$305.02,$335.50
80,Add-ons - Kitchen,16,Stowaway Bar,2026-07-24,,$1.34,$1.50
81,Cocktails - Signature,22,Stowaway Bar,2026-07-24,,$115.46,$127.00
82,Rose Wine,17,Stowaway Bar,2026-07-24,,$127.27,$140.00
83,Delivery Alcohol,23,Stowaway Bar,2026-07-24,,$50.00,$55.00
84,Gin,18,Stowaway Bar,2026-07-24,,$25.46,$28.00
85,Whisky,21,Stowaway Bar,2026-07-24,,$20.00,$22.00
86,Modifiers,18,Stowaway Bar,2026-07-24,,$0.00,$0.00
87,Modifiers,20,Stowaway Bar,2026-07-24,,$0.00,$0.00
88,None,15,Stowaway Bar,2026-07-24,,$0.00,$0.00
89,Bottles / Cans Alcoholic,18,Stowaway Bar,2026-07-24,,$40.46,$44.50
90,Vodka,21,Stowaway Bar,2026-07-24,,$60.00,$66.00
91,Vodka,20,Stowaway Bar,2026-07-24,,$12.73,$14.00
92,Whisky,19,Stowaway Bar,2026-07-24,,$40.00,$44.00
93,Amaro / Aperitif / Fortified Wine,17,Stowaway Bar,2026-07-24,,$18.18,$20.00
94,Mocktails,20,Stowaway Bar,2026-07-24,,$13.63,$15.00
95,Mocktails,18,Stowaway Bar,2026-07-24,,$29.11,$32.00
96,Tap Beer,18,Stowaway Bar,2026-07-24,,$660.94,$727.00
97,Pet Nat Wine,19,Stowaway Bar,2026-07-24,,$58.19,$64.00
98,Orange / Skins Wine,16,Stowaway Bar,2026-07-24,,$51.81,$57.00
99,Add-ons - Pizza,17,Stowaway Bar,2026-07-24,,$10.67,$11.76
100,Dine-in Pizza,19,Stowaway Bar,2026-07-24,,$144.57,$159.00
101,White Wine,22,Stowaway Bar,2026-07-24,,$80.00,$88.00
102,Kitchen Specials,18,Stowaway Bar,2026-07-24,,$72.54,$79.80
103,Sides,19,Stowaway Bar,2026-07-24,,$30.91,$34.00
104,Tap Beer,21,Stowaway Bar,2026-07-24,,$60.45,$66.50
105,Gin,20,Stowaway Bar,2026-07-24,,$22.73,$25.00
106,Gin,16,Stowaway Bar,2026-07-24,,$19.08,$21.00
107,Big Plates,18,Stowaway Bar,2026-07-24,,$237.70,$261.50
108,Add-ons - Pizza,20,Stowaway Bar,2026-07-24,,$3.03,$3.12
109,Bottles / Cans Alcoholic,17,Stowaway Bar,2026-07-24,,$30.92,$34.00
110,Red Wine,16,Stowaway Bar,2026-07-24,,$78.07,$85.90
111,Rose Wine,15,Stowaway Bar,2026-07-24,,$12.72,$14.00
112,Add-ons - Pizza,19,Stowaway Bar,2026-07-24,,-$5.73,-$5.23
113,Cocktails - Classic,17,Stowaway Bar,2026-07-24,,$132.72,$146.00
114,Dine-in Pizza,17,Stowaway Bar,2026-07-24,,$23.64,$26.00
115,Harry Gatos Food,18,Stowaway Bar,2026-07-24,,$60.91,$67.00
116,Add-ons - Pizza,21,Stowaway Bar,2026-07-24,,-$8.98,-$8.98
117,Add-ons - Kitchen,21,Stowaway Bar,2026-07-24,,$0.44,$0.50
118,Tap Beer,17,Stowaway Bar,2026-07-24,,$499.56,$549.50
119,Red Wine,15,Stowaway Bar,2026-07-24,,$38.09,$41.90
120,White Wine,17,Stowaway Bar,2026-07-24,,$62.73,$69.00
121,Sparkling Wine,16,Stowaway Bar,2026-07-24,,$44.52,$49.00
122,Gin,17,Stowaway Bar,2026-07-24,,$25.46,$28.00
123,Big Plates,19,Stowaway Bar,2026-07-24,,$211.25,$232.40
124,Vodka,22,Stowaway Bar,2026-07-24,,$40.00,$44.00
125,Modifiers,17,Stowaway Bar,2026-07-24,,$0.00,$0.00
126,Non-alcoholic,16,Stowaway Bar,2026-07-24,,$3.18,$3.50
127,Non-alcoholic,22,Stowaway Bar,2026-07-24,,$4.09,$4.50
128,Non-alcoholic,18,Stowaway Bar,2026-07-24,,$23.20,$25.50
129,Non-alcoholic,15,Stowaway Bar,2026-07-24,,$12.27,$13.50
130,Tap Beer,15,Stowaway Bar,2026-07-24,,$143.58,$158.00
131,Orange / Skins Wine,17,Stowaway Bar,2026-07-24,,$86.35,$95.00
132,Red Wine,19,Stowaway Bar,2026-07-24,,$220.03,$242.00
133,Marilyna's Pizza,18,Stowaway Bar,2026-07-24,,"$1,223.64","$1,346.00"
134,Delivery Kitchen,18,Stowaway Bar,2026-07-24,,$218.22,$240.00
135,Sparkling Wine,23,Stowaway Bar,2026-07-24,,$29.10,$32.00
136,Cocktails - Classic,16,Stowaway Bar,2026-07-24,,$187.31,$206.00
137,Delivery Cocktails,17,Stowaway Bar,2026-07-24,,$23.64,$26.00
138,Rose Wine,22,Stowaway Bar,2026-07-24,,$14.55,$16.00
139,Tap Beer,22,Stowaway Bar,2026-07-24,,$26.81,$29.50
140,Small Plates,17,Stowaway Bar,2026-07-24,,$73.54,$80.90
141,Add-ons - Kitchen,17,Stowaway Bar,2026-07-24,,$7.27,$8.00
142,Big Plates,21,Stowaway Bar,2026-07-24,,$24.45,$26.90
143,Vodka,16,Stowaway Bar,2026-07-24,,$31.80,$35.00
144,Liqueurs,21,Stowaway Bar,2026-07-24,,$20.00,$22.00
145,Non-alcoholic,19,Stowaway Bar,2026-07-24,,$41.81,$46.00
146,Non-alcoholic,20,Stowaway Bar,2026-07-24,,$4.09,$4.50
147,Marilyna's Soft Drinks,17,Stowaway Bar,2026-07-24,,$20.90,$23.00
148,Tap Beer,16,Stowaway Bar,2026-07-24,,$339.85,$374.00
149,Rose Wine,18,Stowaway Bar,2026-07-24,,$78.20,$86.00
150,Marilyna's Pizza,19,Stowaway Bar,2026-07-24,,$509.12,$560.00
151,Delivery Kitchen,21,Stowaway Bar,2026-07-24,,$54.10,$59.50
152,Delivery Kitchen,19,Stowaway Bar,2026-07-24,,$130.46,$143.50
153,Marilyna's Pizza,20,Stowaway Bar,2026-07-24,,$93.19,$102.50
154,Marilyna's Pizza,21,Stowaway Bar,2026-07-24,,$41.37,$45.50
155,Add-ons - Bar,20,Stowaway Bar,2026-07-24,,$3.64,$4.00
156,White Wine,16,Stowaway Bar,2026-07-24,,$176.21,$193.90
157,Big Plates,20,Stowaway Bar,2026-07-24,,$52.54,$57.80
158,Big Plates,15,Stowaway Bar,2026-07-24,,$24.45,$26.90
159,Add-ons - Pizza,18,Stowaway Bar,2026-07-24,,$6.26,$9.25
160,Cocktails - Signature,19,Stowaway Bar,2026-07-24,,$161.85,$178.00
161,None,21,Stowaway Bar,2026-07-24,,$4.55,$5.00
162,Sparkling Wine,17,Stowaway Bar,2026-07-24,,$14.55,$16.00
163,Salads,19,Stowaway Bar,2026-07-24,,$22.64,$24.90
164,Delivery Alcohol,18,Stowaway Bar,2026-07-24,,$18.18,$20.00
