,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
1,Bottles / Cans Alcoholic,22,Stowaway Bar,2026-08-11,,$28.64,$31.50
2,Rum,22,Stowaway Bar,2026-08-11,,$770.01,$847.00
3,Red Wine,20,Stowaway Bar,2026-08-11,,$65.46,$72.00
4,Dine-in Pizza,16,Stowaway Bar,2026-08-11,,$32.72,$36.00
5,Whisky,22,Stowaway Bar,2026-08-11,,$10.91,$12.00
6,Red Wine,21,Stowaway Bar,2026-08-11,,$16.36,$18.00
7,Sparkling Wine,22,Stowaway Bar,2026-08-11,,$287.28,$316.00
8,Cocktails - Signature,17,Stowaway Bar,2026-08-11,,$35.46,$39.00
9,Add-ons - Pizza,20,Stowaway Bar,2026-08-11,,$8.19,$9.00
10,Cocktails - Classic,17,Stowaway Bar,2026-08-11,,$60.00,$66.00
11,Delivery Alcohol,19,Stowaway Bar,2026-08-11,,$5.45,$6.00
12,Marilyna's Pizza,19,Stowaway Bar,2026-08-11,,$31.64,$34.80
13,None,19,Stowaway Bar,2026-08-11,,$0.00,$0.00
14,Add-ons - Pizza,18,Stowaway Bar,2026-08-11,,-$7.84,-$6.64
15,Cocktails - Signature,19,Stowaway Bar,2026-08-11,,$75.47,$83.00
16,Red Wine,17,Stowaway Bar,2026-08-11,,$10.91,$12.00
17,Add-ons - Kitchen,18,Stowaway Bar,2026-08-11,,$2.28,$2.50
18,Delivery Kitchen,17,Stowaway Bar,2026-08-11,,$0.00,$0.00
19,Small Plates,22,Stowaway Bar,2026-08-11,,$17.50,$19.25
20,Add-ons - Kitchen,19,Stowaway Bar,2026-08-11,,$1.78,$2.00
21,Bottles / Cans Alcoholic,20,Stowaway Bar,2026-08-11,,$10.91,$12.00
22,Bottles / Cans Alcoholic,19,Stowaway Bar,2026-08-11,,$9.54,$10.50
23,Modifiers,20,Stowaway Bar,2026-08-11,,$0.00,$0.00
24,Mocktails,18,Stowaway Bar,2026-08-11,,$14.55,$16.00
