Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Harry's Lager - Schooner,14,$115.50,$10.50,$23.38,9%,5%,80%
Dumplings - Prawn Har Gow [GF],9,$170.00,$15.48,$39.72,6%,8%,77%
Palloncino Prosecco - Regular,8,$91.00,$8.27,$18.40,5%,4%,80%
Edamame,6,$66.00,$6.00,$0.00,4%,3%,0%
Tonkotsu,6,$174.00,$15.84,$24.98,4%,8%,86%
Angas & Bremer Grenache - Regular,5,$45.00,$4.10,$8.77,3%,2%,81%
Mie Goreng,5,$116.00,$10.54,$15.91,3%,6%,86%
Miso,4,$116.00,$10.56,$0.00,3%,6%,0%
Azurescens Pinot Noir - Regular,4,$60.00,$5.44,$11.20,3%,3%,81%
1/2 Marinated Egg,4,$8.00,$0.72,$0.00,3%,0%,0%
Harry's Lager - Pint,4,$39.50,$3.60,$8.96,3%,2%,77%
Lime,4,$0.00,$0.00,$0.00,3%,0%,0%
Unlimited BBQ,4,$180.00,$16.36,$34.34,3%,9%,81%
Bombay Dry Gin [House],4,$36.00,$3.28,$8.79,3%,2%,76%
Tonic,4,$0.00,$0.00,$3.21,3%,0%,
Angas & Bremer Rosé - Regular,3,$26.00,$2.37,$5.79,2%,1%,78%
Devon's Prawn Toast,3,$48.00,$4.35,$11.66,2%,2%,76%
L'esprit Rosé - Regular,3,$48.00,$4.35,$15.13,2%,2%,68%
Chicken,3,$11.50,$1.04,$0.00,2%,1%,0%
Popcorn Cauliflower,3,$45.00,$4.08,$2.94,2%,2%,93%
Margato,3,$42.00,$3.81,$11.71,2%,2%,72%
Kids Mie Goreng,3,$39.00,$3.54,$0.00,2%,2%,0%
Yuzu Chu-hi,2,$24.00,$2.18,$4.07,1%,1%,83%
Dragon Juice,2,$34.00,$3.10,$5.19,1%,2%,85%
Apple Juice Glass,2,$8.00,$0.72,$0.00,1%,0%,0%
Classic Margarita,2,$38.00,$3.46,$6.65,1%,2%,82%
Negroni,2,$28.00,$2.55,$9.59,1%,1%,66%
Octopus Karaage,2,$36.00,$3.28,$0.00,1%,2%,0%
Shredded Beef,2,$52.00,$4.72,$0.00,1%,2%,0%
BBQ Pork Buns,2,$30.00,$2.72,$7.00,1%,1%,77%
Chicken.,2,$4.00,$0.36,$0.00,1%,0%,0%
Swap for Tofu [Make it Vegan],2,$0.00,$0.00,$0.00,1%,0%,0%
Dumplings - Veg Gyoza,2,$28.00,$2.54,$3.92,1%,1%,86%
Chicken Karaage,2,$34.00,$3.10,$0.00,1%,2%,0%
Grifter Big Sur IPA Can [HG],2,$28.00,$2.54,$0.00,1%,1%,0%
Dumplings - Beef & Cabbage,2,$28.00,$2.54,$2.95,1%,1%,89%
Fish Cake [x2 slices],1,$3.00,$0.27,$0.00,1%,0%,0%
Lemon Chu-hi,1,$12.00,$1.09,$1.52,1%,1%,87%
Fried Egg,1,$4.00,$0.36,$0.00,1%,0%,0%
River Retreat Pinot Grigio - Regular,1,$12.00,$1.09,$2.01,1%,1%,83%
Nuggets & Chips [HG],1,$13.00,$1.18,$0.00,1%,1%,0%
Kids Tonkotsu,1,$13.00,$1.18,$0.00,1%,1%,0%
Corn,1,$1.00,$0.09,$0.00,1%,0%,0%
Aperol Spritz,1,$19.00,$1.73,$3.96,1%,1%,79%
Wagyu Slices,1,$17.00,$1.55,$0.00,1%,1%,0%
Lemonade Glass,1,$4.50,$0.41,$0.00,1%,0%,0%
1 Glass,1,$0.00,$0.00,$0.00,1%,0%,0%
Kuku Sauv Blanc - Regular,1,$13.00,$1.18,$2.91,1%,1%,78%
Shoyu,1,$29.00,$2.64,$0.00,1%,1%,0%
GFO [GF Ramen Noodles],1,$3.00,$0.27,$0.00,1%,0%,0%
Tsingtao Longneck,1,$17.00,$1.55,$4.58,1%,1%,73%
Saika Junmai Daiginjo - 60ml,1,$13.00,$1.18,$3.67,1%,1%,72%
Vegetarian Spring Rolls,1,$14.00,$1.27,$1.65,1%,1%,88%
Drunken Koi,1,$21.00,$1.91,$2.65,1%,1%,87%
From Sundays Shiraz - Regular,1,$15.00,$1.36,$2.80,1%,1%,81%
Chilli Bomb,1,$2.00,$0.18,$0.00,1%,0%,0%
Dragon Soda,1,$9.00,$0.82,$0.00,1%,0%,0%
Fried Rice,1,$23.00,$2.09,$2.68,1%,1%,88%
,156,"$2,106.00",$191.44,$312.71,100%,100%,85%
