,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
1,Add-ons - Pizza,20,Stowaway Bar,2026-08-10,,$7.28,$8.00
2,Non-alcoholic,17,Stowaway Bar,2026-08-10,,$8.18,$9.00
3,None,19,Stowaway Bar,2026-08-10,,$2.73,$3.00
4,Tap Beer,17,Stowaway Bar,2026-08-10,,$44.08,$48.50
5,Vodka,17,Stowaway Bar,2026-08-10,,$6.36,$7.00
6,Non-alcoholic,19,Stowaway Bar,2026-08-10,,$59.53,$65.50
7,Tap Beer,19,Stowaway Bar,2026-08-10,,$106.83,$117.50
8,Tap Beer,20,Stowaway Bar,2026-08-10,,$136.12,$149.75
9,Vodka,19,Stowaway Bar,2026-08-10,,$10.00,$11.00
10,Bottles / Cans Alcoholic,18,Stowaway Bar,2026-08-10,,$9.55,$10.50
11,Gin,18,Stowaway Bar,2026-08-10,,$23.66,$26.00
12,Cocktails - Signature,18,Stowaway Bar,2026-08-10,,$21.82,$24.00
13,Cocktails - Classic,18,Stowaway Bar,2026-08-10,,$36.36,$40.00
14,None,18,Stowaway Bar,2026-08-10,,$0.00,$0.00
15,White Wine,17,Stowaway Bar,2026-08-10,,$6.36,$7.00
16,White Wine,19,Stowaway Bar,2026-08-10,,$63.64,$70.00
17,Add-ons - Pizza,18,Stowaway Bar,2026-08-10,,$3.64,$4.00
18,Cocktails - Classic,17,Stowaway Bar,2026-08-10,,$12.73,$14.00
19,Gin,19,Stowaway Bar,2026-08-10,,$48.19,$53.00
20,Harry Gatos Food,17,Stowaway Bar,2026-08-10,,$140.92,$155.00
21,Cocktails - Signature,19,Stowaway Bar,2026-08-10,,$40.92,$45.00
22,Red Wine,17,Stowaway Bar,2026-08-10,,$12.72,$14.00
23,White Wine,20,Stowaway Bar,2026-08-10,,$12.73,$14.00
24,White Wine,18,Stowaway Bar,2026-08-10,,$10.91,$12.00
25,Non-alcoholic,20,Stowaway Bar,2026-08-10,,$17.28,$19.00
26,Red Wine,20,Stowaway Bar,2026-08-10,,$206.36,$227.00
27,Harry Gatos Food,20,Stowaway Bar,2026-08-10,,$193.67,$213.00
28,Harry Gatos Food,18,Stowaway Bar,2026-08-10,,$327.31,$360.00
29,Non-alcoholic,18,Stowaway Bar,2026-08-10,,$22.27,$24.50
30,Red Wine,18,Stowaway Bar,2026-08-10,,$49.10,$54.00
31,Tap Beer,18,Stowaway Bar,2026-08-10,,$101.82,$112.00
32,Harry Gatos Food,19,Stowaway Bar,2026-08-10,,$479.13,$527.00
33,Red Wine,19,Stowaway Bar,2026-08-10,,$58.18,$64.00
