Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
"Regular No Chorizo, No Cry [Dine-in]",7,$120.56,$10.94,$17.52,7%,9%,85%
Regular Hail Africa [Dine-in],6,$109.77,$10.00,$17.47,6%,8%,84%
Regular Jimmy Jury [Dine-in],6,$110.97,$10.11,$20.01,6%,8%,82%
Online Surcharge,5,$4.02,$0.00,$0.00,5%,0%,0%
Regular New Yorker [Dine-in],5,$91.77,$8.37,$17.93,5%,7%,80%
Regular Uber Margherita [Dine-in],5,$92.35,$8.41,$15.96,5%,7%,83%
Garlic Bread,5,$10.00,$0.90,$7.10,5%,1%,29%
Regular Bubba Gump [Dine-in],4,$55.77,$5.07,$15.85,4%,4%,72%
Regular Little Italy [Dine-in],4,$73.78,$6.72,$19.22,4%,5%,74%
Regular Sanchez [Dine-in],4,$74.38,$6.77,$13.57,4%,6%,82%
Add Chicken,3,$12.39,$1.11,$0.00,3%,1%,0%
Regular Truffalo Soldier [Dine-in],3,$55.77,$5.07,$9.80,3%,4%,82%
Online Discount,3,-$29.85,$0.00,$0.00,3%,-2%,0%
Large Pepperoni,2,$31.84,$2.90,$9.13,2%,2%,71%
Add Chilli,2,$2.06,$0.18,$0.00,2%,0%,0%
Regular The Paddock [Dine-in],2,$36.59,$3.33,$6.20,2%,3%,83%
Regular Pepperoni [Dine-in],2,$18.00,$1.64,$0.00,2%,1%,0%
Regular El Patron [Dine-in],2,$37.18,$3.41,$7.28,2%,3%,80%
Under the Bridge Pizza,2,$40.90,$3.73,$8.16,2%,3%,80%
Add Jalapenos,1,$1.55,$0.15,$0.00,1%,0%,0%
Add Mushrooms,1,$1.55,$0.15,$0.00,1%,0%,0%
Regular Super House Special,1,$25.90,$2.35,$5.53,1%,2%,79%
Add Prosciutto,1,$4.00,$0.36,$0.00,1%,0%,0%
Large Little Italy,1,$31.90,$2.90,$8.84,1%,2%,72%
Large Super House Special,1,$26.90,$2.45,$7.72,1%,2%,71%
WINGS DEAL,1,$30.00,$2.73,$0.00,1%,2%,0%
Large Hawaiian,1,$19.90,$1.81,$3.26,1%,1%,84%
Add Corn,1,$1.50,$0.14,$0.00,1%,0%,0%
Add Ham,1,$3.00,$0.27,$0.00,1%,0%,0%
Add Anchovies,1,$2.00,$0.18,$0.00,1%,0%,0%
Family Super House Special,1,$29.90,$2.72,$0.00,1%,2%,0%
Large Bubba Gump,1,$0.00,$0.00,$5.53,1%,0%,
Add Calabrese,1,$4.00,$0.36,$0.00,1%,0%,0%
Large Vegetarian,1,$25.90,$2.35,$4.11,1%,2%,84%
Add Prawns,1,$4.13,$0.37,$0.00,1%,0%,0%
Regular Cosmopolitan [Dine-in],1,$18.00,$1.64,$4.73,1%,1%,74%
Add Bocconcini,1,$0.00,$0.00,$0.00,1%,0%,0%
Regular Meatlovers [Dine-in],1,$18.59,$1.69,$4.98,1%,1%,73%
Add Pineapple,1,$1.50,$0.14,$0.00,1%,0%,0%
Regular Pepperoni,1,$14.90,$1.35,$2.13,1%,1%,86%
Less Cheese,1,$0.00,$0.00,$0.00,1%,0%,0%
Large Cosmopolitan,1,$31.90,$2.90,$6.61,1%,2%,79%
Extra Mozzarella,1,$2.58,$0.24,$0.00,1%,0%,0%
Regular Super House Special [Dine-in],1,$18.00,$1.64,$5.53,1%,1%,69%
Gluten-free Hail Africa [Dine-in],1,$0.00,$0.00,$8.91,1%,0%,
Add Pepperoni,1,$3.00,$0.27,$0.00,1%,0%,0%
Regular Hawaiian,1,$14.90,$1.35,$1.25,1%,1%,92%
Large Meatlovers,1,$31.90,$2.90,$6.96,1%,2%,78%
Regular Sorrento [Dine-in],1,$18.59,$1.69,$4.11,1%,1%,78%
Regular Tandoori Chicken [Dine-in],1,$7.20,$0.66,$2.30,1%,1%,68%
VB Can D,1,$6.00,$0.55,$2.34,1%,0%,61%
,104,"$1,347.44",$124.97,$270.04,100%,100%,80%
