Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Garlic Bread,8,$17.90,$1.63,$11.36,8%,1%,37%
Online Surcharge,6,$6.77,$0.00,$0.00,6%,0%,0%
Coke Can,4,$16.10,$1.46,$7.56,4%,1%,53%
Regular Bubba Gump,4,$95.58,$8.68,$16.65,4%,6%,83%
Online Discount,4,-$41.05,$0.00,$0.00,4%,-3%,0%
Large Hawaiian,4,$91.57,$8.32,$13.06,4%,6%,86%
Regular Truffalo Soldier [Dine-in],3,$85.80,$7.80,$9.80,3%,5%,89%
"Regular No Chorizo, No Cry [Dine-in]",3,$69.48,$6.31,$8.02,3%,4%,88%
Large Super House Special,3,$88.77,$8.07,$23.17,3%,6%,74%
Add Bacon,3,$13.48,$1.22,$0.00,3%,1%,0%
Regular Cosmopolitan,3,$65.67,$5.97,$14.15,3%,4%,78%
Large Little Italy,2,$63.80,$5.80,$18.24,2%,4%,71%
Add Anchovies,2,$4.40,$0.40,$0.00,2%,0%,0%
Add Olives,2,$3.30,$0.30,$0.00,2%,0%,0%
Regular Hawaiian,2,$32.78,$2.98,$2.49,2%,2%,92%
Add Chilli,2,$2.20,$0.20,$0.00,2%,0%,0%
Regular El Patron,2,$43.78,$3.98,$7.58,2%,3%,83%
Regular Hail Africa [Dine-in],2,$60.37,$5.49,$5.99,2%,4%,90%
Regular Little Italy [Dine-in],2,$57.20,$5.20,$9.95,2%,4%,83%
Regular Sanchez [Dine-in],1,$29.53,$2.68,$2.85,1%,2%,90%
Delivery Fee - Curl Curl / Manly / Dee Why,1,$7.15,$0.65,$0.00,1%,0%,0%
Add Prawns,1,$4.54,$0.41,$0.00,1%,0%,0%
Regular Uber Margherita [Dine-in],1,$25.30,$2.30,$3.39,1%,2%,87%
Family Super House Special,1,$32.89,$2.99,$0.00,1%,2%,0%
Add Bocconcini,1,$3.30,$0.30,$0.00,1%,0%,0%
Regular Tandoori Chicken,1,$23.90,$2.17,$2.50,1%,2%,90%
Family Pepperoni,1,$0.00,$0.00,$0.00,1%,0%,0%
Regular Sanchez,1,$21.89,$1.99,$2.85,1%,1%,87%
Family Cosmopolitan,1,$32.89,$2.99,$0.00,1%,2%,0%
Family Margherita,1,$0.00,$0.00,$0.00,1%,0%,0%
Large Pepperoni,1,$25.90,$2.35,$4.85,1%,2%,81%
Large Paddock,1,$31.90,$2.90,$5.36,1%,2%,83%
Regular Pepperoni,1,$19.90,$1.81,$2.30,1%,1%,88%
Regular Sanchez VEGAN [Dine-in],1,$28.60,$2.60,$3.22,1%,2%,89%
Regular Meatlovers [Dine-in],1,$28.60,$2.60,$4.63,1%,2%,84%
Large Meatlovers,1,$31.90,$2.90,$6.47,1%,2%,80%
Regular Meatlovers,1,$25.90,$2.35,$4.63,1%,2%,82%
Regular Pepperoni [Dine-in],1,$23.10,$2.10,$0.00,1%,1%,0%
Large Uber Margherita,1,$27.39,$2.49,$4.74,1%,2%,83%
Regular Margherita,1,$15.29,$1.39,$1.40,1%,1%,91%
Family Half/Half,1,$28.49,$2.59,$0.00,1%,2%,0%
Gluten-free Little Italy,1,$32.90,$2.98,$10.97,1%,2%,67%
Online Rounding,1,$0.02,$0.00,$0.00,1%,0%,0%
Gluten-free Cosmopolitan,1,$26.29,$2.39,$9.15,1%,2%,65%
Large Jimmy Jury,1,$31.90,$2.90,$6.47,1%,2%,80%
Add Fetta,1,$3.30,$0.30,$0.00,1%,0%,0%
Regular Sorrento,1,$25.90,$2.35,$4.28,1%,2%,83%
Large Margherita,1,$23.90,$2.17,$2.58,1%,2%,89%
Family Roma Special,1,$31.79,$2.89,$0.00,1%,2%,0%
Large New Yorker,1,$27.39,$2.49,$5.29,1%,2%,81%
Gluten-free BBQ Chicken Pizza,1,$30.90,$2.81,$7.61,1%,2%,75%
Delivery Fee - Freshwater / Queenscliff,1,$5.50,$0.50,$0.00,1%,0%,0%
Regular BBQ Chicken Pizza,1,$20.79,$1.89,$3.17,1%,1%,85%
Add Jalapenos,1,$1.14,$0.11,$0.00,1%,0%,0%
Large El Patron,1,$29.59,$2.69,$6.11,1%,2%,79%
Regular Super House Special,1,$25.90,$2.35,$5.53,1%,2%,79%
Cheesy Garlic Bread,1,$6.60,$0.60,$1.77,1%,0%,73%
,99,"$1,570.07",$145.79,$260.14,100%,100%,83%
