Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Mie Goreng,9,$196.20,$17.82,$28.64,7%,10%,85%
Unlimited BBQ,8,$360.00,$32.72,$68.67,7%,19%,81%
Tonkotsu,7,$203.00,$18.48,$29.15,6%,11%,86%
BBQ Pork Buns,6,$84.00,$7.62,$21.00,5%,4%,75%
Harry's Lager - Pint,6,$72.50,$6.61,$12.65,5%,4%,83%
Chicken Karaage,6,$102.00,$9.30,$0.00,5%,5%,0%
Pepsi Max Glass,6,$27.00,$2.46,$7.86,5%,1%,71%
Dumplings - Prawn Har Gow [GF],5,$93.10,$8.48,$22.07,4%,5%,76%
Shredded Beef,5,$119.60,$10.86,$0.00,4%,6%,0%
Classic Margarita,4,$56.30,$5.11,$13.08,3%,3%,77%
1/2 Marinated Egg,4,$6.00,$0.54,$0.00,3%,0%,0%
Chicken Katsu Curry,4,$111.00,$10.10,$11.43,3%,6%,90%
Chicken,4,$14.60,$1.32,$0.00,3%,1%,0%
Harry's Lager - Schooner,3,$27.55,$2.49,$4.72,2%,1%,83%
Miso,3,$29.00,$2.64,$0.00,2%,2%,0%
Sapporo - Schooner,3,$33.00,$3.00,$9.46,2%,2%,71%
Corona,2,$19.80,$1.81,$5.08,2%,1%,74%
Jasmine Rice,2,$10.00,$0.90,$0.00,2%,1%,0%
Apple Juice Glass [HG],2,$8.00,$0.72,$0.00,2%,0%,0%
Shoyu,2,$58.00,$5.28,$0.00,2%,3%,0%
Tofu,2,$8.00,$0.72,$0.00,2%,0%,0%
Popcorn Cauliflower,2,$30.00,$2.72,$1.96,2%,2%,93%
Chilli Bomb,2,$2.00,$0.18,$0.00,2%,0%,0%
Kids Fried Rice,2,$26.00,$2.36,$0.00,2%,1%,0%
Asahi Zero,2,$21.00,$1.90,$4.19,2%,1%,80%
GFO [GF Ramen Noodles],1,$3.00,$0.27,$0.00,1%,0%,0%
Drunken Koi,1,$21.00,$1.91,$2.65,1%,1%,87%
Lychee Martini,1,$8.40,$0.75,$3.14,1%,0%,63%
Dragon Soda,1,$9.00,$0.82,$0.00,1%,0%,0%
Padrillos Malbec - Regular,1,$18.00,$1.64,$3.56,1%,1%,80%
Fried Rice,1,$23.00,$2.09,$2.68,1%,1%,88%
Edamame,1,$11.00,$1.00,$0.00,1%,1%,0%
Dumplings - Veg Gyoza,1,$14.00,$1.27,$1.96,1%,1%,86%
Carafe Sparkling Water,1,$5.00,$0.45,$0.00,1%,0%,0%
Fried Egg,1,$2.40,$0.22,$0.00,1%,0%,0%
Angas & Bremer Grenache - Regular,1,$12.00,$1.09,$1.75,1%,1%,85%
Asahi 3.5%,1,$11.00,$1.00,$2.33,1%,1%,79%
Swap for Chicken,1,$0.00,$0.00,$0.00,1%,0%,0%
Kids Mie Goreng,1,$13.00,$1.18,$0.00,1%,1%,0%
Duck Spring Roll,1,$16.00,$1.45,$3.57,1%,1%,78%
Dragon Juice,1,$17.00,$1.55,$2.59,1%,1%,85%
Dumplings - Beef & Cabbage,1,$14.00,$1.27,$1.47,1%,1%,89%
Sapporo - 500ml,1,$9.00,$0.82,$3.71,1%,0%,59%
River Retreat Pinot Grigio - Regular,1,$7.00,$0.64,$2.01,1%,0%,71%
Extra Chicken.,1,$0.00,$0.00,$0.00,1%,0%,0%
Vegetarian Option,1,$0.00,$0.00,$0.00,1%,0%,0%
,122,"$1,931.45",$175.56,$271.39,100%,100%,86%
