Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Garlic Bread,6,$11.90,$1.08,$8.52,6%,1%,28%
Online Surcharge,6,$6.96,$0.00,$0.00,6%,0%,0%
Regular Sanchez [Dine-in],5,$81.19,$7.41,$14.24,5%,6%,82%
Large Hawaiian,5,$103.60,$9.40,$16.32,5%,7%,84%
Online Discount,4,-$55.80,$0.00,$0.00,4%,-4%,0%
Add Prawns,3,$12.28,$1.10,$0.00,3%,1%,0%
Regular Little Italy [Dine-in],3,$54.59,$4.97,$14.93,3%,4%,73%
Regular The Paddock [Dine-in],3,$43.20,$3.93,$9.72,3%,3%,77%
Regular Jimmy Jury [Dine-in],3,$43.79,$3.99,$10.52,3%,3%,76%
Regular Roma Special [Dine-in],3,$55.24,$5.04,$12.66,3%,4%,77%
Regular El Patron [Dine-in],3,$44.39,$4.03,$11.38,3%,3%,74%
Regular Hail Africa [Dine-in],2,$37.18,$3.38,$5.99,2%,3%,84%
Large New Yorker,2,$49.80,$4.52,$10.58,2%,4%,79%
Regular New Yorker [Dine-in],2,$36.00,$3.28,$7.57,2%,3%,79%
Large Super House Special,2,$31.90,$2.90,$15.45,2%,2%,52%
WINGS DEAL,2,$60.00,$5.46,$0.00,2%,4%,0%
Regular Sorrento [Dine-in],2,$36.59,$3.33,$8.56,2%,3%,77%
Regular Meatlovers [Dine-in],2,$37.21,$3.40,$9.26,2%,3%,75%
Regular Hawaiian [Dine-in],2,$37.18,$3.38,$2.49,2%,3%,93%
Regular Pepperoni,2,$28.83,$2.62,$4.60,2%,2%,84%
Regular Margherita,2,$26.43,$2.40,$2.80,2%,2%,89%
"Regular No Chorizo, No Cry [Dine-in]",2,$36.00,$3.28,$5.35,2%,3%,85%
$45 FEAST,2,$90.00,$8.18,$0.00,2%,6%,0%
Large Pepperoni,1,$19.93,$1.81,$4.85,1%,1%,76%
Extra Mozzarella,1,$2.58,$0.24,$0.00,1%,0%,0%
"Regular No Chorizo, No Cry",1,$19.90,$1.81,$2.67,1%,1%,87%
Regular BBQ Chicken Pizza [Dine-in],1,$18.62,$1.70,$3.17,1%,1%,83%
Regular Uber Margherita [Dine-in],1,$18.59,$1.70,$3.39,1%,1%,82%
"Large No Chorizo, No Cry",1,$26.90,$2.45,$5.88,1%,2%,78%
Add Onion,1,$1.50,$0.14,$0.00,1%,0%,0%
Btl Ottelia Chardonnay D,1,$26.10,$2.37,$17.29,1%,2%,34%
Coke 1.25L,1,$6.90,$0.63,$3.69,1%,0%,47%
Delivery Fee - Freshwater / Queenscliff,1,$5.00,$0.45,$0.00,1%,0%,0%
Family Pepperoni,1,$24.90,$2.26,$0.00,1%,2%,0%
Add Olives,1,$1.50,$0.14,$0.00,1%,0%,0%
Less Cheese,1,$0.00,$0.00,$0.00,1%,0%,0%
Large Margherita,1,$18.53,$1.68,$2.58,1%,1%,86%
Add Pepperoni,1,$3.00,$0.27,$0.00,1%,0%,0%
Axl Rose Pizza,1,$18.59,$1.70,$0.00,1%,1%,0%
Regular Super House Special [Dine-in],1,$18.59,$1.70,$5.53,1%,1%,70%
Regular Cosmopolitan,1,$19.90,$1.81,$4.72,1%,1%,76%
Gluten-free Margherita,1,$19.53,$1.77,$6.28,1%,1%,68%
Add Bacon,1,$4.00,$0.36,$0.00,1%,0%,0%
Family Sorrento,1,$29.90,$2.72,$0.00,1%,2%,0%
Family Meatlovers,1,$29.90,$2.72,$0.00,1%,2%,0%
Large Paddock,1,$0.00,$0.00,$5.36,1%,0%,
Large Tandoori Chicken,1,$0.00,$0.00,$3.49,1%,0%,
Under the Bridge Pizza,1,$20.45,$1.86,$4.34,1%,1%,79%
Regular Uber Margherita,1,$18.90,$1.72,$3.39,1%,1%,82%
Bundaberg Ginger Beer D,1,$7.90,$0.72,$3.30,1%,1%,58%
Add Calabrese,1,$4.00,$0.36,$0.00,1%,0%,0%
Add Mushrooms,1,$1.55,$0.14,$0.00,1%,0%,0%
Add Ham,1,$3.00,$0.27,$0.00,1%,0%,0%
Large Sanchez,1,$0.00,$0.00,$5.00,1%,0%,
Regular Meatlovers,1,$19.90,$1.81,$4.63,1%,1%,77%
Regular Truffalo Soldier [Dine-in],1,$18.59,$1.69,$3.27,1%,1%,82%
Add Chilli,1,$1.00,$0.09,$0.00,1%,0%,0%
Large Sorrento,1,$0.00,$0.00,$7.45,1%,0%,
Gluten-free The Paddock [Dine-in],1,$21.00,$1.91,$8.28,1%,1%,61%
Large Cosmopolitan,1,$31.90,$2.90,$6.59,1%,2%,79%
Regular Garlic Cheese Pizza,1,$16.90,$1.54,$1.39,1%,1%,92%
,106,"$1,407.91",$132.52,$287.49,100%,100%,80%
