Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Unlimited BBQ,11,$495.00,$44.99,$94.42,12%,32%,81%
Sapporo - 500ml,5,$45.00,$4.11,$18.70,6%,3%,58%
Devon's Prawn Toast,5,$80.00,$7.25,$19.44,6%,5%,76%
Apple Juice Glass,4,$16.00,$1.44,$0.00,4%,1%,0%
Chicken Karaage,4,$68.00,$6.20,$0.00,4%,4%,0%
Popcorn Cauliflower,3,$45.00,$4.08,$2.94,3%,3%,93%
Harry's Lager - Schooner,3,$28.50,$2.58,$5.07,3%,2%,82%
Harry's Lager - Pint,3,$27.00,$2.46,$6.80,3%,2%,75%
Tonkotsu,3,$87.00,$7.92,$12.49,3%,6%,86%
Dumplings - Prawn Har Gow [GF],3,$57.00,$5.19,$13.24,3%,4%,77%
Duck Spring Roll,2,$32.00,$2.90,$7.14,2%,2%,78%
Dragon Soda,2,$18.00,$1.64,$0.00,2%,1%,0%
Pepsi Glass,2,$9.00,$0.82,$2.62,2%,1%,71%
Shoyu,2,$58.00,$5.27,$0.00,2%,4%,0%
Chilli Bomb,2,$4.00,$0.36,$0.00,2%,0%,0%
Kids Unlimited BBQ,2,$40.00,$3.64,$0.00,2%,3%,0%
Virgin Margy,2,$26.00,$2.36,$0.00,2%,2%,0%
Azurescens Pinot Noir - Regular,2,$30.00,$2.72,$5.60,2%,2%,81%
Chicken Katsu Curry,2,$54.00,$4.90,$5.71,2%,3%,89%
BBQ Pork Buns,2,$30.00,$2.72,$7.00,2%,2%,77%
Nuggets & Chips [HG],2,$26.00,$2.36,$0.00,2%,2%,0%
Kids Fried Rice,1,$13.00,$1.18,$0.00,1%,1%,0%
Chicken,1,$4.00,$0.36,$0.00,1%,0%,0%
Bintang,1,$11.00,$1.00,$2.73,1%,1%,75%
Aioli,1,$0.00,$0.00,$0.00,1%,0%,0%
Asahi Zero,1,$10.50,$0.95,$2.10,1%,1%,80%
Dumplings - Beef & Cabbage,1,$14.00,$1.27,$1.47,1%,1%,89%
Pink Lemonade Glass,1,$4.50,$0.41,$0.00,1%,0%,0%
Aperol Spritz,1,$14.00,$1.27,$3.70,1%,1%,74%
Fries [HG],1,$12.00,$1.09,$0.00,1%,1%,0%
1/2 Marinated Egg,1,$2.00,$0.18,$0.00,1%,0%,0%
Fried Rice,1,$23.00,$2.09,$2.68,1%,1%,88%
Saika Junmai Daiginjo - 180ml,1,$34.00,$3.09,$11.00,1%,2%,68%
Edamame,1,$11.00,$1.00,$0.00,1%,1%,0%
Shredded Beef,1,$26.00,$2.36,$0.00,1%,2%,0%
Mie Goreng,1,$23.00,$2.09,$3.18,1%,1%,86%
Jasmine Rice,1,$5.00,$0.45,$0.00,1%,0%,0%
Sapporo - Schooner,1,$7.00,$0.64,$3.18,1%,0%,55%
Lemonade Glass,1,$4.50,$0.41,$0.00,1%,0%,0%
Miso,1,$29.00,$2.64,$0.00,1%,2%,0%
Kids Mie Goreng,1,$13.00,$1.18,$0.00,1%,1%,0%
Classic Margarita,1,$14.00,$1.27,$3.33,1%,1%,76%
Butter,1,$1.00,$0.09,$0.00,1%,0%,0%
1 Glass,1,$0.00,$0.00,$0.00,1%,0%,0%
Dragon Juice,1,$14.00,$1.27,$2.59,1%,1%,81%
,90,"$1,565.00",$142.20,$237.13,100%,100%,85%
