Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Online Surcharge,8,$9.62,$0.00,$0.00,7%,1%,0%
Garlic Bread,6,$16.50,$1.49,$8.52,5%,1%,48%
Online Discount,5,-$74.95,$0.00,$0.00,4%,-5%,0%
Regular Margherita,4,$0.00,$0.00,$4.92,3%,0%,
Regular Sanchez [Dine-in],3,$80.55,$7.30,$10.18,2%,5%,87%
Cheesy Garlic Bread,3,$22.00,$2.01,$5.32,2%,1%,76%
Regular New Yorker [Dine-in],3,$74.35,$6.75,$10.76,2%,5%,86%
Regular Uber Margherita [Dine-in],3,$70.49,$6.41,$9.58,2%,5%,86%
Add Prawns,3,$10.00,$0.90,$0.00,2%,1%,0%
Feast Deal Pizzas,3,$135.00,$12.27,$0.00,2%,9%,0%
WINGS DEAL,3,$90.00,$8.19,$0.00,2%,6%,0%
Large Meatlovers,3,$26.90,$2.45,$20.87,2%,2%,22%
Vegan Cheese [Pizza],3,$9.10,$0.82,$0.00,2%,1%,0%
Garlic  Bread,3,$0.00,$0.00,$4.26,2%,0%,
Choc  Brownie,3,$0.00,$0.00,$5.84,2%,0%,
Regular Truffalo Soldier [Dine-in],2,$52.85,$4.79,$6.54,2%,4%,88%
Regular Little Italy [Dine-in],2,$52.00,$4.72,$9.61,2%,3%,82%
Regular Bubba Gump,2,$45.90,$4.17,$7.92,2%,3%,83%
Large Pepperoni,2,$19.90,$1.81,$9.13,2%,1%,54%
Sprite Can,2,$8.00,$0.73,$3.80,2%,1%,53%
Regular El Patron [Dine-in],2,$53.70,$4.88,$7.28,2%,4%,86%
"Regular No Chorizo, No Cry [Dine-in]",2,$47.70,$4.33,$5.01,2%,3%,90%
Add Anchovies,2,$2.00,$0.18,$0.00,2%,0%,0%
Regular Truffalo Soldier,2,$39.80,$3.62,$6.54,2%,3%,84%
Family Vegetarian,2,$57.80,$5.26,$0.00,2%,4%,0%
Large Cosmopolitan,1,$26.90,$2.45,$6.61,1%,2%,75%
Regular BBQ Chicken Pizza,1,$24.50,$2.23,$2.99,1%,2%,88%
Regular Pepperoni,1,$22.00,$2.00,$2.13,1%,1%,90%
Regular Pepperoni [Dine-in],1,$8.40,$0.76,$0.00,1%,1%,0%
Add Chilli,1,$1.00,$0.09,$0.00,1%,0%,0%
Extra Mozzarella,1,$2.58,$0.24,$0.00,1%,0%,0%
Regular Meatlovers [Dine-in],1,$26.00,$2.36,$4.98,1%,2%,81%
"Large No Chorizo, No Cry",1,$26.90,$2.45,$5.60,1%,2%,79%
Regular Meatlovers,1,$25.00,$2.27,$4.98,1%,2%,80%
Regular Hawaiian,1,$14.90,$1.35,$1.25,1%,1%,92%
Regular Garlic Cheese Pizza,1,$9.00,$0.82,$1.39,1%,1%,85%
Sprite 1.25L,1,$7.00,$0.64,$4.27,1%,0%,39%
Add Basil,1,$1.00,$0.09,$0.00,1%,0%,0%
Large Sanchez,1,$26.90,$2.45,$5.49,1%,2%,80%
Family Hawaiian,1,$24.90,$2.27,$0.00,1%,2%,0%
Large Super House Special,1,$0.00,$0.00,$7.72,1%,0%,
Regular New Yorker,1,$18.90,$1.72,$3.59,1%,1%,81%
Add Fetta,1,$3.10,$0.28,$0.00,1%,0%,0%
Regular Sanchez VEGAN,1,$25.00,$2.27,$3.02,1%,2%,88%
Add Mushrooms,1,$1.50,$0.14,$0.00,1%,0%,0%
Regular Sanchez VEGAN [Dine-in],1,$26.85,$2.44,$3.02,1%,2%,89%
Under the Bridge Pizza,1,$26.85,$2.44,$4.08,1%,2%,85%
Add Pepperoni,1,$3.00,$0.27,$0.00,1%,0%,0%
Large Hawaiian,1,$28.00,$2.55,$3.26,1%,2%,88%
Large Paddock,1,$0.00,$0.00,$5.11,1%,0%,
Coke Zero Can,1,$4.00,$0.36,$1.89,1%,0%,53%
Family El Patron,1,$29.90,$2.72,$0.00,1%,2%,0%
Fellr Watermelon Seltzer Seltzer D,1,$4.80,$0.44,$3.41,1%,0%,29%
"Regular No Chorizo, No Cry",1,$19.90,$1.81,$2.50,1%,1%,87%
Large Tandoori Chicken,1,$30.00,$2.73,$3.21,1%,2%,89%
Delivery Fee - Curl Curl / Manly / Dee Why,1,$6.50,$0.59,$0.00,1%,0%,0%
Large Little Italy,1,$31.00,$2.82,$8.84,1%,2%,71%
Add Pineapple,1,$1.50,$0.14,$0.00,1%,0%,0%
Regular Vegetarian,1,$15.90,$1.45,$2.37,1%,1%,85%
Less Cheese,1,$0.00,$0.00,$0.00,1%,0%,0%
Add Jalapenos,1,$1.03,$0.09,$0.00,1%,0%,0%
Regular Hail Africa [Dine-in],1,$27.00,$2.45,$2.91,1%,2%,89%
Large El Patron,1,$0.00,$0.00,$5.85,1%,0%,
Add Calabrese,1,$4.00,$0.36,$0.00,1%,0%,0%
Large Hail Africa,1,$0.00,$0.00,$6.24,1%,0%,
Gluten-free Base,1,$5.16,$0.46,$4.10,1%,0%,21%
Add Olives,1,$1.55,$0.15,$0.00,1%,0%,0%
Regular Tandoori Chicken,1,$18.90,$1.72,$2.30,1%,1%,88%
Family Tandoori Chicken,1,$29.90,$2.72,$0.00,1%,2%,0%
Regular Sanchez,1,$19.90,$1.81,$3.39,1%,1%,83%
Regular Super House Special,1,$24.00,$2.18,$5.53,1%,2%,77%
,122,"$1,504.33",$142.66,$258.09,100%,100%,83%
