item_id,item_name,base_unit,conflict,recipe_units_seen,note
lightspeed:20445863,Ron Zacapa 23yr [Bottle],ml,false,mlx1,
lightspeed:20445864,Sailor Jerry [700ml],ml,false,mlx9,
lightspeed:20445865,Kraken Rum [Bottle],ml,false,mlx4,
lightspeed:20445866,Bacardi Blanca [700ml],ml,false,mlx11,
lightspeed:20445868,Cointreau [Bottle],ml,false,mlx1,
lightspeed:20445869,Brookie's Mac. Liqueur [Bottle],ml,false,mlx2,
lightspeed:20445870,Mr Black Coffee Liqueur [Bottle],ml,false,mlx3,
lightspeed:20445871,Grand Marnier [Bottle],ml,false,mlx2,
lightspeed:20445872,Baileys Irish Cream [1L Bottle],ml,false,mlx1,
lightspeed:20445875,St. Germain Elderflower Liqueur [Bottle],ml,false,mlx2,
lightspeed:20445878,Amaro Montenegro [Bottle],ml,false,mlx1,
lightspeed:20445879,Braulio [Bottle],ml,false,mlx2,
lightspeed:20445882,Fernet Branca [Bottle],ml,false,mlx2,
lightspeed:20445883,Oscar.697 Bianco Vermouth [Bottle],ml,false,mlx1,
lightspeed:20445887,Dolin Blanc Vermouth [Bottle],ml,false,mlx1,
lightspeed:20445888,Regal Rogue Wild Rosé Vermouth [500ml],ml,false,mlx1,
lightspeed:20445889,Mancino Sakura Vermouth [Bottle],ml,false,mlx2,
lightspeed:20445890,Antica Formula Rosso Vermouth [Bottle],ml,false,mlx2,
lightspeed:20445891,Oscar.697 Rosso Vermouth [Bottle],ml,false,mlx1,
lightspeed:20445893,Regal Rogue Bold Red Vermouth [5L],ml,false,mlx3,
lightspeed:20445894,Campari [Bottle],ml,false,mlx10,
lightspeed:20445895,Aperol [Bottle],ml,false,mlx5,
lightspeed:20445897,San Pellegrino 500ml,,true,mlx3|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20445917,Bundaberg Ginger Beer [750ml],ml,false,mlx13,
