Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Garlic Bread,8,$23.00,$2.08,$11.36,14%,3%,51%
Regular Little Italy [Dine-in],3,$63.27,$5.75,$14.41,5%,7%,77%
Online Surcharge,3,$3.90,$0.00,$0.00,5%,0%,0%
Large Hawaiian,3,$76.00,$6.92,$9.79,5%,9%,87%
Cheesy Garlic Bread,2,$12.00,$1.10,$3.55,3%,1%,70%
Regular Little Italy,2,$0.00,$0.00,$9.61,3%,0%,
Large Meatlovers,2,$59.00,$5.37,$13.91,3%,7%,76%
Large BBQ Chicken Pizza,2,$61.00,$5.54,$8.34,3%,7%,86%
Large Little Italy,2,$27.00,$2.45,$17.68,3%,3%,35%
Regular Uber Margherita [Dine-in],2,$47.50,$4.31,$6.39,3%,5%,87%
Large Pepperoni,2,$40.00,$3.64,$9.13,3%,5%,77%
Large Super House Special,1,$30.00,$2.73,$7.72,2%,3%,74%
"Regular No Chorizo, No Cry",1,$0.00,$0.00,$2.50,2%,0%,
Add Fetta,1,$3.10,$0.28,$0.00,2%,0%,0%
"Regular No Chorizo, No Cry [Dine-in]",1,$26.87,$2.43,$2.50,2%,3%,91%
Gluten-free Sanchez [Dine-in],1,$31.00,$2.82,$8.37,2%,4%,73%
Feast Deal Pizzas,1,$45.00,$4.09,$0.00,2%,5%,0%
Large Sanchez,1,$31.00,$2.82,$5.49,2%,4%,82%
Choc  Brownie,1,$0.00,$0.00,$1.95,2%,0%,
Regular Margherita,1,$14.00,$1.27,$1.23,2%,2%,91%
Vegan Cheese [Pizza],1,$3.10,$0.28,$0.00,2%,0%,0%
"Large No Chorizo, No Cry",1,$0.00,$0.00,$5.60,2%,0%,
Coke Can,1,$4.00,$0.36,$1.89,2%,0%,53%
Regular Hawaiian,1,$15.00,$1.36,$1.25,2%,2%,92%
Large Jimmy Jury,1,$27.00,$2.45,$6.19,2%,3%,77%
Coke Zero Can,1,$0.00,$0.00,$1.89,2%,0%,
Gluten-free Jimmy Jury,1,$24.00,$2.18,$8.87,2%,3%,63%
Large Tandoori Chicken,1,$25.00,$2.27,$3.21,2%,3%,87%
Regular BBQ Chicken Pizza,1,$24.50,$2.23,$2.99,2%,3%,88%
Regular New Yorker,1,$19.50,$1.77,$3.59,2%,2%,82%
Regular Tandoori Chicken,1,$19.50,$1.77,$2.30,2%,2%,88%
Add Jalapenos,1,$1.50,$0.14,$0.00,2%,0%,0%
Regular New Yorker [Dine-in],1,$24.78,$2.25,$3.59,2%,3%,86%
Regular Super House Special,1,$24.00,$2.18,$5.53,2%,3%,77%
Regular Bubba Gump,1,$20.00,$1.82,$3.96,2%,2%,80%
Regular Truffalo Soldier [Dine-in],1,$26.85,$2.44,$3.27,2%,3%,88%
Garlic  Bread,1,$0.00,$0.00,$1.42,2%,0%,
Gluten-free Vegetarian,1,$27.00,$2.45,$7.38,2%,3%,73%
,58,$879.37,$79.55,$196.84,100%,100%,78%
